r,rep,bucket_id,degree_low_inclusive,degree_high_exclusive,num_nodes,mass,sqrt_mass,sketch_dim,test_matrix_entry_std
0,1,1,1,2,354,354.0,18.81488772222678,1,1.0
0,1,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,1,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,1,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,1,5,16,32,35,697.0,26.40075756488817,1,1.0
0,1,6,32,64,8,293.0,17.11724276862369,1,1.0
0,1,7,64,256,4,385.0,19.621416870348583,1,1.0
0,2,1,1,2,354,354.0,18.81488772222678,1,1.0
0,2,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,2,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,2,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,2,5,16,32,35,697.0,26.40075756488817,1,1.0
0,2,6,32,64,8,293.0,17.11724276862369,1,1.0
0,2,7,64,256,4,385.0,19.621416870348583,1,1.0
0,3,1,1,2,354,354.0,18.81488772222678,1,1.0
0,3,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,3,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,3,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,3,5,16,32,35,697.0,26.40075756488817,1,1.0
0,3,6,32,64,8,293.0,17.11724276862369,1,1.0
0,3,7,64,256,4,385.0,19.621416870348583,1,1.0
0,4,1,1,2,354,354.0,18.81488772222678,1,1.0
0,4,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,4,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,4,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,4,5,16,32,35,697.0,26.40075756488817,1,1.0
0,4,6,32,64,8,293.0,17.11724276862369,1,1.0
0,4,7,64,256,4,385.0,19.621416870348583,1,1.0
0,5,1,1,2,354,354.0,18.81488772222678,1,1.0
0,5,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,5,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,5,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,5,5,16,32,35,697.0,26.40075756488817,1,1.0
0,5,6,32,64,8,293.0,17.11724276862369,1,1.0
0,5,7,64,256,4,385.0,19.621416870348583,1,1.0
0,6,1,1,2,354,354.0,18.81488772222678,1,1.0
0,6,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,6,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,6,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,6,5,16,32,35,697.0,26.40075756488817,1,1.0
0,6,6,32,64,8,293.0,17.11724276862369,1,1.0
0,6,7,64,256,4,385.0,19.621416870348583,1,1.0
0,7,1,1,2,354,354.0,18.81488772222678,1,1.0
0,7,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,7,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,7,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,7,5,16,32,35,697.0,26.40075756488817,1,1.0
0,7,6,32,64,8,293.0,17.11724276862369,1,1.0
0,7,7,64,256,4,385.0,19.621416870348583,1,1.0
0,8,1,1,2,354,354.0,18.81488772222678,1,1.0
0,8,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,8,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,8,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,8,5,16,32,35,697.0,26.40075756488817,1,1.0
0,8,6,32,64,8,293.0,17.11724276862369,1,1.0
0,8,7,64,256,4,385.0,19.621416870348583,1,1.0
0,9,1,1,2,354,354.0,18.81488772222678,1,1.0
0,9,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,9,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,9,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,9,5,16,32,35,697.0,26.40075756488817,1,1.0
0,9,6,32,64,8,293.0,17.11724276862369,1,1.0
0,9,7,64,256,4,385.0,19.621416870348583,1,1.0
0,10,1,1,2,354,354.0,18.81488772222678,1,1.0
0,10,2,2,4,1070,2665.0,51.62363799656123,1,1.0
0,10,3,4,8,859,4210.0,64.88451279003334,1,1.0
0,10,4,8,16,155,1534.0,39.16631205513228,1,1.0
0,10,5,16,32,35,697.0,26.40075756488817,1,1.0
0,10,6,32,64,8,293.0,17.11724276862369,1,1.0
0,10,7,64,256,4,385.0,19.621416870348583,1,1.0
2,1,1,1,2,354,354.0,18.81488772222678,1,1.0
2,1,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,1,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,1,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,1,5,16,32,35,697.0,26.40075756488817,1,1.0
2,1,6,32,64,8,293.0,17.11724276862369,1,1.0
2,1,7,64,128,3,217.0,14.730919862656235,1,1.0
2,1,8,128,256,1,168.0,12.96148139681572,1,1.0
2,2,1,1,2,354,354.0,18.81488772222678,1,1.0
2,2,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,2,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,2,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,2,5,16,32,35,697.0,26.40075756488817,1,1.0
2,2,6,32,64,8,293.0,17.11724276862369,1,1.0
2,2,7,64,128,3,217.0,14.730919862656235,1,1.0
2,2,8,128,256,1,168.0,12.96148139681572,1,1.0
2,3,1,1,2,354,354.0,18.81488772222678,1,1.0
2,3,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,3,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,3,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,3,5,16,32,35,697.0,26.40075756488817,1,1.0
2,3,6,32,64,8,293.0,17.11724276862369,1,1.0
2,3,7,64,128,3,217.0,14.730919862656235,1,1.0
2,3,8,128,256,1,168.0,12.96148139681572,1,1.0
2,4,1,1,2,354,354.0,18.81488772222678,1,1.0
2,4,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,4,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,4,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,4,5,16,32,35,697.0,26.40075756488817,1,1.0
2,4,6,32,64,8,293.0,17.11724276862369,1,1.0
2,4,7,64,128,3,217.0,14.730919862656235,1,1.0
2,4,8,128,256,1,168.0,12.96148139681572,1,1.0
2,5,1,1,2,354,354.0,18.81488772222678,1,1.0
2,5,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,5,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,5,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,5,5,16,32,35,697.0,26.40075756488817,1,1.0
2,5,6,32,64,8,293.0,17.11724276862369,1,1.0
2,5,7,64,128,3,217.0,14.730919862656235,1,1.0
2,5,8,128,256,1,168.0,12.96148139681572,1,1.0
2,6,1,1,2,354,354.0,18.81488772222678,1,1.0
2,6,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,6,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,6,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,6,5,16,32,35,697.0,26.40075756488817,1,1.0
2,6,6,32,64,8,293.0,17.11724276862369,1,1.0
2,6,7,64,128,3,217.0,14.730919862656235,1,1.0
2,6,8,128,256,1,168.0,12.96148139681572,1,1.0
2,7,1,1,2,354,354.0,18.81488772222678,1,1.0
2,7,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,7,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,7,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,7,5,16,32,35,697.0,26.40075756488817,1,1.0
2,7,6,32,64,8,293.0,17.11724276862369,1,1.0
2,7,7,64,128,3,217.0,14.730919862656235,1,1.0
2,7,8,128,256,1,168.0,12.96148139681572,1,1.0
2,8,1,1,2,354,354.0,18.81488772222678,1,1.0
2,8,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,8,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,8,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,8,5,16,32,35,697.0,26.40075756488817,1,1.0
2,8,6,32,64,8,293.0,17.11724276862369,1,1.0
2,8,7,64,128,3,217.0,14.730919862656235,1,1.0
2,8,8,128,256,1,168.0,12.96148139681572,1,1.0
2,9,1,1,2,354,354.0,18.81488772222678,1,1.0
2,9,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,9,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,9,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,9,5,16,32,35,697.0,26.40075756488817,1,1.0
2,9,6,32,64,8,293.0,17.11724276862369,1,1.0
2,9,7,64,128,3,217.0,14.730919862656235,1,1.0
2,9,8,128,256,1,168.0,12.96148139681572,1,1.0
2,10,1,1,2,354,354.0,18.81488772222678,1,1.0
2,10,2,2,4,1070,2665.0,51.62363799656123,1,1.0
2,10,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
2,10,4,8,16,155,1534.0,39.16631205513228,1,1.0
2,10,5,16,32,35,697.0,26.40075756488817,1,1.0
2,10,6,32,64,8,293.0,17.11724276862369,1,1.0
2,10,7,64,128,3,217.0,14.730919862656235,1,1.0
2,10,8,128,256,1,168.0,12.96148139681572,1,1.0
5,1,1,1,2,354,354.0,18.81488772222678,1,1.0
5,1,2,2,4,1070,2665.0,51.62363799656123,2,0.7071067811865475
5,1,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
5,1,4,8,16,155,1534.0,39.16631205513228,2,0.7071067811865475
5,1,5,16,32,35,697.0,26.40075756488817,2,0.7071067811865475
5,1,6,32,64,8,293.0,17.11724276862369,1,1.0
5,1,7,64,128,3,217.0,14.730919862656235,1,1.0
5,1,8,128,256,1,168.0,12.96148139681572,1,1.0
5,2,1,1,2,354,354.0,18.81488772222678,1,1.0
5,2,2,2,4,1070,2665.0,51.62363799656123,2,0.7071067811865475
5,2,3,4,8,859,4210.0,64.88451279003334,2,0.7071067811865475
5,2,4,8,16,155,1534.0,39.16631205513228,2,0.7071067811865475
5,2,5,16,32,35,697.0,26.40075756488817,2,0.7071067811865475
5,2,6,32,64,8,293.0,17.11724276862369,1,1.0
5,2,7,64,128,3,217.0,14.730919862656235,1,1.0
