group,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
all,0,ARI_true,0.038651492031653904,0.018322693334059448,0.0057941443804412265,10
all,0,NMI_true,0.061264636319182955,0.03077284781392912,0.00973122891817494,10
all,0,F1_macro_true,0.05479157231227279,0.030089202270386244,0.00951504121519301,10
all,0,total_method_wall_sec,-0.06060325998114422,0.09549935828322963,0.03019954872594731,10
all,2,ARI_true,0.0642785699841792,0.013635407494419508,0.00431189445068953,10
all,2,NMI_true,0.0996475866432902,0.0213065381793573,0.006737718970010624,10
all,2,F1_macro_true,0.10166320927047168,0.030783282423857312,0.00973452863156179,10
all,2,total_method_wall_sec,-0.04055759999901056,0.04263232546879719,0.013481525043100477,10
all,5,ARI_true,0.06376117683781357,0.006852766213388147,0.0021670349506953995,10
all,5,NMI_true,0.10237284647110383,0.015321590962069332,0.0048451124817589595,10
all,5,F1_macro_true,0.11287871487384753,0.027361936078943647,0.008652603920139867,10
all,5,total_method_wall_sec,-0.02535079000517726,0.06331296577429234,0.020021317726704985,10
all,10,ARI_true,0.07650929975168494,0.01149823482144486,0.003636061110722523,10
all,10,NMI_true,0.11158133480367763,0.013851217359890304,0.004380139522331754,10
all,10,F1_macro_true,0.12259964654067208,0.0283170602023121,0.008954640687941464,10
all,10,total_method_wall_sec,-0.045374729996547104,0.043658501989040165,0.013806030551635845,10
all,20,ARI_true,0.09083513594762697,0.015488180026492446,0.004897792569444315,10
all,20,NMI_true,0.13315002017647423,0.02643170571021452,0.008358439248755635,10
all,20,F1_macro_true,0.1514505344942038,0.04998724423188897,0.015807354572788316,10
all,20,total_method_wall_sec,-0.024514649994671345,0.05044671004563745,0.015952650420631105,10
all,40,ARI_true,0.09321906251871942,0.01214737292188547,0.0038413366020612714,10
all,40,NMI_true,0.13602756881960754,0.018157461326314066,0.005741893431757428,10
all,40,F1_macro_true,0.14974412515333974,0.026860404293018423,0.008494005643890298,10
all,40,total_method_wall_sec,-0.03357139998115599,0.03630358555554563,0.01148020175863134,10
high_deg_9_plus,0,ARI_true,0.08673525323745299,0.056409425257703816,0.01783822653153747,10
high_deg_9_plus,0,NMI_true,0.10029998203470299,0.07259526831770458,0.02295663952350065,10
high_deg_9_plus,0,F1_macro_true,0.06670228339035308,0.0548182908585803,0.017335065655070096,10
high_deg_9_plus,0,total_method_wall_sec,-0.06060325998114422,0.09549935828322963,0.03019954872594731,10
high_deg_9_plus,2,ARI_true,0.14953068612430567,0.04710124364773776,0.01489472105533889,10
high_deg_9_plus,2,NMI_true,0.16909093829120897,0.04076038834314072,0.012889566547730151,10
high_deg_9_plus,2,F1_macro_true,0.11884473528743786,0.05864356823553998,0.018544724574380805,10
high_deg_9_plus,2,total_method_wall_sec,-0.04055759999901056,0.04263232546879719,0.013481525043100477,10
high_deg_9_plus,5,ARI_true,0.13420365312578003,0.057925925931765924,0.01831778615185916,10
high_deg_9_plus,5,NMI_true,0.16321581230080656,0.06240575151369435,0.019734431387777467,10
high_deg_9_plus,5,F1_macro_true,0.13569166897860954,0.05992189773345803,0.018948967855740857,10
high_deg_9_plus,5,total_method_wall_sec,-0.02535079000517726,0.06331296577429234,0.020021317726704985,10
high_deg_9_plus,10,ARI_true,0.14711609558509997,0.028925127174211526,0.009146928348053843,10
high_deg_9_plus,10,NMI_true,0.16410227772440872,0.03650366797536279,0.011543473375269363,10
high_deg_9_plus,10,F1_macro_true,0.12903756676168382,0.034770718398835804,0.01099546660206441,10
high_deg_9_plus,10,total_method_wall_sec,-0.045374729996547104,0.043658501989040165,0.013806030551635845,10
high_deg_9_plus,20,ARI_true,0.1843807811862086,0.04310595523455389,0.013631299925844798,10
high_deg_9_plus,20,NMI_true,0.20706436424838554,0.05402668177754217,0.017084736883814768,10
high_deg_9_plus,20,F1_macro_true,0.15916655002058855,0.0632728976355539,0.020008647068703273,10
high_deg_9_plus,20,total_method_wall_sec,-0.024514649994671345,0.05044671004563745,0.015952650420631105,10
high_deg_9_plus,40,ARI_true,0.1841451690681018,0.060178212521622206,0.019030021708599094,10
high_deg_9_plus,40,NMI_true,0.20935649129707584,0.06847437006791268,0.02165349707598626,10
high_deg_9_plus,40,F1_macro_true,0.15774164408264432,0.07335028586877887,0.023195397036980377,10
high_deg_9_plus,40,total_method_wall_sec,-0.03357139998115599,0.03630358555554563,0.01148020175863134,10
low_deg_1_2,0,ARI_true,0.02353181701976551,0.009856354725299617,0.003116853035851002,10
low_deg_1_2,0,NMI_true,0.04440630545318858,0.022759348374258734,0.007197137892390792,10
low_deg_1_2,0,F1_macro_true,0.04206498177665592,0.021377645546822217,0.006760205093971393,10
low_deg_1_2,0,total_method_wall_sec,-0.06060325998114422,0.09549935828322963,0.03019954872594731,10
low_deg_1_2,2,ARI_true,0.03670954650250481,0.012754721303907146,0.004033397024101926,10
low_deg_1_2,2,NMI_true,0.06593732740435733,0.020096304591556133,0.006355009506181718,10
low_deg_1_2,2,F1_macro_true,0.057581093332899624,0.026726416784628615,0.008451635073438027,10
low_deg_1_2,2,total_method_wall_sec,-0.04055759999901056,0.04263232546879719,0.013481525043100477,10
low_deg_1_2,5,ARI_true,0.035064113701346385,0.010452754170473281,0.0033054511000519516,10
low_deg_1_2,5,NMI_true,0.07173461350284167,0.011655149945388492,0.003685682029821473,10
low_deg_1_2,5,F1_macro_true,0.0799525717411029,0.020311717767548792,0.006423129133596469,10
low_deg_1_2,5,total_method_wall_sec,-0.02535079000517726,0.06331296577429234,0.020021317726704985,10
low_deg_1_2,10,ARI_true,0.044456954861328696,0.014672656109689658,0.004639901263100469,10
low_deg_1_2,10,NMI_true,0.07406479881177548,0.011543138633782217,0.003650260942983605,10
low_deg_1_2,10,F1_macro_true,0.0880504905535607,0.02414479275524145,0.007635253873929537,10
low_deg_1_2,10,total_method_wall_sec,-0.045374729996547104,0.043658501989040165,0.013806030551635845,10
low_deg_1_2,20,ARI_true,0.05185920572467369,0.013625236321892406,0.004308678043523513,10
low_deg_1_2,20,NMI_true,0.09128396639565856,0.016602776840499763,0.005250259029947335,10
low_deg_1_2,20,F1_macro_true,0.1171291440029738,0.034313326447136874,0.010850826566984577,10
low_deg_1_2,20,total_method_wall_sec,-0.024514649994671345,0.05044671004563745,0.015952650420631105,10
low_deg_1_2,40,ARI_true,0.05579142423512358,0.011820863539761731,0.003738085269568743,10
low_deg_1_2,40,NMI_true,0.09518708342563945,0.013306462667243002,0.004207872962848709,10
low_deg_1_2,40,F1_macro_true,0.1277864580966091,0.0207634540301815,0.006565980682757606,10
low_deg_1_2,40,total_method_wall_sec,-0.03357139998115599,0.03630358555554563,0.01148020175863134,10
mid_deg_3_8,0,ARI_true,0.04642124510467614,0.024382951412150477,0.0077105662539614485,10
mid_deg_3_8,0,NMI_true,0.0673612027731604,0.034943365439224716,0.011050062389956015,10
mid_deg_3_8,0,F1_macro_true,0.060286036680286856,0.03312538984239805,0.010475168028298391,10
mid_deg_3_8,0,total_method_wall_sec,-0.06060325998114422,0.09549935828322963,0.03019954872594731,10
mid_deg_3_8,2,ARI_true,0.07862519029292182,0.01529180455747938,0.004835693193577805,10
mid_deg_3_8,2,NMI_true,0.11416939496999594,0.023859500554934167,0.007545036558764336,10
mid_deg_3_8,2,F1_macro_true,0.11208076239514138,0.03201930860954979,0.010125394431001635,10
mid_deg_3_8,2,total_method_wall_sec,-0.04055759999901056,0.04263232546879719,0.013481525043100477,10
mid_deg_3_8,5,ARI_true,0.07913751415735568,0.010957167733710492,0.0034649606743030474,10
mid_deg_3_8,5,NMI_true,0.11452206980774912,0.018961046836149867,0.005996009482336305,10
mid_deg_3_8,5,F1_macro_true,0.12266533609769477,0.03065221454175279,0.009693081328007317,10
mid_deg_3_8,5,total_method_wall_sec,-0.02535079000517726,0.06331296577429234,0.020021317726704985,10
mid_deg_3_8,10,ARI_true,0.094217443279872,0.01477760404689083,0.00467308871482967,10
mid_deg_3_8,10,NMI_true,0.1279691977222742,0.01889739053273541,0.0059758795917146616,10
mid_deg_3_8,10,F1_macro_true,0.12689024283645084,0.035244640308893495,0.011145333868948386,10
mid_deg_3_8,10,total_method_wall_sec,-0.045374729996547104,0.043658501989040165,0.013806030551635845,10
mid_deg_3_8,20,ARI_true,0.11276381114529332,0.0196249261116958,0.006205946542547072,10
mid_deg_3_8,20,NMI_true,0.1515631717664588,0.0337021637056833,0.010657559938581985,10
mid_deg_3_8,20,F1_macro_true,0.15795965735114229,0.05595157206044722,0.017693440637805348,10
mid_deg_3_8,20,total_method_wall_sec,-0.024514649994671345,0.05044671004563745,0.015952650420631105,10
mid_deg_3_8,40,ARI_true,0.11222439514789362,0.016964968381130326,0.0053647940517111345,10
mid_deg_3_8,40,NMI_true,0.15104811858371692,0.022526896480069156,0.007123630149184839,10
mid_deg_3_8,40,F1_macro_true,0.15489067890425506,0.02488164328934655,0.007868266472217906,10
mid_deg_3_8,40,total_method_wall_sec,-0.03357139998115599,0.03630358555554563,0.01148020175863134,10
