dataset,alpha,tau_label,tau_value,group,group_n,method,rep,r,ell,k,q,test_matrix_scaling,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,exact_eigsh_sec,eigen_decomposition_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_test_matrix_entry_std,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
cora,0.5,0,0.0,all,2485,Exact spectral,1,0,7,7,1,by_dim,0.0715158999664709,0.182633199961856,0.2541490999283269,0.0715158999664709,0.0715158999664709,0.23820969921575666,0.3952630207169112,0.2787318543368127,,,,,,,,,,,,,,,,,,
cora,0.5,0,0.0,low_deg_1_2,899,Exact spectral,1,0,7,7,1,by_dim,0.0715158999664709,0.182633199961856,0.2541490999283269,0.0715158999664709,0.0715158999664709,0.21966094372704997,0.37275070067031907,0.2893541925142974,,,,,,,,,,,,,,,,,,
cora,0.5,0,0.0,mid_deg_3_8,1439,Exact spectral,1,0,7,7,1,by_dim,0.0715158999664709,0.182633199961856,0.2541490999283269,0.0715158999664709,0.0715158999664709,0.24335018012654022,0.40828048921210214,0.27223469929152183,,,,,,,,,,,,,,,,,,
cora,0.5,0,0.0,high_deg_9_plus,147,Exact spectral,1,0,7,7,1,by_dim,0.0715158999664709,0.182633199961856,0.2541490999283269,0.0715158999664709,0.0715158999664709,0.3205538580908599,0.5166168415530322,0.2856052476025962,,,,,,,,,,,,,,,,,,
cora,0.5,0,0.0,all,2485,Gaussian RP,1,0,7,7,1,by_dim,0.0012308000586926937,0.1926926999585703,0.193923500017263,,0.001208899891935289,0.015213640978645278,0.03350697690609372,0.21030023586885296,0.00018239999189972878,0.3779644730092272,0.00028519995976239443,0.00043320003896951675,0.00013599998783320189,0.00012649991549551487,4.5599997974932194e-05,,,,,,,,,,,
cora,0.5,0,0.0,low_deg_1_2,899,Gaussian RP,1,0,7,7,1,by_dim,0.0012308000586926937,0.1926926999585703,0.193923500017263,,0.001208899891935289,0.004187846186909516,0.02291136152049743,0.1881546963655181,0.00018239999189972878,0.3779644730092272,0.00028519995976239443,0.00043320003896951675,0.00013599998783320189,0.00012649991549551487,4.5599997974932194e-05,,,,,,,,,,,
cora,0.5,0,0.0,mid_deg_3_8,1439,Gaussian RP,1,0,7,7,1,by_dim,0.0012308000586926937,0.1926926999585703,0.193923500017263,,0.001208899891935289,0.024877887534579778,0.048704480393959346,0.22650871215933557,0.00018239999189972878,0.3779644730092272,0.00028519995976239443,0.00043320003896951675,0.00013599998783320189,0.00012649991549551487,4.5599997974932194e-05,,,,,,,,,,,
cora,0.5,0,0.0,high_deg_9_plus,147,Gaussian RP,1,0,7,7,1,by_dim,0.0012308000586926937,0.1926926999585703,0.193923500017263,,0.001208899891935289,0.033471513053483434,0.1420141020882476,0.26696908818509785,0.00018239999189972878,0.3779644730092272,0.00028519995976239443,0.00043320003896951675,0.00013599998783320189,0.00012649991549551487,4.5599997974932194e-05,,,,,,,,,,,
cora,0.5,0,0.0,all,2485,Degree-stratified RP,1,0,7,7,1,by_dim,0.002631500014103949,0.09812099998816848,0.10075250000227243,,0.0025694998912513256,0.03366985827111264,0.052585342418509304,0.22893459089094317,,,,,,,,0.00033059995621442795,0.0013958000345155597,0.00041969993617385626,0.00020979996770620346,0.00011260004248470068,7.129996083676815e-05,2.9699993319809437e-05,7.0,1.0,1.0,"[1,2):n=354,ell=1;[2,4):n=1070,ell=1;[4,8):n=859,ell=1;[8,16):n=155,ell=1;[16,32):n=35,ell=1;[32,64):n=8,ell=1;[64,256):n=4,ell=1"
cora,0.5,0,0.0,low_deg_1_2,899,Degree-stratified RP,1,0,7,7,1,by_dim,0.002631500014103949,0.09812099998816848,0.10075250000227243,,0.0025694998912513256,0.031617460985032736,0.04657294123109275,0.20823930005806268,,,,,,,,0.00033059995621442795,0.0013958000345155597,0.00041969993617385626,0.00020979996770620346,0.00011260004248470068,7.129996083676815e-05,2.9699993319809437e-05,7.0,1.0,1.0,"[1,2):n=354,ell=1;[2,4):n=1070,ell=1;[4,8):n=859,ell=1;[8,16):n=155,ell=1;[16,32):n=35,ell=1;[32,64):n=8,ell=1;[64,256):n=4,ell=1"
cora,0.5,0,0.0,mid_deg_3_8,1439,Degree-stratified RP,1,0,7,7,1,by_dim,0.002631500014103949,0.09812099998816848,0.10075250000227243,,0.0025694998912513256,0.04023027252714001,0.06895888558225105,0.24878737173047208,,,,,,,,0.00033059995621442795,0.0013958000345155597,0.00041969993617385626,0.00020979996770620346,0.00011260004248470068,7.129996083676815e-05,2.9699993319809437e-05,7.0,1.0,1.0,"[1,2):n=354,ell=1;[2,4):n=1070,ell=1;[4,8):n=859,ell=1;[8,16):n=155,ell=1;[16,32):n=35,ell=1;[32,64):n=8,ell=1;[64,256):n=4,ell=1"
cora,0.5,0,0.0,high_deg_9_plus,147,Degree-stratified RP,1,0,7,7,1,by_dim,0.002631500014103949,0.09812099998816848,0.10075250000227243,,0.0025694998912513256,0.042985187349182656,0.1378815003027268,0.27450068335161504,,,,,,,,0.00033059995621442795,0.0013958000345155597,0.00041969993617385626,0.00020979996770620346,0.00011260004248470068,7.129996083676815e-05,2.9699993319809437e-05,7.0,1.0,1.0,"[1,2):n=354,ell=1;[2,4):n=1070,ell=1;[4,8):n=859,ell=1;[8,16):n=155,ell=1;[16,32):n=35,ell=1;[32,64):n=8,ell=1;[64,256):n=4,ell=1"
cora,0.5,0,0.0,all,2485,Exact spectral,2,0,7,7,1,by_dim,0.0715158999664709,0.06728630000725389,0.13880219997372478,0.0715158999664709,0.0715158999664709,0.23809149485697814,0.3948063231111481,0.2787011493326403,,,,,,,,,,,,,,,,,,
cora,0.5,0,0.0,low_deg_1_2,899,Exact spectral,2,0,7,7,1,by_dim,0.0715158999664709,0.06728630000725389,0.13880219997372478,0.0715158999664709,0.0715158999664709,0.21966094372704997,0.37275070067031907,0.2893541925142974,,,,,,,,,,,,,,,,,,
cora,0.5,0,0.0,mid_deg_3_8,1439,Exact spectral,2,0,7,7,1,by_dim,0.0715158999664709,0.06728630000725389,0.13880219997372478,0.0715158999664709,0.0715158999664709,0.24335018012654022,0.4082804892121021,0.27223469929152183,,,,,,,,,,,,,,,,,,
cora,0.5,0,0.0,high_deg_9_plus,147,Exact spectral,2,0,7,7,1,by_dim,0.0715158999664709,0.06728630000725389,0.13880219997372478,0.0715158999664709,0.0715158999664709,0.3185421893313252,0.5042959100631867,0.2847414234511009,,,,,,,,,,,,,,,,,,
cora,0.5,0,0.0,all,2485,Gaussian RP,2,0,7,7,1,by_dim,0.0009700000518932939,0.18199229997117072,0.18296230002306402,,0.0009502001339569688,0.02732092340999686,0.05014137591045142,0.21692999871853932,0.000161800067871809,0.3779644730092272,0.00028440007008612156,0.00027929991483688354,0.00012450001668184996,6.420002318918705e-05,3.600004129111767e-05,,,,,,,,,,,
cora,0.5,0,0.0,low_deg_1_2,899,Gaussian RP,2,0,7,7,1,by_dim,0.0009700000518932939,0.18199229997117072,0.18296230002306402,,0.0009502001339569688,0.015905461952665845,0.03556575442727173,0.19752917651146226,0.000161800067871809,0.3779644730092272,0.00028440007008612156,0.00027929991483688354,0.00012450001668184996,6.420002318918705e-05,3.600004129111767e-05,,,,,,,,,,,
cora,0.5,0,0.0,mid_deg_3_8,1439,Gaussian RP,2,0,7,7,1,by_dim,0.0009700000518932939,0.18199229997117072,0.18296230002306402,,0.0009502001339569688,0.035484114890103925,0.06599742526058111,0.22703342397977883,0.000161800067871809,0.3779644730092272,0.00028440007008612156,0.00027929991483688354,0.00012450001668184996,6.420002318918705e-05,3.600004129111767e-05,,,,,,,,,,,
cora,0.5,0,0.0,high_deg_9_plus,147,Gaussian RP,2,0,7,7,1,by_dim,0.0009700000518932939,0.18199229997117072,0.18296230002306402,,0.0009502001339569688,0.07361095053099771,0.17371255616603012,0.30078550645483837,0.000161800067871809,0.3779644730092272,0.00028440007008612156,0.00027929991483688354,0.00012450001668184996,6.420002318918705e-05,3.600004129111767e-05,,,,,,,,,,,
cora,0.5,0,0.0,all,2485,Degree-stratified RP,2,0,7,7,1,by_dim,0.0035479000071063638,0.08203569997567683,0.0855835999827832,,0.00345660001039505,0.0453938317032151,0.08437781750336625,0.27301968940601695,,,,,,,,0.0003005999606102705,0.001293000066652894,0.0005133999511599541,0.0011033000191673636,0.00013559998478740454,7.51999905332923e-05,3.550003748387098e-05,7.0,1.0,1.0,"[1,2):n=354,ell=1;[2,4):n=1070,ell=1;[4,8):n=859,ell=1;[8,16):n=155,ell=1;[16,32):n=35,ell=1;[32,64):n=8,ell=1;[64,256):n=4,ell=1"
cora,0.5,0,0.0,low_deg_1_2,899,Degree-stratified RP,2,0,7,7,1,by_dim,0.0035479000071063638,0.08203569997567683,0.0855835999827832,,0.00345660001039505,0.032906032280190886,0.06991347532633502,0.2460107117373707,,,,,,,,0.0003005999606102705,0.001293000066652894,0.0005133999511599541,0.0011033000191673636,0.00013559998478740454,7.51999905332923e-05,3.550003748387098e-05,7.0,1.0,1.0,"[1,2):n=354,ell=1;[2,4):n=1070,ell=1;[4,8):n=859,ell=1;[8,16):n=155,ell=1;[16,32):n=35,ell=1;[32,64):n=8,ell=1;[64,256):n=4,ell=1"
cora,0.5,0,0.0,mid_deg_3_8,1439,Degree-stratified RP,2,0,7,7,1,by_dim,0.0035479000071063638,0.08203569997567683,0.0855835999827832,,0.00345660001039505,0.050970695142349504,0.09738135826475218,0.28296586435984544,,,,,,,,0.0003005999606102705,0.001293000066652894,0.0005133999511599541,0.0011033000191673636,0.00013559998478740454,7.51999905332923e-05,3.550003748387098e-05,7.0,1.0,1.0,"[1,2):n=354,ell=1;[2,4):n=1070,ell=1;[4,8):n=859,ell=1;[8,16):n=155,ell=1;[16,32):n=35,ell=1;[32,64):n=8,ell=1;[64,256):n=4,ell=1"
cora,0.5,0,0.0,high_deg_9_plus,147,Degree-stratified RP,2,0,7,7,1,by_dim,0.0035479000071063638,0.08203569997567683,0.0855835999827832,,0.00345660001039505,0.0784133646544011,0.17428535785304697,0.32904950298255986,,,,,,,,0.0003005999606102705,0.001293000066652894,0.0005133999511599541,0.0011033000191673636,0.00013559998478740454,7.51999905332923e-05,3.550003748387098e-05,7.0,1.0,1.0,"[1,2):n=354,ell=1;[2,4):n=1070,ell=1;[4,8):n=859,ell=1;[8,16):n=155,ell=1;[16,32):n=35,ell=1;[32,64):n=8,ell=1;[64,256):n=4,ell=1"
cora,0.5,0,0.0,all,2485,Exact spectral,3,0,7,7,1,by_dim,0.0715158999664709,0.045422399998642504,0.1169382999651134,0.0715158999664709,0.0715158999664709,0.23845110263258662,0.3952562979955421,0.2788950331905623,,,,,,,,,,,,,,,,,,
