group,r,method,runs,alpha_mean,alpha_std,tau_value_mean,tau_value_std,group_n_mean,group_n_std,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,exact_eigsh_sec_mean,exact_eigsh_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_test_matrix_entry_std_mean,rp_test_matrix_entry_std_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
all,0,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0024299400043673812,0.00043898846037364553,0.10472163999220356,0.07105658282383116,0.10715157999657095,0.07096022982426457,,,0.002372749976348132,0.0004271233804580976,0.05383612114116816,0.016010778517075806,0.09173764058169012,0.027784934131503465,0.2575050247615509,0.032803324061036615,,,,,,,,,,,,,,,0.0002646499895490706,3.6723449863647914e-05,0.0011267299996688962,0.00014698601734509142,0.00044182998826727273,4.924310912778872e-05,0.0003241400117985904,0.00027903496297176916,0.0001196199911646545,1.1766878120513727e-05,6.232999730855226e-05,1.3406818003164184e-05,3.344999859109521e-05,3.321059154833559e-06,7.0,0.0,1.0,0.0,1.0,0.0
all,0,Exact spectral,10,0.5,0.0,0.0,0.0,2485.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0715158999664709,0.0,0.06970044998452067,0.04077549043374213,0.14121634995099158,0.04077549043374212,0.0715158999664709,0.0,0.0715158999664709,0.0,0.24194629206309975,0.01153568255167354,0.395354925367329,0.003821221909223742,0.2963617632083188,0.03533921299493485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,0,Gaussian RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0011014200048521162,0.0003675945579920437,0.16665341997286304,0.04308586555549438,0.16775483997771518,0.04328782493791873,,,0.0010843999916687608,0.00036704854443290303,0.015184629109514255,0.005506630296591213,0.03047300426250717,0.009140298986679818,0.20271345244927813,0.011321635945480918,0.00016759001882746816,1.5187245441556326e-05,0.3779644730092272,0.0,0.00025305000599473715,4.044563196584802e-05,0.0004317999817430973,0.0003350922698464341,0.0001283199992030859,8.777739563547184e-06,6.673997268080711e-05,2.1233818106454395e-05,3.6900013219565154e-05,3.6826799015099606e-06,,,,,,,,,,,,,,,,,,,,
all,2,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,9.0,0.0,7.0,0.0,1.0,0.0,0.003098849987145513,0.0006529252527489295,0.09259508001850918,0.027277891949632323,0.0956939300056547,0.02723774511659427,,,0.0030280600185506046,0.0006195908082002724,0.08071511950991285,0.013247551755155854,0.1304220539918944,0.023055387177544302,0.30976096751831433,0.029495286791707476,,,,,,,,,,,,,,,0.0002805000287480652,5.667278281936586e-05,0.0013528999988920987,0.00024989347661734455,0.0007653799839317799,0.000289386218074958,0.00038235001266002656,7.903082013695047e-05,0.00014613999519497156,3.3213071293351e-05,6.0649996157735586e-05,1.0423841037946479e-05,4.0140002965927124e-05,5.52271136576904e-06,8.0,0.0,1.0,0.0,2.0,0.0
all,2,Exact spectral,10,0.5,0.0,0.0,0.0,2485.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0715158999664709,0.0,0.05571824997896328,0.018595329873022606,0.1272341499454342,0.01859532987302261,0.0715158999664709,0.0,0.0715158999664709,0.0,0.2383298113591284,0.0015565973097697188,0.3923397129435676,0.0052819922551510246,0.2880313595495458,0.02432689988013301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,2,Gaussian RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,9.0,0.0,7.0,0.0,1.0,0.0,0.0015020800055935979,0.00036849584288867665,0.13474944999907165,0.03304345927719246,0.13625153000466525,0.03320297939325469,,,0.0014854899840429426,0.00036675511974339285,0.016436549525733653,0.008669640838389949,0.030774467348604208,0.00999043949716502,0.20809775824784266,0.021443915572485237,0.0002177499933168292,1.3417768649053564e-05,0.3333333333333333,0.0,0.00040864999173209073,0.00020916066483704543,0.0005844900151714683,0.00024803815421040916,0.00015372000634670258,3.2690474370731925e-05,7.32199870981276e-05,1.1036703861046615e-05,4.765999037772417e-05,8.064343468947351e-06,,,,,,,,,,,,,,,,,,,,
all,5,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,12.0,0.0,7.0,0.0,1.0,0.0,0.0032949499902315436,0.0006507449474990052,0.11219376999652013,0.05553333500550167,0.11548871998675167,0.055942021941235286,,,0.003236160008236766,0.0006398261061492875,0.08393582746132136,0.008347879465216281,0.13978942157995886,0.01892801439156912,0.32765041150762086,0.030001421185993395,,,,,,,,,,,,,,,0.00024496003752574327,3.6617727500383406e-05,0.0012542399810627103,0.0002517554645847997,0.0008864299859851598,0.00022042576595338511,0.0005715400096960366,0.00012667517742832022,0.0001588899875059724,2.6376079099276828e-05,7.097002817317844e-05,2.0239261585134278e-05,4.912997828796506e-05,1.0365225561437827e-05,8.0,0.0,1.0,0.0,2.0,0.0
all,5,Exact spectral,10,0.5,0.0,0.0,0.0,2485.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0715158999664709,0.0,0.051094969967380166,0.018057093451280426,0.12261086993385106,0.018057093451280426,0.0715158999664709,0.0,0.0715158999664709,0.0,0.2384472215247258,0.0005532490016512955,0.3946943428351196,0.0016370012191625762,0.2865903494131449,0.024689655680046486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,5,Gaussian RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,12.0,0.0,7.0,0.0,1.0,0.0,0.0015235500293783843,0.00027173492717437676,0.13931595996255056,0.043438182592565336,0.14083950999192893,0.04359966216824004,,,0.0015089800232090055,0.00027023995020598694,0.020174650623507786,0.0049117390090593445,0.037416575108855044,0.007733743692420902,0.21477169663377332,0.015511723771162899,0.0002623900305479765,2.7306850850752832e-05,0.2886751345948129,0.0,0.0003285799757577479,9.39687877726701e-05,0.0006251199985854328,0.00015146299753063998,0.00017097003292292355,2.6681390385384647e-05,7.080998038873076e-05,9.638508791316905e-06,5.111000500619411e-05,9.827559441672447e-06,,,,,,,,,,,,,,,,,,,,
all,10,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2485.0,0.0,17.0,0.0,7.0,0.0,1.0,0.0,0.004107989999465644,0.00045677003036284045,0.08980944000650197,0.021071686145188468,0.09391743000596761,0.021122392048652325,,,0.004049659997690469,0.0004492417945105972,0.0972087144848431,0.011157069495783262,0.14922683548121102,0.014700497595605027,0.3322788206824025,0.026083757754884068,,,,,,,,,,,,,,,0.000242130015976727,4.291177757270344e-05,0.0013365599792450667,0.0001605070820374521,0.0012014999985694886,0.0001414964842863074,0.0008925999864004552,0.0002302692841628379,0.0002335800207220018,3.0180676005141116e-05,8.472999325022101e-05,1.2228836708075194e-05,5.8560003526508805e-05,9.319193630869044e-06,8.0,0.0,1.0,0.0,3.0,0.0
