r,rep,bucket_id,degree_low_inclusive,degree_high_exclusive,num_nodes,mass,sqrt_mass,sketch_dim,test_matrix_entry_std
0,1,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,1,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,2,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,2,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,3,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,3,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,4,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,4,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,5,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,5,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,6,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,6,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,7,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,7,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,8,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,8,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,9,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,9,2,16,256,2651,67167.0,259.1659699883455,1,1.0
0,10,1,1,16,25630,118337.0,344.0014534853014,1,1.0
0,10,2,16,256,2651,67167.0,259.1659699883455,1,1.0
2,1,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,1,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,1,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,1,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,2,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,2,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,2,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,2,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,3,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,3,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,3,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,3,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,4,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,4,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,4,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,4,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,5,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,5,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,5,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,5,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,6,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,6,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,6,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,6,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,7,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,7,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,7,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,7,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,8,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,8,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,8,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,8,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,9,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,9,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,9,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,9,4,32,256,487,22062.0,148.53282465502363,1,1.0
2,10,1,1,8,20291,61358.0,247.70547026660515,1,1.0
2,10,2,8,16,5339,56979.0,238.70274401439124,1,1.0
2,10,3,16,32,2164,45105.0,212.37937752992875,1,1.0
2,10,4,32,256,487,22062.0,148.53282465502363,1,1.0
5,1,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,1,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,1,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,1,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,1,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,1,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,1,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,2,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,2,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,2,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,2,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,2,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,2,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,2,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,3,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,3,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,3,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,3,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,3,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,3,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,3,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,4,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,4,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,4,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,4,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,4,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,4,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,4,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,5,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,5,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,5,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,5,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,5,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,5,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,5,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,6,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,6,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,6,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,6,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,6,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,6,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,6,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,7,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,7,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,7,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,7,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,7,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,7,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,7,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,8,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,8,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,8,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,8,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,8,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,8,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,8,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,9,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,9,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,9,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,9,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,9,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,9,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,9,7,64,256,47,3961.0,62.93647591023825,1,1.0
5,10,1,1,2,5879,5879.0,76.67463726683029,1,1.0
5,10,2,2,4,7198,17445.0,132.07952150125317,1,1.0
5,10,3,4,8,7214,38034.0,195.0230755577401,1,1.0
5,10,4,8,16,5339,56979.0,238.70274401439124,1,1.0
5,10,5,16,32,2164,45105.0,212.37937752992875,1,1.0
5,10,6,32,64,440,18101.0,134.5399568901373,1,1.0
5,10,7,64,256,47,3961.0,62.93647591023825,1,1.0
10,1,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,1,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,1,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,1,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,1,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,1,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,1,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,1,8,128,256,3,469.0,21.656407827707714,1,1.0
10,2,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,2,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,2,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,2,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,2,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,2,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,2,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,2,8,128,256,3,469.0,21.656407827707714,1,1.0
10,3,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,3,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,3,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,3,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,3,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,3,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,3,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,3,8,128,256,3,469.0,21.656407827707714,1,1.0
10,4,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,4,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,4,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,4,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,4,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,4,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,4,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,4,8,128,256,3,469.0,21.656407827707714,1,1.0
10,5,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,5,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,5,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,5,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,5,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,5,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,5,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,5,8,128,256,3,469.0,21.656407827707714,1,1.0
10,6,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,6,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,6,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,6,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,6,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,6,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,6,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,6,8,128,256,3,469.0,21.656407827707714,1,1.0
10,7,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,7,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,7,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,7,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,7,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,7,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,7,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,7,8,128,256,3,469.0,21.656407827707714,1,1.0
10,8,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,8,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,8,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,8,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,8,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,8,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,8,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,8,8,128,256,3,469.0,21.656407827707714,1,1.0
10,9,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,9,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,9,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,9,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,9,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,9,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,9,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,9,8,128,256,3,469.0,21.656407827707714,1,1.0
10,10,1,1,2,5879,5879.0,76.67463726683029,1,1.0
10,10,2,2,4,7198,17445.0,132.07952150125317,1,1.0
10,10,3,4,8,7214,38034.0,195.0230755577401,2,0.7071067811865475
10,10,4,8,16,5339,56979.0,238.70274401439124,2,0.7071067811865475
10,10,5,16,32,2164,45105.0,212.37937752992875,2,0.7071067811865475
10,10,6,32,64,440,18101.0,134.5399568901373,2,0.7071067811865475
10,10,7,64,128,44,3492.0,59.09314681077663,1,1.0
10,10,8,128,256,3,469.0,21.656407827707714,1,1.0
20,1,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,1,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,1,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,1,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,1,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,1,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,1,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,1,8,128,256,3,469.0,21.656407827707714,1,1.0
20,2,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,2,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,2,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,2,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,2,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,2,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,2,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,2,8,128,256,3,469.0,21.656407827707714,1,1.0
20,3,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,3,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,3,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,3,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,3,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,3,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,3,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,3,8,128,256,3,469.0,21.656407827707714,1,1.0
20,4,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,4,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,4,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,4,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,4,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,4,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,4,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,4,8,128,256,3,469.0,21.656407827707714,1,1.0
20,5,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,5,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,5,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,5,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,5,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,5,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,5,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,5,8,128,256,3,469.0,21.656407827707714,1,1.0
20,6,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,6,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,6,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,6,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,6,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,6,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,6,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,6,8,128,256,3,469.0,21.656407827707714,1,1.0
20,7,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,7,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,7,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,7,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,7,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,7,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,7,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,7,8,128,256,3,469.0,21.656407827707714,1,1.0
20,8,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,8,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,8,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,8,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,8,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,8,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,8,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,8,8,128,256,3,469.0,21.656407827707714,1,1.0
20,9,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,9,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,9,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,9,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,9,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,9,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,9,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,9,8,128,256,3,469.0,21.656407827707714,1,1.0
20,10,1,1,2,5879,5879.0,76.67463726683029,2,0.7071067811865475
20,10,2,2,4,7198,17445.0,132.07952150125317,3,0.5773502691896258
20,10,3,4,8,7214,38034.0,195.0230755577401,3,0.5773502691896258
20,10,4,8,16,5339,56979.0,238.70274401439124,4,0.5
20,10,5,16,32,2164,45105.0,212.37937752992875,4,0.5
20,10,6,32,64,440,18101.0,134.5399568901373,3,0.5773502691896258
20,10,7,64,128,44,3492.0,59.09314681077663,2,0.7071067811865475
20,10,8,128,256,3,469.0,21.656407827707714,1,1.0
40,1,1,1,2,5879,5879.0,76.67463726683029,3,0.5773502691896258
