group,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
all,0,ARI_true,1.5873229533906545e-06,0.00020314463693143857,6.423997471513045e-05,10
all,0,NMI_true,3.0481077294580528e-05,0.00013337067171409814,4.217550956831433e-05,10
all,0,F1_macro_true,0.0007471384634114842,0.00519964336489818,0.0016442716053660254,10
all,0,total_method_wall_sec,-0.05422357995994389,0.052577607379772434,0.016626499324215848,10
all,2,ARI_true,6.215198844226728e-05,0.00018760427628995198,5.932568118637715e-05,10
all,2,NMI_true,1.5055549490604103e-05,7.322269882827433e-05,2.3155050472188926e-05,10
all,2,F1_macro_true,0.0006658620691187666,0.004291695141549974,0.0013571531670376652,10
all,2,total_method_wall_sec,-0.015111320011783391,0.04648233355621352,0.014699004499730902,10
all,5,ARI_true,0.00013129723914320827,0.00041994560681553046,0.00013279846109186057,10
all,5,NMI_true,5.130258046752804e-05,0.0001724694879601973,5.453964088372112e-05,10
all,5,F1_macro_true,0.0010215746847273333,0.006602457599401475,0.0020878804168796227,10
all,5,total_method_wall_sec,-0.017873220006003977,0.044674349254387166,0.014127269662970843,10
all,10,ARI_true,-3.958377269095827e-05,0.00027499291428324704,8.6960394954251e-05,10
all,10,NMI_true,8.273726993253892e-05,0.00016181670395349438,5.117093479542155e-05,10
all,10,F1_macro_true,-0.001206899821037538,0.00710811670829882,0.0022477838672522953,10
all,10,total_method_wall_sec,-0.009436429990455509,0.039611248110023665,0.012526176498971477,10
all,20,ARI_true,8.630083802884045e-05,0.00032204388041680597,0.00010183921686360025,10
all,20,NMI_true,7.542673308169374e-05,0.00014402213957512075,4.5543799454805654e-05,10
all,20,F1_macro_true,0.000878743963686851,0.004912667528844867,0.0015535218778300719,10
all,20,total_method_wall_sec,0.026017510006204246,0.07949592354070763,0.02513881830872333,10
all,40,ARI_true,0.00010071751126372608,0.0004113695749002923,0.0001300864816780157,10
all,40,NMI_true,9.291392727060528e-05,0.00013307531909748354,4.208211087017507e-05,10
all,40,F1_macro_true,0.0006673824006063589,0.006486697435565891,0.002051273838876153,10
all,40,total_method_wall_sec,0.02893553002504632,0.12819173589520252,0.04053778626396039,10
high_deg_9_plus,0,ARI_true,7.687247735373062e-05,0.0005102253590011138,0.00016134742544206133,10
