group,r,method,runs,alpha_mean,alpha_std,tau_value_mean,tau_value_std,group_n_mean,group_n_std,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,exact_eigsh_sec_mean,exact_eigsh_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_test_matrix_entry_std_mean,rp_test_matrix_entry_std_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
all,0,Degree-stratified RP,10,0.5,0.0,0.0,0.0,28281.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.009205170010682195,0.0010564786022266013,0.08892370001412928,0.03439577527945411,0.09812887002481148,0.03478800978193336,,,0.009143729985225946,0.0010539690868621957,2.853108225115601e-05,0.00016022151789009658,7.841963994526344e-05,0.00010163963932511289,0.5019510105904962,0.0032442131734896733,,,,,,,,,,,,,,,0.0014193400042131544,0.00018023043400055685,0.004481730004772544,0.000689160971704037,0.0019455799832940102,0.00018958737441895308,0.0002508299890905619,2.724716994642547e-05,0.0008992300136014819,0.0002282134464717113,5.714000435546041e-05,1.0652201406722162e-05,8.987998589873313e-05,1.6337608546891508e-05,2.0,0.0,1.0,0.0,1.0,0.0
all,0,Exact spectral,10,0.5,0.0,0.0,0.0,28281.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0762386999558657,0.0,0.05281894999789074,0.04147032469861904,1.1290576499537566,0.04147032469861901,1.0762386999558657,0.0,1.0762386999558657,0.0,-0.00145811987886947,0.0,0.0025248364462244397,0.0,0.4994834863347057,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,0,Gaussian RP,10,0.5,0.0,0.0,0.0,28281.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0045841199927963315,0.0008972888914062296,0.14776832999195905,0.062296085526966825,0.15235244998475536,0.06281307432554024,,,0.004562459955923259,0.000891761463802214,2.694375929776536e-05,9.498621754439746e-05,4.7938562650682915e-05,5.669194015301464e-05,0.5012038721270847,0.0030416743713163096,0.0005629199906252325,0.00022263189839625888,0.7071067811865475,0.0,0.0026238399907015262,0.000591959538629599,0.00035068999277427794,6.0529072776916806e-05,0.0008441199781373144,8.983964156726572e-05,6.943999323993921e-05,2.5916414856051547e-05,0.00011145001044496894,3.104545394766534e-05,,,,,,,,,,,,,,,,,,,,
all,2,Degree-stratified RP,10,0.5,0.0,0.0,0.0,28281.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.013706939981784672,0.0020347750500264764,0.08753788000904024,0.038470985014311496,0.10124481999082491,0.040072033943738046,,,0.013588200008962303,0.002025989606071592,9.513005261361594e-05,0.00014403644355703702,6.878410192681181e-05,6.17389867131111e-05,0.502494096134188,0.0034624291393694235,,,,,,,,,,,,,,,0.0013926099985837937,0.00019932898436362279,0.005893019994255155,0.0007235012568194398,0.003811700001824647,0.0006300819193656216,0.0009850399917922914,0.00012279384582470208,0.0012891999911516904,0.0005499640409616496,6.93000154569745e-05,2.238694324226994e-05,0.00014733001589775085,5.362425517100973e-05,4.0,0.0,1.0,0.0,1.0,0.0
all,2,Exact spectral,10,0.5,0.0,0.0,0.0,28281.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0762386999558657,0.0,0.04085924999089911,0.006435235610727126,1.1170979499467648,0.006435235610727015,1.0762386999558657,0.0,1.0762386999558657,0.0,-0.00145811987886947,0.0,0.0025248364462244397,0.0,0.4994834863347057,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,2,Gaussian RP,10,0.5,0.0,0.0,0.0,28281.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.008070100005716086,0.0013582039162427747,0.10828603999689221,0.04615048903309345,0.1163561400026083,0.04657144085235255,,,0.00798615999519825,0.001302943089616037,3.2978064171348684e-05,6.353636443899178e-05,5.37285524362077e-05,6.190635855479471e-05,0.5018282340650694,0.00248871497090403,0.0009877699776552618,6.83722769027263e-05,0.5,0.0,0.004151649994309991,0.001199795083277535,0.0013763800030574202,0.0002663931822162452,0.0012462000246159731,0.00014794150316283116,7.677997928112745e-05,1.645951187753298e-05,0.00014738001627847552,3.844651777713197e-05,,,,,,,,,,,,,,,,,,,,
all,5,Degree-stratified RP,10,0.5,0.0,0.0,0.0,28281.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.02185119000496343,0.0023187042930065786,0.07796133998781443,0.01633244647155545,0.09981252999277786,0.016445837013886737,,,0.021593140007462354,0.002292208683876024,0.00013747057850837797,0.0003759976271190147,0.00010233360057260667,0.00013691341788674014,0.5025506773708497,0.004901277084431407,,,,,,,,,,,,,,,0.0013346600113436579,0.00015077161631289697,0.007622160005848855,0.0009158675353682337,0.007394829974509775,0.0011325742686254714,0.0029423100175336005,0.00039615671797441906,0.0020413699792698027,0.00021498425326472043,8.33899830467999e-05,3.496845914020119e-05,0.00017442003590986132,4.6140119910736446e-05,7.0,0.0,1.0,0.0,1.0,0.0
all,5,Exact spectral,10,0.5,0.0,0.0,0.0,28281.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0762386999558657,0.0,0.03917487000580877,0.005608916247308039,1.1154135699616745,0.005608916247308034,1.0762386999558657,0.0,1.0762386999558657,0.0,-0.00145811987886947,0.0,0.0025248364462244397,0.0,0.4994834863347057,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,5,Gaussian RP,10,0.5,0.0,0.0,0.0,28281.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.014053889992646873,0.002170194248588819,0.10363186000613496,0.04358633166915772,0.11768574999878183,0.04319024932463839,,,0.013774959999136627,0.002130910453017081,6.173339365169652e-06,7.898645492647784e-05,5.103102010507863e-05,5.738499278100022e-05,0.5015291026861223,0.0020537920131614433,0.0019908299902454017,0.0001944063245524947,0.3779644730092272,0.0,0.006345940020401031,0.0014985462715106194,0.0031901099835522475,0.0003485690975375884,0.002003699995111674,0.00031009490002926256,7.993999170139432e-05,1.9571509620195696e-05,0.0001644400181248784,2.676374983312483e-05,,,,,,,,,,,,,,,,,,,,
all,10,Degree-stratified RP,10,0.5,0.0,0.0,0.0,28281.0,0.0,12.0,0.0,2.0,0.0,1.0,0.0,0.0335868300171569,0.0014119284862137613,0.07996690998552367,0.01058681575442159,0.11355374000268056,0.011242171788168633,,,0.03308709003031254,0.0013797405231694517,-5.4627960436108155e-06,0.00023798921507563108,0.00011961427678109355,0.0001389839825929869,0.5004074091013466,0.006261282811537955,,,,,,,,,,,,,,,0.0013359899981878697,0.0002999691172604258,0.009559840010479093,0.00039429962821443455,0.01288793000858277,0.0007315971141193503,0.005794619990047068,0.0009078647056936245,0.0030898600001819433,0.0003098618378012459,0.00010883000213652849,2.003242447174008e-05,0.0003100200206972659,6.40054083028146e-05,8.0,0.0,1.0,0.0,2.0,0.0
