rep,bucket_id,degree_low_inclusive,degree_high_exclusive,num_nodes,mass,sqrt_mass,sketch_dim
1,1,1,2,95,95.0,9.746794344808963,2
1,2,2,4,70,174.0,13.19090595827292,3
1,3,4,8,101,529.0,23.0,4
1,4,8,16,127,1401.0,37.429934544425805,5
1,5,16,32,235,5451.0,73.83088784512888,10
1,6,32,64,219,9897.0,99.48366700117161,13
1,7,64,128,105,8991.0,94.82088377567464,12
1,8,128,256,33,5245.0,72.42237223399962,10
1,9,256,512,1,345.0,18.57417562100671,3
2,1,1,2,95,95.0,9.746794344808963,2
2,2,2,4,70,174.0,13.19090595827292,3
2,3,4,8,101,529.0,23.0,4
2,4,8,16,127,1401.0,37.429934544425805,5
2,5,16,32,235,5451.0,73.83088784512888,10
2,6,32,64,219,9897.0,99.48366700117161,13
2,7,64,128,105,8991.0,94.82088377567464,12
2,8,128,256,33,5245.0,72.42237223399962,10
2,9,256,512,1,345.0,18.57417562100671,3
3,1,1,2,95,95.0,9.746794344808963,2
3,2,2,4,70,174.0,13.19090595827292,3
3,3,4,8,101,529.0,23.0,4
3,4,8,16,127,1401.0,37.429934544425805,5
3,5,16,32,235,5451.0,73.83088784512888,10
3,6,32,64,219,9897.0,99.48366700117161,13
3,7,64,128,105,8991.0,94.82088377567464,12
3,8,128,256,33,5245.0,72.42237223399962,10
3,9,256,512,1,345.0,18.57417562100671,3
4,1,1,2,95,95.0,9.746794344808963,2
4,2,2,4,70,174.0,13.19090595827292,3
4,3,4,8,101,529.0,23.0,4
4,4,8,16,127,1401.0,37.429934544425805,5
4,5,16,32,235,5451.0,73.83088784512888,10
4,6,32,64,219,9897.0,99.48366700117161,13
4,7,64,128,105,8991.0,94.82088377567464,12
4,8,128,256,33,5245.0,72.42237223399962,10
4,9,256,512,1,345.0,18.57417562100671,3
5,1,1,2,95,95.0,9.746794344808963,2
5,2,2,4,70,174.0,13.19090595827292,3
5,3,4,8,101,529.0,23.0,4
5,4,8,16,127,1401.0,37.429934544425805,5
5,5,16,32,235,5451.0,73.83088784512888,10
5,6,32,64,219,9897.0,99.48366700117161,13
5,7,64,128,105,8991.0,94.82088377567464,12
5,8,128,256,33,5245.0,72.42237223399962,10
5,9,256,512,1,345.0,18.57417562100671,3
6,1,1,2,95,95.0,9.746794344808963,2
6,2,2,4,70,174.0,13.19090595827292,3
6,3,4,8,101,529.0,23.0,4
6,4,8,16,127,1401.0,37.429934544425805,5
6,5,16,32,235,5451.0,73.83088784512888,10
6,6,32,64,219,9897.0,99.48366700117161,13
6,7,64,128,105,8991.0,94.82088377567464,12
6,8,128,256,33,5245.0,72.42237223399962,10
6,9,256,512,1,345.0,18.57417562100671,3
7,1,1,2,95,95.0,9.746794344808963,2
7,2,2,4,70,174.0,13.19090595827292,3
7,3,4,8,101,529.0,23.0,4
7,4,8,16,127,1401.0,37.429934544425805,5
7,5,16,32,235,5451.0,73.83088784512888,10
7,6,32,64,219,9897.0,99.48366700117161,13
7,7,64,128,105,8991.0,94.82088377567464,12
7,8,128,256,33,5245.0,72.42237223399962,10
7,9,256,512,1,345.0,18.57417562100671,3
8,1,1,2,95,95.0,9.746794344808963,2
8,2,2,4,70,174.0,13.19090595827292,3
8,3,4,8,101,529.0,23.0,4
8,4,8,16,127,1401.0,37.429934544425805,5
8,5,16,32,235,5451.0,73.83088784512888,10
8,6,32,64,219,9897.0,99.48366700117161,13
8,7,64,128,105,8991.0,94.82088377567464,12
8,8,128,256,33,5245.0,72.42237223399962,10
8,9,256,512,1,345.0,18.57417562100671,3
9,1,1,2,95,95.0,9.746794344808963,2
9,2,2,4,70,174.0,13.19090595827292,3
9,3,4,8,101,529.0,23.0,4
9,4,8,16,127,1401.0,37.429934544425805,5
9,5,16,32,235,5451.0,73.83088784512888,10
9,6,32,64,219,9897.0,99.48366700117161,13
9,7,64,128,105,8991.0,94.82088377567464,12
9,8,128,256,33,5245.0,72.42237223399962,10
9,9,256,512,1,345.0,18.57417562100671,3
10,1,1,2,95,95.0,9.746794344808963,2
10,2,2,4,70,174.0,13.19090595827292,3
10,3,4,8,101,529.0,23.0,4
10,4,8,16,127,1401.0,37.429934544425805,5
10,5,16,32,235,5451.0,73.83088784512888,10
10,6,32,64,219,9897.0,99.48366700117161,13
10,7,64,128,105,8991.0,94.82088377567464,12
10,8,128,256,33,5245.0,72.42237223399962,10
10,9,256,512,1,345.0,18.57417562100671,3
