alpha,tau_label,tau_value,r,rep,bucket_id,degree_low_inclusive,degree_high_exclusive,num_nodes,mass,sqrt_mass,sketch_dim
0.0,0,0.0,5,1,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,1,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,1,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,1,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,1,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,1,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,1,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,1,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,2,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,2,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,2,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,2,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,2,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,2,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,2,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,2,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,3,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,3,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,3,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,3,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,3,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,3,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,3,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,3,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,4,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,4,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,4,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,4,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,4,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,4,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,4,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,4,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,5,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,5,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,5,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,5,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,5,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,5,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,5,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,5,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,6,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,6,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,6,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,6,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,6,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,6,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,6,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,6,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,7,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,7,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,7,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,7,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,7,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,7,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,7,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,7,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,8,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,8,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,8,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,8,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,8,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,8,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,8,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,8,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,9,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,9,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,9,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,9,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,9,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,9,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,9,7,64,128,46,3921.0,62.617888817813075,2
0.0,0,0.0,5,9,8,128,256,6,1036.0,32.18695387886216,2
0.0,0,0.0,5,10,1,1,2,1754,1754.0,41.88078318274385,2
0.0,0,0.0,5,10,2,2,4,1979,4749.0,68.9129886160802,3
0.0,0,0.0,5,10,3,4,8,1786,9332.0,96.60227740586657,3
0.0,0,0.0,5,10,4,8,16,1265,13563.0,116.46029366269003,4
0.0,0,0.0,5,10,5,16,32,576,12304.0,110.92339699089638,4
0.0,0,0.0,5,10,6,32,64,212,8953.0,94.62029380635002,3
0.0,0,0.0,5,10,7,64,128,46,3921.0,62.617888817813075,2
