method,rep,r,ell,k,q,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,eigen_decomposition_wall_sec,dataset,alpha,tau_label,tau_value,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
Gaussian RP,1,5,23,18,1,0.014450200003921054,2.531281299990951,2.545731499994872,0.12761574828991304,0.28078059331865046,0.330076524018991,0.0020625000033760443,0.004917599988402799,0.0051001999963773414,0.0015413000073749572,0.00014930000179447234,0.00034980000054929405,0.014120699997874908,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,1,5,23,18,1,0.01764420000836253,0.42814209999050945,0.445786299998872,0.09851198752151201,0.24593596473389026,0.26698798332550766,,,,,,,0.017332600022200495,lastfm-asia,0.0,0,0.0,0.00042219999886583537,0.003896499998518266,0.006945200002519414,0.00414930000260938,0.0014845000114291906,0.00012680000509135425,0.00030810000316705555,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,2,5,23,18,1,0.01339739999093581,0.33791390000260435,0.35131129999354016,0.12026853236755593,0.26948830247485667,0.3279206784739986,0.0018703999958233908,0.004142800011322834,0.005130899997311644,0.0014586999895982444,0.00015419999544974416,0.00027210000553168356,0.01302909999503754,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,2,5,23,18,1,0.015259300009347498,0.3518788999936078,0.3671382000029553,0.09875220877114871,0.25792867228899724,0.2663556861481997,,,,,,,0.015000900020822883,lastfm-asia,0.0,0,0.0,0.0005476000078488141,0.003236900010961108,0.005997700005536899,0.003455999991274439,0.0013790000084554777,0.00011760000779759139,0.0002660999889485538,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,3,5,23,18,1,0.011233900004299358,0.3884074999950826,0.399641399999382,0.12196360473606602,0.2871354942794847,0.3414620119965943,0.0017228000069735572,0.0035182999999960884,0.0039692999998806044,0.0012713000032817945,0.0001289000065298751,0.00029510000604204834,0.010905700022703968,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,3,5,23,18,1,0.015553899997030385,0.3834592000057455,0.3990131000027759,0.08599915514332715,0.23975642907933953,0.27055702253698644,,,,,,,0.015315099997678772,lastfm-asia,0.0,0,0.0,0.0004734000103781,0.0037312999920686707,0.006071600000723265,0.0034845999907702208,0.0011400000075809658,0.00011759999324567616,0.00029660000291187316,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,4,5,23,18,1,0.009268199995858595,0.3638763999915682,0.3731445999874268,0.10624160478318818,0.24855436603143835,0.2608949343006811,0.0014701000036438927,0.0026511999894864857,0.0036351999879116192,0.001037699999869801,9.029998909682035e-05,0.00020750000840052962,0.009091999978409149,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,4,5,23,18,1,0.016969599993899465,0.33540029999858234,0.3523698999924818,0.09874586429610059,0.2569770530922998,0.295059000926738,,,,,,,0.01658740000857506,lastfm-asia,0.0,0,0.0,0.0004896000027656555,0.00393219999386929,0.006670600007055327,0.003948199999285862,0.0011272999981883913,0.00012870000500697643,0.0002908000024035573,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
Gaussian RP,5,5,23,18,1,0.01201510000100825,0.3346734000078868,0.34668850000889506,0.11964497656233447,0.27219328073091553,0.3022501464334994,0.0017069000023184344,0.003909699997166172,0.004101500002434477,0.0012698000064119697,0.00013179999950807542,0.0004104999970877543,0.011530200004926883,lastfm-asia,0.0,0,0.0,,,,,,,,,,,
Degree-stratified RP,5,5,23,18,1,0.017864699999336153,0.3660184000036679,0.3838831000030041,0.11561645098555334,0.26940195365129677,0.28803319340113653,,,,,,,0.017625399996177293,lastfm-asia,0.0,0,0.0,0.0004850000113947317,0.0038883999950485304,0.007170800003223121,0.004246399999829009,0.0014099999971222132,0.00011639999866019934,0.00030839999089948833,8.0,2.0,4.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=3;[4,8):n=1786,ell=3;[8,16):n=1265,ell=4;[16,32):n=576,ell=4;[32,64):n=212,ell=3;[64,128):n=46,ell=2;[128,256):n=6,ell=2"
