r,rep,bucket_id,degree_low_inclusive,degree_high_exclusive,num_nodes,mass,sqrt_mass,sketch_dim,test_matrix_entry_std
0,1,1,1,2,1754,1754.0,41.88078318274385,2,0.7071067811865475
0,1,2,2,4,1979,4749.0,68.9129886160802,2,0.7071067811865475
0,1,3,4,8,1786,9332.0,96.60227740586657,3,0.5773502691896258
0,1,4,8,16,1265,13563.0,116.46029366269003,3,0.5773502691896258
0,1,5,16,32,576,12304.0,110.92339699089638,3,0.5773502691896258
0,1,6,32,64,212,8953.0,94.62029380635002,2,0.7071067811865475
0,1,7,64,128,46,3921.0,62.617888817813075,2,0.7071067811865475
0,1,8,128,256,6,1036.0,32.18695387886216,1,1.0
0,2,1,1,2,1754,1754.0,41.88078318274385,2,0.7071067811865475
0,2,2,2,4,1979,4749.0,68.9129886160802,2,0.7071067811865475
0,2,3,4,8,1786,9332.0,96.60227740586657,3,0.5773502691896258
0,2,4,8,16,1265,13563.0,116.46029366269003,3,0.5773502691896258
0,2,5,16,32,576,12304.0,110.92339699089638,3,0.5773502691896258
0,2,6,32,64,212,8953.0,94.62029380635002,2,0.7071067811865475
0,2,7,64,128,46,3921.0,62.617888817813075,2,0.7071067811865475
0,2,8,128,256,6,1036.0,32.18695387886216,1,1.0
0,3,1,1,2,1754,1754.0,41.88078318274385,2,0.7071067811865475
0,3,2,2,4,1979,4749.0,68.9129886160802,2,0.7071067811865475
0,3,3,4,8,1786,9332.0,96.60227740586657,3,0.5773502691896258
0,3,4,8,16,1265,13563.0,116.46029366269003,3,0.5773502691896258
0,3,5,16,32,576,12304.0,110.92339699089638,3,0.5773502691896258
0,3,6,32,64,212,8953.0,94.62029380635002,2,0.7071067811865475
0,3,7,64,128,46,3921.0,62.617888817813075,2,0.7071067811865475
0,3,8,128,256,6,1036.0,32.18695387886216,1,1.0
0,4,1,1,2,1754,1754.0,41.88078318274385,2,0.7071067811865475
0,4,2,2,4,1979,4749.0,68.9129886160802,2,0.7071067811865475
0,4,3,4,8,1786,9332.0,96.60227740586657,3,0.5773502691896258
0,4,4,8,16,1265,13563.0,116.46029366269003,3,0.5773502691896258
0,4,5,16,32,576,12304.0,110.92339699089638,3,0.5773502691896258
0,4,6,32,64,212,8953.0,94.62029380635002,2,0.7071067811865475
0,4,7,64,128,46,3921.0,62.617888817813075,2,0.7071067811865475
0,4,8,128,256,6,1036.0,32.18695387886216,1,1.0
0,5,1,1,2,1754,1754.0,41.88078318274385,2,0.7071067811865475
0,5,2,2,4,1979,4749.0,68.9129886160802,2,0.7071067811865475
0,5,3,4,8,1786,9332.0,96.60227740586657,3,0.5773502691896258
0,5,4,8,16,1265,13563.0,116.46029366269003,3,0.5773502691896258
0,5,5,16,32,576,12304.0,110.92339699089638,3,0.5773502691896258
0,5,6,32,64,212,8953.0,94.62029380635002,2,0.7071067811865475
0,5,7,64,128,46,3921.0,62.617888817813075,2,0.7071067811865475
0,5,8,128,256,6,1036.0,32.18695387886216,1,1.0
0,6,1,1,2,1754,1754.0,41.88078318274385,2,0.7071067811865475
0,6,2,2,4,1979,4749.0,68.9129886160802,2,0.7071067811865475
0,6,3,4,8,1786,9332.0,96.60227740586657,3,0.5773502691896258
0,6,4,8,16,1265,13563.0,116.46029366269003,3,0.5773502691896258
0,6,5,16,32,576,12304.0,110.92339699089638,3,0.5773502691896258
0,6,6,32,64,212,8953.0,94.62029380635002,2,0.7071067811865475
0,6,7,64,128,46,3921.0,62.617888817813075,2,0.7071067811865475
0,6,8,128,256,6,1036.0,32.18695387886216,1,1.0
0,7,1,1,2,1754,1754.0,41.88078318274385,2,0.7071067811865475
0,7,2,2,4,1979,4749.0,68.9129886160802,2,0.7071067811865475
0,7,3,4,8,1786,9332.0,96.60227740586657,3,0.5773502691896258
0,7,4,8,16,1265,13563.0,116.46029366269003,3,0.5773502691896258
0,7,5,16,32,576,12304.0,110.92339699089638,3,0.5773502691896258
0,7,6,32,64,212,8953.0,94.62029380635002,2,0.7071067811865475
