dataset,alpha,tau_label,tau_value,group,group_n,method,rep,r,ell,k,q,test_matrix_scaling,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,exact_eigsh_sec,eigen_decomposition_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_test_matrix_entry_std,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
lastfm-asia,0.5,0,0.0,all,7624,Exact spectral,1,0,18,18,1,by_dim,0.15917750005610287,0.288186400081031,0.4473639001371339,0.15917750005610287,0.15917750005610287,0.6408811157691899,0.6480451108870853,0.5175736464065792,,,,,,,,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,low_deg_1_2,2942,Exact spectral,1,0,18,18,1,by_dim,0.15917750005610287,0.288186400081031,0.4473639001371339,0.15917750005610287,0.15917750005610287,0.5020980158395553,0.5099151280797178,0.4387586834494085,,,,,,,,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,mid_deg_3_8,2847,Exact spectral,1,0,18,18,1,by_dim,0.15917750005610287,0.288186400081031,0.4473639001371339,0.15917750005610287,0.15917750005610287,0.6943635048107447,0.7220654331478531,0.5476452366344923,,,,,,,,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,high_deg_9_plus,1835,Exact spectral,1,0,18,18,1,by_dim,0.15917750005610287,0.288186400081031,0.4473639001371339,0.15917750005610287,0.15917750005610287,0.8144591808818549,0.8496803335752541,0.5860496533408497,,,,,,,,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,all,7624,Gaussian RP,1,0,18,18,1,by_dim,0.01623700000345707,0.4764358999673277,0.4926728999707848,,0.015850699855946004,0.06410372282511442,0.14279252791598784,0.19916858311132826,0.0020504998974502087,0.23570226039551587,0.003347799996845424,0.00625840004067868,0.0013051999267190695,0.0024332000175490975,0.0004555999767035246,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,low_deg_1_2,2942,Gaussian RP,1,0,18,18,1,by_dim,0.01623700000345707,0.4764358999673277,0.4926728999707848,,0.015850699855946004,0.021136949845423362,0.07498805439309528,0.13540628820840891,0.0020504998974502087,0.23570226039551587,0.003347799996845424,0.00625840004067868,0.0013051999267190695,0.0024332000175490975,0.0004555999767035246,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,mid_deg_3_8,2847,Gaussian RP,1,0,18,18,1,by_dim,0.01623700000345707,0.4764358999673277,0.4926728999707848,,0.015850699855946004,0.04465364202441131,0.13005281507817523,0.17846132794491554,0.0020504998974502087,0.23570226039551587,0.003347799996845424,0.00625840004067868,0.0013051999267190695,0.0024332000175490975,0.0004555999767035246,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,high_deg_9_plus,1835,Gaussian RP,1,0,18,18,1,by_dim,0.01623700000345707,0.4764358999673277,0.4926728999707848,,0.015850699855946004,0.2569403524244134,0.3959895962711199,0.3294047011077131,0.0020504998974502087,0.23570226039551587,0.003347799996845424,0.00625840004067868,0.0013051999267190695,0.0024332000175490975,0.0004555999767035246,,,,,,,,,,,
lastfm-asia,0.5,0,0.0,all,7624,Degree-stratified RP,1,0,18,18,1,by_dim,0.013590199989266694,0.34173260000534356,0.35532279999461025,,0.013280799961648881,0.07259940552167733,0.15889628376854156,0.19150530120117853,,,,,,,,0.0004811999388039112,0.003946200013160706,0.005117899971082807,0.0024974000407382846,0.0008961999556049705,0.00010159995872527361,0.00024030008353292942,8.0,1.0,3.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=2;[4,8):n=1786,ell=3;[8,16):n=1265,ell=3;[16,32):n=576,ell=3;[32,64):n=212,ell=2;[64,128):n=46,ell=2;[128,256):n=6,ell=1"
lastfm-asia,0.5,0,0.0,low_deg_1_2,2942,Degree-stratified RP,1,0,18,18,1,by_dim,0.013590199989266694,0.34173260000534356,0.35532279999461025,,0.013280799961648881,0.020736139807863492,0.0915271214986707,0.13997173044126876,,,,,,,,0.0004811999388039112,0.003946200013160706,0.005117899971082807,0.0024974000407382846,0.0008961999556049705,0.00010159995872527361,0.00024030008353292942,8.0,1.0,3.0,"[1,2):n=1754,ell=2;[2,4):n=1979,ell=2;[4,8):n=1786,ell=3;[8,16):n=1265,ell=3;[16,32):n=576,ell=3;[32,64):n=212,ell=2;[64,128):n=46,ell=2;[128,256):n=6,ell=1"
