group,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
all,0,ARI_true,0.05500958311766624,0.0,0.0,1
all,0,NMI_true,0.06767094055195222,0.0,0.0,1
all,0,F1_macro_true,0.009716176616258232,0.0,0.0,1
all,0,total_method_wall_sec,-2.0912618000002112,0.0,0.0,1
all,2,ARI_true,-0.1622788966405716,0.0,0.0,1
all,2,NMI_true,-0.07099804277926364,0.0,0.0,1
all,2,F1_macro_true,-0.04612107340852281,0.0,0.0,1
all,2,total_method_wall_sec,0.0017550000193296,0.0,0.0,1
high_deg_9_plus,0,ARI_true,0.22915553769941732,0.0,0.0,1
high_deg_9_plus,0,NMI_true,0.1828566420237272,0.0,0.0,1
high_deg_9_plus,0,F1_macro_true,-0.04707792207792205,0.0,0.0,1
high_deg_9_plus,0,total_method_wall_sec,-2.0912618000002112,0.0,0.0,1
high_deg_9_plus,2,ARI_true,-0.14177299434518875,0.0,0.0,1
high_deg_9_plus,2,NMI_true,-0.10354253238309519,0.0,0.0,1
high_deg_9_plus,2,F1_macro_true,-0.08571428571428572,0.0,0.0,1
high_deg_9_plus,2,total_method_wall_sec,0.0017550000193296,0.0,0.0,1
low_deg_1_2,0,ARI_true,0.031070247814056096,0.0,0.0,1
low_deg_1_2,0,NMI_true,0.05026928131028163,0.0,0.0,1
low_deg_1_2,0,F1_macro_true,0.020914912400980507,0.0,0.0,1
low_deg_1_2,0,total_method_wall_sec,-2.0912618000002112,0.0,0.0,1
low_deg_1_2,2,ARI_true,-0.0884364368337325,0.0,0.0,1
low_deg_1_2,2,NMI_true,-0.04330994548235001,0.0,0.0,1
low_deg_1_2,2,F1_macro_true,-0.072617804518257,0.0,0.0,1
low_deg_1_2,2,total_method_wall_sec,0.0017550000193296,0.0,0.0,1
mid_deg_3_8,0,ARI_true,0.04550399054062426,0.0,0.0,1
mid_deg_3_8,0,NMI_true,-0.007334698722708866,0.0,0.0,1
mid_deg_3_8,0,F1_macro_true,-0.02252747252747253,0.0,0.0,1
mid_deg_3_8,0,total_method_wall_sec,-2.0912618000002112,0.0,0.0,1
mid_deg_3_8,2,ARI_true,-0.15031431499381942,0.0,0.0,1
mid_deg_3_8,2,NMI_true,-0.09780452421217867,0.0,0.0,1
mid_deg_3_8,2,F1_macro_true,-0.0328754578754579,0.0,0.0,1
mid_deg_3_8,2,total_method_wall_sec,0.0017550000193296,0.0,0.0,1
