group,r,method,runs,alpha_mean,alpha_std,tau_value_mean,tau_value_std,group_n_mean,group_n_std,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
all,0,Degree-stratified RP,1,0.5,,0.0,,136.0,,10.0,,10.0,,1.0,,0.0008950000046752393,,0.03916659999231342,,0.04006159999698866,,,,,,,,,,,,,,0.0008458000083919615,,0.43622931771058016,,0.5949977577139967,,0.19531042868027865,,0.000112900001113303,,0.00044729998626280576,,0.0001264000020455569,,4.730001091957092e-05,,3.340000694151968e-05,,5.5900003644637764e-05,,2.2599997464567423e-05,,5.0,,2.0,,2.0,
all,0,Gaussian RP,1,0.5,,0.0,,136.0,,10.0,,10.0,,1.0,,0.00033510000503156334,,2.1309882999921683,,2.1313233999972,,1.820000761654228e-05,,4.739999712910503e-05,,0.0001247000036528334,,3.609999839682132e-05,,8.629998774267733e-05,,1.1800002539530396e-05,,0.00032449999707750976,,0.3812197345929139,,0.5273268171620444,,0.18559425206402042,,,,,,,,,,,,,,,,,,,,,
all,2,Degree-stratified RP,1,0.5,,0.0,,136.0,,12.0,,10.0,,1.0,,0.0008856000058585778,,0.039350800012471154,,0.04023640001832973,,,,,,,,,,,,,,0.0008400000078836456,,0.2890386159591347,,0.47701708427549333,,0.16840101419048786,,0.00013610000314656645,,0.0004337999998824671,,0.0001112000027205795,,4.949999856762588e-05,,3.290000313427299e-05,,6.6100008552894e-05,,1.0399991879239678e-05,,5.0,,2.0,,3.0,
all,2,Gaussian RP,1,0.5,,0.0,,136.0,,12.0,,10.0,,1.0,,0.00022499999613501132,,0.03825640000286512,,0.03848139999900013,,1.920000067912042e-05,,3.1099989428184927e-05,,7.870000263210386e-05,,2.7799993404187262e-05,,4.949999856762588e-05,,7.499998901039362e-06,,0.0002137999836122617,,0.4513175125997063,,0.548015127054757,,0.21452208759901067,,,,,,,,,,,,,,,,,,,,,
high_deg_9_plus,0,Degree-stratified RP,1,0.5,,0.0,,22.0,,10.0,,10.0,,1.0,,0.0008950000046752393,,0.03916659999231342,,0.04006159999698866,,,,,,,,,,,,,,0.0008458000083919615,,0.9074963959634791,,0.8986797444560153,,0.196969696969697,,0.000112900001113303,,0.00044729998626280576,,0.0001264000020455569,,4.730001091957092e-05,,3.340000694151968e-05,,5.5900003644637764e-05,,2.2599997464567423e-05,,5.0,,2.0,,2.0,
high_deg_9_plus,0,Gaussian RP,1,0.5,,0.0,,22.0,,10.0,,10.0,,1.0,,0.00033510000503156334,,2.1309882999921683,,2.1313233999972,,1.820000761654228e-05,,4.739999712910503e-05,,0.0001247000036528334,,3.609999839682132e-05,,8.629998774267733e-05,,1.1800002539530396e-05,,0.00032449999707750976,,0.6783408582640618,,0.7158231024322881,,0.24404761904761904,,,,,,,,,,,,,,,,,,,,,
high_deg_9_plus,2,Degree-stratified RP,1,0.5,,0.0,,22.0,,12.0,,10.0,,1.0,,0.0008856000058585778,,0.039350800012471154,,0.04023640001832973,,,,,,,,,,,,,,0.0008400000078836456,,0.8487477492224587,,0.8681760365552859,,0.19999999999999998,,0.00013610000314656645,,0.0004337999998824671,,0.0001112000027205795,,4.949999856762588e-05,,3.290000313427299e-05,,6.6100008552894e-05,,1.0399991879239678e-05,,5.0,,2.0,,3.0,
high_deg_9_plus,2,Gaussian RP,1,0.5,,0.0,,22.0,,12.0,,10.0,,1.0,,0.00022499999613501132,,0.03825640000286512,,0.03848139999900013,,1.920000067912042e-05,,3.1099989428184927e-05,,7.870000263210386e-05,,2.7799993404187262e-05,,4.949999856762588e-05,,7.499998901039362e-06,,0.0002137999836122617,,0.9905207435676474,,0.971718568938381,,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,
low_deg_1_2,0,Degree-stratified RP,1,0.5,,0.0,,63.0,,10.0,,10.0,,1.0,,0.0008950000046752393,,0.03916659999231342,,0.04006159999698866,,,,,,,,,,,,,,0.0008458000083919615,,0.2499231254654151,,0.5874861497024781,,0.23513402662009472,,0.000112900001113303,,0.00044729998626280576,,0.0001264000020455569,,4.730001091957092e-05,,3.340000694151968e-05,,5.5900003644637764e-05,,2.2599997464567423e-05,,5.0,,2.0,,2.0,
low_deg_1_2,0,Gaussian RP,1,0.5,,0.0,,63.0,,10.0,,10.0,,1.0,,0.00033510000503156334,,2.1309882999921683,,2.1313233999972,,1.820000761654228e-05,,4.739999712910503e-05,,0.0001247000036528334,,3.609999839682132e-05,,8.629998774267733e-05,,1.1800002539530396e-05,,0.00032449999707750976,,0.218852877651359,,0.5372168683921965,,0.21421911421911422,,,,,,,,,,,,,,,,,,,,,
low_deg_1_2,2,Degree-stratified RP,1,0.5,,0.0,,63.0,,12.0,,10.0,,1.0,,0.0008856000058585778,,0.039350800012471154,,0.04023640001832973,,,,,,,,,,,,,,0.0008400000078836456,,0.1910232038641054,,0.4949982657280708,,0.23626373626373626,,0.00013610000314656645,,0.0004337999998824671,,0.0001112000027205795,,4.949999856762588e-05,,3.290000313427299e-05,,6.6100008552894e-05,,1.0399991879239678e-05,,5.0,,2.0,,3.0,
low_deg_1_2,2,Gaussian RP,1,0.5,,0.0,,63.0,,12.0,,10.0,,1.0,,0.00022499999613501132,,0.03825640000286512,,0.03848139999900013,,1.920000067912042e-05,,3.1099989428184927e-05,,7.870000263210386e-05,,2.7799993404187262e-05,,4.949999856762588e-05,,7.499998901039362e-06,,0.0002137999836122617,,0.2794596406978379,,0.5383082112104208,,0.30888154078199326,,,,,,,,,,,,,,,,,,,,,
mid_deg_3_8,0,Degree-stratified RP,1,0.5,,0.0,,51.0,,10.0,,10.0,,1.0,,0.0008950000046752393,,0.03916659999231342,,0.04006159999698866,,,,,,,,,,,,,,0.0008458000083919615,,0.4953034698905152,,0.6927527270758138,,0.21428571428571427,,0.000112900001113303,,0.00044729998626280576,,0.0001264000020455569,,4.730001091957092e-05,,3.340000694151968e-05,,5.5900003644637764e-05,,2.2599997464567423e-05,,5.0,,2.0,,2.0,
mid_deg_3_8,0,Gaussian RP,1,0.5,,0.0,,51.0,,10.0,,10.0,,1.0,,0.00033510000503156334,,2.1309882999921683,,2.1313233999972,,1.820000761654228e-05,,4.739999712910503e-05,,0.0001247000036528334,,3.609999839682132e-05,,8.629998774267733e-05,,1.1800002539530396e-05,,0.00032449999707750976,,0.44979947934989095,,0.7000874257985227,,0.2368131868131868,,,,,,,,,,,,,,,,,,,,,
