alpha,tau_label,tau_value,r,rep,bucket_id,degree_low_inclusive,degree_high_exclusive,num_nodes,mass,sqrt_mass,sketch_dim
0.0,0,0.0,5,1,1,1,2,34,34.0,5.830951894845301,2
0.0,0,0.0,5,1,2,2,4,53,130.0,11.40175425099138,3
0.0,0,0.0,5,1,3,4,8,22,117.0,10.816653826391969,3
0.0,0,0.0,5,1,4,8,16,24,235.0,15.329709716755891,4
0.0,0,0.0,5,1,5,16,32,3,60.0,7.745966692414834,3
0.0,mean,4.235294117647059,5,1,1,1,2,34,34.0,5.830951894845301,2
0.0,mean,4.235294117647059,5,1,2,2,4,53,130.0,11.40175425099138,3
0.0,mean,4.235294117647059,5,1,3,4,8,22,117.0,10.816653826391969,3
0.0,mean,4.235294117647059,5,1,4,8,16,24,235.0,15.329709716755891,4
0.0,mean,4.235294117647059,5,1,5,16,32,3,60.0,7.745966692414834,3
0.5,0,0.0,5,1,1,1,2,34,34.0,5.830951894845301,2
0.5,0,0.0,5,1,2,2,4,53,130.0,11.40175425099138,3
0.5,0,0.0,5,1,3,4,8,22,117.0,10.816653826391969,3
0.5,0,0.0,5,1,4,8,16,24,235.0,15.329709716755891,4
0.5,0,0.0,5,1,5,16,32,3,60.0,7.745966692414834,3
0.5,mean,4.235294117647059,5,1,1,1,2,34,34.0,5.830951894845301,2
0.5,mean,4.235294117647059,5,1,2,2,4,53,130.0,11.40175425099138,3
0.5,mean,4.235294117647059,5,1,3,4,8,22,117.0,10.816653826391969,3
0.5,mean,4.235294117647059,5,1,4,8,16,24,235.0,15.329709716755891,4
0.5,mean,4.235294117647059,5,1,5,16,32,3,60.0,7.745966692414834,3
