alpha,tau_label,tau_value,r,metric,diff_mean_ds_minus_gaussian,diff_std,diff_se,n_pairs
0.0,0,0.0,5,ARI_true,7.06692529720554e-05,0.0,0.0,1
0.0,0,0.0,5,NMI_true,0.01705583954758444,0.0,0.0,1
0.0,0,0.0,5,F1_macro_true,0.041193346159353356,0.0,0.0,1
0.0,0,0.0,5,total_method_wall_sec,-2.067699800012633,0.0,0.0,1
0.0,mean,4.235294117647059,5,ARI_true,-0.09561271219291564,0.0,0.0,1
0.0,mean,4.235294117647059,5,NMI_true,-0.07987370126377669,0.0,0.0,1
0.0,mean,4.235294117647059,5,F1_macro_true,-0.012109309771873633,0.0,0.0,1
0.0,mean,4.235294117647059,5,total_method_wall_sec,0.0008458000083919615,0.0,0.0,1
0.5,0,0.0,5,ARI_true,-0.12454038353481622,0.0,0.0,1
0.5,0,0.0,5,NMI_true,-0.0811758997735249,0.0,0.0,1
0.5,0,0.0,5,F1_macro_true,-0.04778600495195587,0.0,0.0,1
0.5,0,0.0,5,total_method_wall_sec,0.0005036000075051561,0.0,0.0,1
0.5,mean,4.235294117647059,5,ARI_true,-0.11688850759912783,0.0,0.0,1
0.5,mean,4.235294117647059,5,NMI_true,-0.10040274833440799,0.0,0.0,1
0.5,mean,4.235294117647059,5,F1_macro_true,-0.042857354776859424,0.0,0.0,1
0.5,mean,4.235294117647059,5,total_method_wall_sec,0.0019786999910138547,0.0,0.0,1
