r,rep,bucket_id,degree_low_inclusive,degree_high_exclusive,num_nodes,mass,sqrt_mass,sketch_dim,test_matrix_entry_std
0,1,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,1,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,2,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,2,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,3,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,3,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,4,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,4,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,5,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,5,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,6,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,6,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,7,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,7,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,8,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,8,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,9,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,9,2,64,512,167,17502.0,132.29512462672236,1,1.0
0,10,1,1,64,1055,16056.0,126.71227249165726,1,1.0
0,10,2,64,512,167,17502.0,132.29512462672236,1,1.0
2,1,1,1,32,871,7985.0,89.35882720806042,1,1.0
2,1,2,32,64,184,8071.0,89.83874442577657,1,1.0
2,1,3,64,128,134,11486.0,107.17275773255068,1,1.0
2,1,4,128,512,33,6016.0,77.56287771866127,1,1.0
2,2,1,1,32,871,7985.0,89.35882720806042,1,1.0
2,2,2,32,64,184,8071.0,89.83874442577657,1,1.0
2,2,3,64,128,134,11486.0,107.17275773255068,1,1.0
2,2,4,128,512,33,6016.0,77.56287771866127,1,1.0
2,3,1,1,32,871,7985.0,89.35882720806042,1,1.0
2,3,2,32,64,184,8071.0,89.83874442577657,1,1.0
2,3,3,64,128,134,11486.0,107.17275773255068,1,1.0
2,3,4,128,512,33,6016.0,77.56287771866127,1,1.0
