dataset,alpha,tau_label,tau_value,group,group_n,method,rep,r,ell,k,q,test_matrix_scaling,embedding_wall_sec,clustering_wall_sec,total_method_wall_sec,exact_eigsh_sec,eigen_decomposition_wall_sec,ARI_true,NMI_true,F1_macro_true,rp_draw_omega_sec,rp_test_matrix_entry_std,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_small_eigh_sec,rp_lift_sec,ds_bucket_build_sec,ds_draw_and_initial_multiply_sec,ds_power_iter_sec,ds_qr_sec,ds_build_core_sec,ds_small_eigh_sec,ds_lift_sec,ds_num_buckets,ds_min_bucket_dim,ds_max_bucket_dim,ds_bucket_summary
polblogs,0.5,0,0.0,all,1222,Exact spectral,1,0,2,2,1,by_dim,0.006799299968406558,0.11918969999533147,0.12598899996373802,0.006799299968406558,0.006799299968406558,-0.00024081082708013297,0.0005978453430448398,0.33031488031643624,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,low_deg_1_2,242,Exact spectral,1,0,2,2,1,by_dim,0.006799299968406558,0.11918969999533147,0.12598899996373802,0.006799299968406558,0.006799299968406558,0.0034424824275672895,0.017798216811149955,0.3726958525345622,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,mid_deg_3_8,271,Exact spectral,1,0,2,2,1,by_dim,0.006799299968406558,0.11918969999533147,0.12598899996373802,0.006799299968406558,0.006799299968406558,0.0008465349010664863,0.002279836505596332,0.36076595902750697,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,high_deg_9_plus,709,Exact spectral,1,0,2,2,1,by_dim,0.006799299968406558,0.11918969999533147,0.12598899996373802,0.006799299968406558,0.006799299968406558,0.0007890575452106661,0.0033422915763340476,0.36306046274400705,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,all,1222,Gaussian RP,1,0,2,2,1,by_dim,0.0009880999568849802,0.032551500014960766,0.033539599971845746,,0.000966200022958219,0.5252924042925932,0.4241866551995702,0.86186776187772,4.700000863522291e-05,0.7071067811865475,0.00042990001384168863,0.00020480004604905844,0.000157299917191267,0.00010790000669658184,1.9300030544400215e-05,,,,,,,,,,,
polblogs,0.5,0,0.0,low_deg_1_2,242,Gaussian RP,1,0,2,2,1,by_dim,0.0009880999568849802,0.032551500014960766,0.033539599971845746,,0.000966200022958219,0.12267668994909435,0.09570806050888833,0.6773333333333333,4.700000863522291e-05,0.7071067811865475,0.00042990001384168863,0.00020480004604905844,0.000157299917191267,0.00010790000669658184,1.9300030544400215e-05,,,,,,,,,,,
polblogs,0.5,0,0.0,mid_deg_3_8,271,Gaussian RP,1,0,2,2,1,by_dim,0.0009880999568849802,0.032551500014960766,0.033539599971845746,,0.000966200022958219,0.3959273860291657,0.3198123441032768,0.815495642701525,4.700000863522291e-05,0.7071067811865475,0.00042990001384168863,0.00020480004604905844,0.000157299917191267,0.00010790000669658184,1.9300030544400215e-05,,,,,,,,,,,
polblogs,0.5,0,0.0,high_deg_9_plus,709,Gaussian RP,1,0,2,2,1,by_dim,0.0009880999568849802,0.032551500014960766,0.033539599971845746,,0.000966200022958219,0.78671272596526,0.6842751310054077,0.9426375404530745,4.700000863522291e-05,0.7071067811865475,0.00042990001384168863,0.00020480004604905844,0.000157299917191267,0.00010790000669658184,1.9300030544400215e-05,,,,,,,,,,,
polblogs,0.5,0,0.0,all,1222,Degree-stratified RP,1,0,2,2,1,by_dim,0.0016247000312432647,0.027548199985176325,0.02917290001641959,,0.001581600052304566,0.511139413894617,0.40931614354554297,0.8571939005781342,,,,,,,,0.0002901999978348613,0.0006817999528720975,0.0003483000909909606,4.549999721348286e-05,0.0001596000511199236,4.6200002543628216e-05,9.999959729611874e-06,2.0,1.0,1.0,"[1,64):n=1055,ell=1;[64,512):n=167,ell=1"
polblogs,0.5,0,0.0,low_deg_1_2,242,Degree-stratified RP,1,0,2,2,1,by_dim,0.0016247000312432647,0.027548199985176325,0.02917290001641959,,0.001581600052304566,0.20316790920724848,0.19021661632345457,0.7260753241407697,,,,,,,,0.0002901999978348613,0.0006817999528720975,0.0003483000909909606,4.549999721348286e-05,0.0001596000511199236,4.6200002543628216e-05,9.999959729611874e-06,2.0,1.0,1.0,"[1,64):n=1055,ell=1;[64,512):n=167,ell=1"
polblogs,0.5,0,0.0,mid_deg_3_8,271,Degree-stratified RP,1,0,2,2,1,by_dim,0.0016247000312432647,0.027548199985176325,0.02917290001641959,,0.001581600052304566,0.3683751147675096,0.28586617265186387,0.8037439365990298,,,,,,,,0.0002901999978348613,0.0006817999528720975,0.0003483000909909606,4.549999721348286e-05,0.0001596000511199236,4.6200002543628216e-05,9.999959729611874e-06,2.0,1.0,1.0,"[1,64):n=1055,ell=1;[64,512):n=167,ell=1"
polblogs,0.5,0,0.0,high_deg_9_plus,709,Degree-stratified RP,1,0,2,2,1,by_dim,0.0016247000312432647,0.027548199985176325,0.02917290001641959,,0.001581600052304566,0.7133601971843406,0.6120088092815323,0.9217478553153062,,,,,,,,0.0002901999978348613,0.0006817999528720975,0.0003483000909909606,4.549999721348286e-05,0.0001596000511199236,4.6200002543628216e-05,9.999959729611874e-06,2.0,1.0,1.0,"[1,64):n=1055,ell=1;[64,512):n=167,ell=1"
polblogs,0.5,0,0.0,all,1222,Exact spectral,2,0,2,2,1,by_dim,0.006799299968406558,0.011700599920004606,0.018499899888411164,0.006799299968406558,0.006799299968406558,-0.00024081082708013297,0.0005978453430448398,0.33031488031643624,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,low_deg_1_2,242,Exact spectral,2,0,2,2,1,by_dim,0.006799299968406558,0.011700599920004606,0.018499899888411164,0.006799299968406558,0.006799299968406558,0.0034424824275672895,0.017798216811149955,0.3726958525345622,,,,,,,,,,,,,,,,,,
polblogs,0.5,0,0.0,mid_deg_3_8,271,Exact spectral,2,0,2,2,1,by_dim,0.006799299968406558,0.011700599920004606,0.018499899888411164,0.006799299968406558,0.006799299968406558,0.0008465349010664863,0.002279836505596332,0.36076595902750697,,,,,,,,,,,,,,,,,,
