alpha_n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
0.05,CountSketch,9.22789567098016,0.27623550797672697,1.4256510416666666,0.20824675249970195,0.012130456015928732,0.0008982388732725808,0.07078890839999516,0.024449885029334678
0.05,Non-random,12.24649173954992,0.08439813792320847,0.37421875,0.042406231213392265,0.0019316663148232765,0.0008062732553828244,0.4765470396000005,0.015119483763417655
0.05,Random Projection,9.146997975804322,0.3577750397097571,1.3115885416666668,0.2032712779500944,0.011698904722243839,0.0011442223875246375,0.06809484790000013,0.01101009739171677
0.05,Random Sampling,12.964512738602636,0.3082995313550264,0.75078125,0.09025093259488834,0.003985089171628922,0.0009623305256088734,0.14581774999999908,0.012493999129542592
0.05,SIGN Bidirectional,8.58364881480721,0.27122081469529113,1.559375,0.16757564626825178,0.012763259399422439,0.000875906584446132,0.07407438319999855,0.012525311365940943
0.1,CountSketch,13.557411826459946,1.5772841954369061,0.32317708333333334,0.1028698748083816,0.01566481214527341,0.0035640388538700665,0.04298765630000219,0.004605194158301484
0.1,Non-random,16.865762956793542,0.07841188013788834,0.044661458333333334,0.012425392985875161,0.0015296941923696396,0.000692663692951644,0.47352016250000306,0.03590537205189692
0.1,Random Projection,12.508969828295779,0.7720265791627114,0.254296875,0.07305982871938231,0.013408841827733192,0.002552079195724948,0.03864828314999898,0.0034233124420510294
0.1,Random Sampling,15.077543005799601,0.19825439492193422,0.16497395833333334,0.02364634957219143,0.003704081830578611,0.0011145493562620644,0.09248329994999978,0.005267833561725047
0.1,SIGN Bidirectional,12.770564790217785,1.1856590347021838,0.569140625,0.1523814665037579,0.018345053958842627,0.004202572447696956,0.05512012485000071,0.00684132926277045
0.15,CountSketch,13.561371139727925,0.36629165312244016,0.0171875,0.00854981960070962,0.007081821611186738,0.002066612161244228,0.03531414385000033,0.0021724016125893334
0.15,Non-random,20.202769844776533,0.13032121064296304,0.004817708333333333,0.0022788905726964077,0.002047930177320917,0.0008272981276988827,0.4597586832999994,0.011135339979783531
0.15,Random Projection,13.91570007006033,0.88174312277248,0.024479166666666666,0.022135819784771013,0.008424051375772405,0.004013454873428819,0.03033348125000117,0.0012105639153586177
0.15,Random Sampling,16.830872529754835,0.39824508373513234,0.03619791666666667,0.008977469616159353,0.0039584948840310176,0.0012937960021726187,0.07931887715000271,0.0022471542879270823
0.15,SIGN Bidirectional,13.628658035303275,0.4048661752395743,0.10442708333333332,0.041811187140115856,0.011763134774126561,0.003013312829096761,0.04438817919999991,0.0028792064294448105
0.2,CountSketch,14.477864044920784,0.38520008808905637,0.0010416666666666667,0.001557924587541976,0.00377239620104764,0.0012587311959505103,0.032509499999996194,0.001555369095744909
0.2,Non-random,22.76229785578564,0.12712653179318684,0.00026041666666666666,0.0008015455875665267,0.0020474829307237192,0.0007166794350072894,0.4651873979499996,0.014142781366465436
0.2,Random Projection,14.432783920353287,0.347393503391199,0.0013020833333333333,0.0015806692152783436,0.0035038636672804465,0.001205652083600767,0.029358672849996027,0.002323592673365194
0.2,Random Sampling,18.238575688617676,0.3675018158560506,0.007291666666666666,0.006010107379770703,0.0034692431027726024,0.0009298863510101778,0.07383743755000012,0.0035994413646161386
0.2,SIGN Bidirectional,15.13760663672229,0.6006061446830294,0.009505208333333333,0.010113283495533882,0.006479985200975205,0.002606224744161784,0.04015760630000074,0.0033631636190879803
