alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
0.05,1,Random Projection,0.07786083300000257,0.014944874999997637,0.17518741700000362,0.00018079099999113168,0.003825708999997346,0.001724375000009104,0.0009000840000084054,0.0012911250000087193,0.00022445900000889196,3.724999999121792e-05,0.06966520800000353,0.07786083300000257,0.07784900100001835,1.183199998422424e-05,0.26799312500000383,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,1,Random Sampling,0.1522460000000052,0.014944874999997637,0.2071429579999915,,,,,,,,,0.1522460000000052,0.15223912400001893,6.875999986277748e-06,0.37433383299999434,0.005220625000006862,0.009225499999999442,0.07633316599999773,0.0007411250000046721,0.0028060000000067475,0.05791270800000348,,,,,,,,,,,,,,,,,,,,
0.05,1,Non-random,0.47101058300000886,0.014944874999997637,0.18497370800000112,,,,,,,,,0.47101058300000886,0.4710070000000002,3.5830000086889413e-06,0.6709291660000076,,,,,,,0.43474754199999666,0.035862665999999876,0.0003967920000036429,,,,,,,,,,,,,,,,,
0.05,1,CountSketch,0.05620366600000182,0.014944874999997637,0.17213566600000263,,,,,,,,,0.05620366600000182,0.05853008199997589,0.0,0.24328420700000208,,,,,,,,,,7.645799999522751e-05,0.0023616659999987633,0.0023616659999987633,0.0025848749999966003,0.001718999999994253,0.0008499999999997954,0.0009304999999955044,0.000308040999996706,3.520900000353322e-05,0.047302666999996745,,,,,,,
0.05,1,SIGN Bidirectional,0.06078133299999422,0.014944874999997637,0.18042987500000152,,,,,,,,,0.06078133299999422,0.060773250000039525,8.08299995469497e-06,0.2561560829999934,,,,,,,,,,,,,,,,,,,,0.00017845900001134396,0.010261458000002222,0.004616083000001936,0.0009170000000011669,0.00027179200000659876,1.929200000461151e-05,0.044509166000011646
0.05,2,Random Projection,0.07587933400000679,0.014712375000001998,0.17501949999999056,0.0001784580000077085,0.003352874999990263,0.0017537089999990485,0.0007981250000028695,0.001014624999996272,0.00014500000000339242,2.0041999988507087e-05,0.06860724999999945,0.07587933400000679,0.07587008399998751,9.25000001927856e-06,0.26561120899999935,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,2,Random Sampling,0.15977399999999875,0.014712375000001998,0.21122504199999526,,,,,,,,,0.15977399999999875,0.15976266699999542,1.1333000003332927e-05,0.385711416999996,0.005286292000008075,0.009491624999995452,0.08582508300000313,0.0006881670000069562,0.003195457999993323,0.05527604199998848,,,,,,,,,,,,,,,,,,,,
0.05,2,Non-random,0.4696219999999869,0.014712375000001998,0.19041370800000834,,,,,,,,,0.4696219999999869,0.4696150839999973,6.9159999895873625e-06,0.6747480829999972,,,,,,,0.4367285840000079,0.032124959000000786,0.0007615409999885969,,,,,,,,,,,,,,,,,
0.05,2,CountSketch,0.04987712500000896,0.014712375000001998,0.1694936250000012,,,,,,,,,0.04987712500000896,0.052311958999979424,0.0,0.23408312500001216,,,,,,,,,,8.120799999744577e-05,0.0024695420000000468,0.0024695420000000468,0.0028092919999949117,0.0022108329999923626,0.0008272080000040205,0.0008411249999937809,0.00021166700000208039,3.6667000003376415e-05,0.04035487499999135,,,,,,,
0.05,2,SIGN Bidirectional,0.06367666599999211,0.014712375000001998,0.1861165419999935,,,,,,,,,0.06367666599999211,0.06366678999997077,9.87600002133604e-06,0.2645055829999876,,,,,,,,,,,,,,,,,,,,0.00018366700000171932,0.009593333999987408,0.004901915999994344,0.0011524159999964922,0.00029720799999211067,2.0040999999082487e-05,0.04751820799999962
