alpha_n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_reconstruct_sec_mean,cs_reconstruct_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_kmeans_sec_mean,cs_kmeans_sec_std,sign_draw_omega_sec_mean,sign_draw_omega_sec_std,sign_subspace_iter_sec_mean,sign_subspace_iter_sec_std,sign_reconstruct_sec_mean,sign_reconstruct_sec_std,sign_build_core_sec_mean,sign_build_core_sec_std,sign_small_eig_sec_mean,sign_small_eig_sec_std,sign_lift_sec_mean,sign_lift_sec_std,sign_kmeans_sec_mean,sign_kmeans_sec_std
0.05,CountSketch,0.07078890839999516,0.024449885029334678,0.01556934370000107,0.0010677999924231386,0.17913676649999957,0.008290372969834741,,,,,,,,,,,,,,,,,0.07078890839999516,0.024449885029334678,0.07334969604998705,0.024451878515864743,0.0,0.0,0.2654950185999958,0.030123994781747626,,,,,,,,,,,,,,,,,,,8.52186499990637e-05,1.3683723469854489e-05,0.0025972208499979387,0.00031184769919331205,0.0025972208499979387,0.00031184769919331205,0.0027495604999977275,0.00017466269284621743,0.0018278521499972555,0.00020671739890876556,0.0008701958499990781,7.475852993509435e-05,0.000967733299997775,0.00010522046546452897,0.0002420958000030282,6.954878760555066e-05,2.711679999904959e-05,9.770759108268547e-06,0.06138548129999819,0.024477235752386885,,,,,,,,,,,,,,
0.05,Non-random,0.4765470396000005,0.015119483763417655,0.01556934370000107,0.0010677999924231386,0.19343408115000074,0.011660557925969657,,,,,,,,,,,,,,,,,0.4765470396000005,0.015119483763417655,0.47654290020000334,0.015119373603939062,4.139399997171722e-06,7.085398900867921e-07,0.6855504644500023,0.0254800477488899,,,,,,,,,,,,,0.43915653765000184,0.015007608987457321,0.03697951675000084,0.0025494149051897594,0.0004068458000006103,8.457236060464063e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,Random Projection,0.06809484790000013,0.01101009739171677,0.01556934370000107,0.0010677999924231386,0.1767718063000025,0.005005407820368124,0.0001921729500011793,1.9885529401585785e-05,0.0033848042000030887,0.0001946440051266924,0.0017541229500004363,0.0001657989523817369,0.0008284103499995865,6.300705385086101e-05,0.0010123730000010766,0.00012034495729305412,0.0002343355000000713,5.442091882927393e-05,2.880209999602812e-05,1.2040264272090863e-05,0.06064940830000012,0.010892831537919227,0.06809484790000013,0.01101009739171677,0.06808442935000159,0.01100951210362327,1.0418549998547632e-05,2.7650340909619973e-06,0.2604359979000037,0.013201917037530144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,Random Sampling,0.14581774999999908,0.012493999129542592,0.01556934370000107,0.0010677999924231386,0.2108267749999996,0.003932144538517066,,,,,,,,,,,,,,,,,0.14581774999999908,0.012493999129542592,0.14580935409999754,0.012493055686378218,8.395900001545442e-06,1.7937486737074569e-06,0.37221386869999973,0.013575476585143907,0.005270091649999387,0.0001266021616374475,0.009451212550002452,0.0006875031571687005,0.07228408944999884,0.009261812207073459,0.000669622999998154,5.054170742500105e-05,0.0028608311999995806,0.00010331068946239485,0.05527350624999912,0.00525815108512572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,SIGN Bidirectional,0.07407438319999855,0.012525311365940943,0.01556934370000107,0.0010677999924231386,0.18180064179999889,0.007923780366930198,,,,,,,,,,,,,,,,,0.07407438319999855,0.012525311365940943,0.07406427495000542,0.012525300129392585,1.0108249993123764e-05,1.8716257705684829e-06,0.2714443686999985,0.01649245903180091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019854185000269808,3.148841091697975e-05,0.009919770750001788,0.0003475546039599419,0.004936164499996209,0.0006157136972806832,0.0010216040500026224,0.0002516281114812013,0.00026108120000074565,6.483316985902357e-05,2.544379999847024e-05,9.408902757334031e-06,0.057701668800002895,0.01241680844945954
0.1,CountSketch,0.04298765630000219,0.004605194158301484,0.015017931200000589,0.00037465564616942715,0.17879742289999853,0.01190092008166482,,,,,,,,,,,,,,,,,0.04298765630000219,0.004605194158301484,0.0455226628500057,0.0046164780542669445,0.0,0.0,0.23680301040000132,0.014686562750344054,,,,,,,,,,,,,,,,,,,8.848564999652808e-05,1.9058783353345298e-05,0.002571787450000329,0.00024340412727804874,0.002571787450000329,0.00024340412727804874,0.0027127916500035098,0.00019807943915729775,0.001814708450002911,0.00019170287643422983,0.0008838187499989658,0.00010827178523281615,0.0009492334000000824,0.00011086139468246905,0.00024622700000236363,6.713341226442924e-05,2.718555000313927e-05,8.529185179816577e-06,0.033656637499997547,0.004578081685256707,,,,,,,,,,,,,,
0.1,Non-random,0.47352016250000306,0.03590537205189692,0.015017931200000589,0.00037465564616942715,0.20232283949999755,0.018919383580700135,,,,,,,,,,,,,,,,,0.47352016250000306,0.03590537205189692,0.47351614985000057,0.03590518626706588,4.012650002493956e-06,6.145427282984554e-07,0.6908609332000012,0.04564873269325957,,,,,,,,,,,,,0.4445736374500001,0.03547245989223042,0.02851672700000165,0.002734554797101608,0.0004257853999988015,0.00010879841774266172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,Random Projection,0.03864828314999898,0.0034233124420510294,0.015017931200000589,0.00037465564616942715,0.17910982490000152,0.013637308373578697,0.0001844000500028642,5.0752966917385326e-06,0.003372820899998885,0.00017901650618484105,0.0018056374499948902,0.00014771187787095556,0.0008555686500002935,8.381582675067813e-05,0.0009794062999972653,8.458293952831273e-05,0.0002722290500003055,5.6901820464431864e-05,1.9779249996076942e-05,1.201896739278548e-06,0.031151089499999784,0.00331004923039415,0.03864828314999898,0.0034233124420510294,0.038640931149990364,0.0034224341023457016,7.352000008609139e-06,1.4536782054326525e-06,0.23277603925000107,0.016345760587305753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,Random Sampling,0.09248329994999978,0.005267833561725047,0.015017931200000589,0.00037465564616942715,0.21154285215000074,0.00891943691203919,,,,,,,,,,,,,,,,,0.09248329994999978,0.005267833561725047,0.09247517304999775,0.0052671535175994886,8.12690000202565e-06,1.6081319910442393e-06,0.3190440833000011,0.013161373318241685,0.005322381249997931,0.0002863277579810299,0.009290906350000228,0.00017722049657654623,0.03770550840000055,0.0033613681077723266,0.0007098208499996872,0.0001005946020074347,0.0028808458499980814,0.00018740357448298825,0.036565710350001265,0.002457087685869012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,SIGN Bidirectional,0.05512012485000071,0.00684132926277045,0.015017931200000589,0.00037465564616942715,0.17863999385000398,0.009878571611405063,,,,,,,,,,,,,,,,,0.05512012485000071,0.00684132926277045,0.05511093094999353,0.006840946049449664,9.193900007176126e-06,1.080504604957714e-06,0.24877804990000527,0.01201501850568286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019307489999675909,2.5722510019900596e-05,0.009866247849997479,0.00046006822152979185,0.004675206249999064,0.00013546092376722142,0.0010764768999990792,0.0006749382172851627,0.000290654300000881,3.666852426021896e-05,2.422079999888638e-05,8.810825447358824e-06,0.038985049950001384,0.006585533591212186
