K,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
2,CountSketch,13.62196285037354,0.26877070549063237,0.0,0.0,0.0012567449038973027,0.0005060489207939759,0.02708784580000696,0.0013666395075383204
2,Non-random,23.913010838812184,0.12705704053185973,0.0,0.0,0.0011743164062500047,0.0005048309344877576,0.47685720630000505,0.0593140770872478
2,Random Projection,13.620660518481259,0.2422435475710455,0.0,0.0,0.0012643859765412249,0.0005046837856897634,0.026665472850000073,0.0038952000694821628
2,Random Sampling,17.267831450977077,0.43790035390048176,8.680555555555555e-05,0.0003882062460937135,0.0015424206007108587,0.0007820730718443941,0.06251433114999969,0.004088982123113413
2,SIGN Bidirectional,15.528452856224987,0.718084832163128,0.0,0.0,0.0013918077587082827,0.0005334171812731072,0.03351455200000686,0.0017692784716841583
3,CountSketch,14.7144067030716,0.8905173889878751,0.0015624999999999999,0.004173514110343914,0.004768215505431001,0.00326533354498721,0.03285303119999696,0.0017285383813141991
3,Non-random,22.83201006218554,0.1521163529823586,0.0009114583333333332,0.0017469281074217107,0.0020694622680477643,0.0008390029490033117,0.4661181644999971,0.015065004488290575
3,Random Projection,14.50876294875844,0.33949156737689945,0.0009114583333333332,0.0019405203655484236,0.004062486344178761,0.0013195962697045698,0.030540587500001947,0.004568119773121091
3,Random Sampling,18.127031524788343,0.4225414941834372,0.009244791666666665,0.005308453803991157,0.003546312586014869,0.0014006544594438414,0.07370590209999364,0.004693389519010739
3,SIGN Bidirectional,14.98420006663429,0.46790940627292654,0.010807291666666666,0.007893178090666617,0.006893880067719843,0.0028028536400288117,0.03985043545000053,0.0021866733478191724
4,CountSketch,15.753523095260054,0.8160078149382525,0.0642361111111111,0.0315329941327074,0.020388901845541128,0.005506507968224359,0.04105344789999208,0.002872886199838219
4,Non-random,22.25373727479964,0.10938948825950612,0.006076388888888889,0.004344844089169861,0.0031255074100355806,0.001152388856793231,0.4631788957499907,0.012334284065342547
4,Random Projection,16.152714488138166,1.1130378614859247,0.071875,0.028811627031057066,0.02087799071327117,0.004651505730384188,0.036507089399995606,0.0023030370061632157
