K,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,cs_draw_hash_sec,cs_initial_multiply_sec,cs_sparse_explicit_sketch_sec,cs_power_iter_sec,cs_qr_sec,cs_build_core_sec,cs_reconstruct_sec,cs_small_eig_sec,cs_lift_sec,cs_kmeans_sec,sign_draw_omega_sec,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
2,1,Random Projection,0.029209749999978385,0.015953499999994847,0.24232158299997764,0.0001729169999862279,0.004002708999991,0.0014991660000021056,0.0010017080000181977,0.001119832999989967,0.0003642920000004324,3.1875000018999344e-05,0.021001874999996062,0.029209749999978385,0.029194375000002992,1.537499997539271e-05,0.28748483299995087,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Random Sampling,0.06473624999998151,0.015953499999994847,0.21541766600000756,,,,,,,,,0.06473624999998151,0.06472208500002807,1.4164999953436563e-05,0.2961074159999839,0.005417459000000235,0.0093042080000032,0.02340474999999742,0.0010733340000115277,0.0028733750000071723,0.022648959000008517,,,,,,,,,,,,,,,,,,,,
2,1,Non-random,0.4712430830000187,0.015953499999994847,0.2159972499999867,,,,,,,,,0.4712430830000187,0.471239292000007,3.7910000116880838e-06,0.7031938330000003,,,,,,,0.45289099999999394,0.01797849999999812,0.0003697920000149679,,,,,,,,,,,,,,,,,
2,1,CountSketch,0.02523750000000291,0.015953499999994847,0.19080770900001198,,,,,,,,,0.02523750000000291,0.027731914999947094,0.0,0.23199870900000974,,,,,,,,,,8.533300001545285e-05,0.0025304999999775646,0.0025304999999775646,0.0025798749999808024,0.001432958000009421,0.0008034999999892989,0.0011712499999987358,0.00020708299999228075,1.7958000000817265e-05,0.016372958000005156,,,,,,,
2,1,SIGN Bidirectional,0.033255500000024085,0.015953499999994847,0.19262683400000924,,,,,,,,,0.033255500000024085,0.033244209999963914,1.1290000060171224e-05,0.24183583400002817,,,,,,,,,,,,,,,,,,,,0.00018991700000015044,0.00995304199997804,0.004990208999998913,0.0008095420000131526,0.00019429099998546917,1.7708999990873053e-05,0.017089499999997315
2,2,Random Projection,0.023395792000002302,0.014842541999996683,0.1800603750000107,0.0001709169999912774,0.0031145419999916157,0.0015495000000100845,0.0008885829999769612,0.0009824169999888,0.00022375000000351974,1.5791999999237305e-05,0.016441167000010637,0.023395792000002302,0.023386667999972133,9.124000030169555e-06,0.2182987090000097,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,Random Sampling,0.06040820799998414,0.014842541999996683,0.2136184999999955,,,,,,,,,0.06040820799998414,0.06039774999999281,1.0457999991331235e-05,0.2888692499999763,0.005208291999991843,0.009186416000005693,0.018067166999998108,0.0006554999999934807,0.0030367919999889637,0.024243583000014723,,,,,,,,,,,,,,,,,,,,
2,2,Non-random,0.48833666600000925,0.014842541999996683,0.23001695899998253,,,,,,,,,0.48833666600000925,0.48833225100000277,4.415000006474656e-06,0.7331961669999885,,,,,,,0.46883675000000835,0.019130417000013722,0.0003650839999806976,,,,,,,,,,,,,,,,,
2,2,CountSketch,0.027444500000001426,0.014842541999996683,0.22990829099998678,,,,,,,,,0.027444500000001426,0.029726665999987745,0.0,0.2721953329999849,,,,,,,,,,7.737500001780973e-05,0.002313832999988108,0.002313832999988108,0.0027700830000014776,0.001311541000006855,0.0008995830000060323,0.001172041999979001,0.000260209000003897,3.1417000002420536e-05,0.018576749999994036,,,,,,,
2,2,SIGN Bidirectional,0.03434445799999253,0.014842541999996683,0.21990987499998482,,,,,,,,,0.03434445799999253,0.03433524799999077,9.21000000175809e-06,0.26909687499997403,,,,,,,,,,,,,,,,,,,,0.0001722909999841704,0.00917908299999226,0.004648666999997886,0.0009871660000158045,0.00014966599999866048,2.6708000007147348e-05,0.01917166699999484
2,3,Random Projection,0.025058708000017305,0.014578583000002254,0.21807570900000428,0.0001659160000144766,0.003250874999991993,0.0017256659999986823,0.0007264580000025944,0.001041166999982579,0.0001808330000017122,1.6667000011238997e-05,0.01794116700000359,0.025058708000017305,0.025048749000006865,9.959000010439922e-06,0.25771300000002384,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Random Sampling,0.06074041599998736,0.014578583000002254,0.2456159580000019,,,,,,,,,0.06074041599998736,0.06073112499998956,9.290999997801919e-06,0.3209349569999915,0.0052477499999952215,0.009134291999998823,0.021286583999994946,0.001031917000005933,0.0032337910000137526,0.020796790999980885,,,,,,,,,,,,,,,,,,,,
2,3,Non-random,0.47748341700000196,0.014578583000002254,0.23371195799998645,,,,,,,,,0.47748341700000196,0.4774791670000127,4.2499999892697815e-06,0.7257739579999907,,,,,,,0.45931183400000464,0.017801125000005413,0.00036620800000264353,,,,,,,,,,,,,,,,,
2,3,CountSketch,0.028002083000018274,0.014578583000002254,0.22292133299998795,,,,,,,,,0.028002083000018274,0.031016374000017777,0.0,0.2655019990000085,,,,,,,,,,7.695900001181144e-05,0.0030499169999984588,0.0030499169999984588,0.0026932500000214077,0.0015464159999964977,0.0009106660000099964,0.0011444159999882686,0.0002978750000011132,4.116700000622586e-05,0.01820579099998554,,,,,,,
2,3,SIGN Bidirectional,0.03344591699999455,0.014578583000002254,0.2260897079999893,,,,,,,,,0.03344591699999455,0.03343570900003101,1.0207999963540715e-05,0.2741142079999861,,,,,,,,,,,,,,,,,,,,0.00017670799999791598,0.008533375000013166,0.0052081670000063696,0.0007610419999934948,0.0001600420000045233,1.8791999991663033e-05,0.01857758300002388
2,4,Random Projection,0.024619375000014543,0.014846666000011055,0.21675108300001966,0.00017083299999853807,0.0035463749999848915,0.0016209589999789387,0.0006923749999998563,0.0008796660000029988,0.00011912499999766624,1.608300001976204e-05,0.01756520899999714,0.024619375000014543,0.02461062499997979,8.750000034751793e-06,0.25621712400004526,,,,,,,,,,,,,,,,,,,,,,,,,,
