n,alpha_n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std,cs_draw_hash_sec_mean,cs_draw_hash_sec_std,cs_initial_multiply_sec_mean,cs_initial_multiply_sec_std,cs_sparse_explicit_sketch_sec_mean,cs_sparse_explicit_sketch_sec_std,cs_power_iter_sec_mean,cs_power_iter_sec_std,cs_qr_sec_mean,cs_qr_sec_std,cs_build_core_sec_mean,cs_build_core_sec_std,cs_reconstruct_sec_mean,cs_reconstruct_sec_std,cs_small_eig_sec_mean,cs_small_eig_sec_std,cs_lift_sec_mean,cs_lift_sec_std,cs_kmeans_sec_mean,cs_kmeans_sec_std,sign_draw_omega_sec_mean,sign_draw_omega_sec_std,sign_subspace_iter_sec_mean,sign_subspace_iter_sec_std,sign_reconstruct_sec_mean,sign_reconstruct_sec_std,sign_build_core_sec_mean,sign_build_core_sec_std,sign_small_eig_sec_mean,sign_small_eig_sec_std,sign_lift_sec_mean,sign_lift_sec_std,sign_kmeans_sec_mean,sign_kmeans_sec_std
200,0.1414213562373095,CountSketch,0.014100439649993746,0.0016918223481885149,0.0007553105499965796,0.00013889267656909385,0.01242042285000764,0.0012224847779641942,,,,,,,,,,,,,,,,,0.014100439649993746,0.0016918223481885149,0.014419127299993307,0.0016795945200773611,0.0,0.0,0.027276173049997965,0.002628291917400074,,,,,,,,,,,,,,,,,,,7.372919999397709e-05,2.2429717050430288e-05,0.0003513083000001416,8.970213121590978e-05,0.0003513083000001416,8.970213121590978e-05,0.0003728979499982188,6.304804357691088e-05,0.0003217292999948995,5.9188059956163864e-05,0.00010957279999388448,2.3501819780155777e-05,0.00013243960000863808,2.2266496184086145e-05,0.00028094185000213654,7.011022839169543e-05,8.495650004647359e-06,3.6528518712389054e-06,0.01241670434999662,0.0017281567360375668,,,,,,,,,,,,,,
200,0.1414213562373095,Non-random,0.032543524999999816,0.003275782181377752,0.0007553105499965796,0.00013889267656909385,0.012479506399992601,0.00120233288236757,,,,,,,,,,,,,,,,,0.032543524999999816,0.003275782181377752,0.032539647899992016,0.0032747742511357995,3.877100007798618e-06,1.3507918177452292e-06,0.045778341949989,0.003881124173754176,,,,,,,,,,,,,0.02014487914999563,0.00200901324700461,0.012378124999997908,0.0021532682853769238,1.6643749998479506e-05,4.797102015791198e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,Random Projection,0.013462681099997553,0.0025379134914738414,0.0007553105499965796,0.00013889267656909385,0.011473589499999548,0.0008407201572516638,4.336045001309685e-05,7.538913106959009e-06,0.00047973965000664976,6.602275620606599e-05,0.0003570792000033407,5.1261672714475416e-05,0.00011489774999802193,3.7074304034946434e-05,0.0001361415000019406,2.5335236314222385e-05,0.0002873604000001251,6.750995862149956e-05,8.564699996327363e-06,2.303555500900475e-06,0.012029656349997708,0.0024687526389387867,0.013462681099997553,0.0025379134914738414,0.01345680000001721,0.002537142542306366,5.881099980342697e-06,1.4631070265484226e-06,0.025691581149993682,0.0027937616493015735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,Random Sampling,0.02529037079999341,0.004395941292881668,0.0007553105499965796,0.00013889267656909385,0.01168816244999391,0.0006576036135767676,,,,,,,,,,,,,,,,,0.02529037079999341,0.004395941292881668,0.025285739599993917,0.00439553394127349,4.631199999494129e-06,1.0428145197483092e-06,0.0377338437999839,0.004553909851555821,0.0002751665499914679,4.7628799826328966e-05,0.0002966582500050663,5.849348275554387e-05,0.011789158199997018,0.0029483542695722333,7.306274999621109e-05,2.527344459493237e-05,7.06709000041883e-05,1.7025268895476984e-05,0.012781022949999965,0.0023898098994630645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,SIGN Bidirectional,0.015229610349999234,0.001755506718007085,0.0007553105499965796,0.00013889267656909385,0.011992135299999518,0.0009237074745591852,,,,,,,,,,,,,,,,,0.015229610349999234,0.001755506718007085,0.015222293700017531,0.0017539328248196893,7.316649981703449e-06,2.612951451740202e-06,0.027977056199995333,0.0020777634751289915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1325000003998864e-05,8.966723579349712e-06,0.001650556249995816,0.00018645996584132094,0.0005047250500012978,9.090793764144898e-05,0.00012713535000443698,3.624781404568808e-05,0.0002668708500067396,6.902485159364977e-05,8.104100007244597e-06,2.5991920254746783e-06,0.012613577099997997,0.001699089718597729
400,0.1,CountSketch,0.020573991650005043,0.002364734620985458,0.002111735399995496,0.00027032532858281663,0.03155377704999864,0.003112404487791275,,,,,,,,,,,,,,,,,0.020573991650005043,0.002364734620985458,0.020987820950000468,0.0023646835654654737,0.0,0.0,0.05423950409999918,0.003928210879993917,,,,,,,,,,,,,,,,,,,6.198549998828184e-05,1.0521312008823381e-05,0.00044217490001301484,6.202557145549392e-05,0.00044217490001301484,6.202557145549392e-05,0.0006442063499861206,0.00011193767849786208,0.0005285770999847728,9.738605842130902e-05,0.00019113949999791658,4.6986860572152866e-05,0.000214439500010144,5.887622915214206e-05,0.0002828229500067891,6.677157537946704e-05,1.3321000011501383e-05,7.790272243071573e-06,0.01816697924998891,0.0023765259492202384,,,,,,,,,,,,,,
400,0.1,Non-random,0.07777753124999265,0.005255636276561701,0.002111735399995496,0.00027032532858281663,0.03314763114999266,0.0025354197432615163,,,,,,,,,,,,,,,,,0.07777753124999265,0.005255636276561701,0.07777378740001666,0.005255047098590566,3.7438499759900877e-06,1.0520626737613626e-06,0.1130368977999808,0.007389337242223425,,,,,,,,,,,,,0.06169280205000405,0.00519570645408101,0.0160226915499976,0.0019306962623354901,5.829380001500795e-05,1.5860789461069092e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.1,Random Projection,0.019896077149996926,0.002326019844934724,0.002111735399995496,0.00027032532858281663,0.03204927509999038,0.0033669867310294572,6.518544999210008e-05,4.0881143926335175e-06,0.0008030165999969085,0.00021970450308737407,0.0005133124500048325,9.235592845604354e-05,0.00018324364999955378,4.5641913592974085e-05,0.0002088291500115247,5.156921477429623e-05,0.0002526895999892531,3.779171641896445e-05,1.1035549994176108e-05,7.5696065967460346e-06,0.017853233250002633,0.0021710450014738674,0.019896077149996926,0.002326019844934724,0.01989054569999098,0.002324859223727991,5.5314500059466806e-06,1.883965145174573e-06,0.05405708764998281,0.004974486067205114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.1,Random Sampling,0.03444693114999211,0.0033337793610188067,0.002111735399995496,0.00027032532858281663,0.03095709364999948,0.0026156245178023127,,,,,,,,,,,,,,,,,0.03444693114999211,0.0033337793610188067,0.03444179369999745,0.0033328136016947925,5.1374499946632565e-06,1.3492237702732382e-06,0.06751576019998709,0.004850617351404543,0.0008240540999992163,0.00013348704113494653,0.0010843166500023927,0.00013804132707140584,0.014066833299995096,0.0022651868243690108,0.00018574795000176892,2.9388230487375297e-05,0.00025415839999425315,5.4790243542739275e-05,0.01802668330000472,0.0022345404099743415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,0.1,SIGN Bidirectional,0.023244150250010875,0.0026193174252014824,0.002111735399995496,0.00027032532858281663,0.031983731250002735,0.0036974175385226286,,,,,,,,,,,,,,,,,0.023244150250010875,0.0026193174252014824,0.02323724165003398,0.0026185352654049835,6.908599976895857e-06,1.9740909633818113e-06,0.057339616900009105,0.0050408694990080735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.810610001115492e-05,1.7452687235680444e-05,0.002620054200008326,0.0003394568612158283,0.0008001438500002678,0.00016856879809461583,0.0001967312999937576,6.274772929863094e-05,0.00024118345000090358,6.228248894517966e-05,1.008110000952911e-05,6.33830391977859e-06,0.01929094165001004,0.0025261772545745794
