n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
200,Non-random,9.399469498480894,0.14945168034427225,0.5739936680235187,0.1596106987986799,0.02368843850890716,0.01105189229660241,0.026809275010600687,0.001844162662585189
200,Random Projection,8.087043483485344,0.2652484214498817,1.025203527815468,0.32582814768996354,0.03352721811189633,0.012266849931493727,0.09595192999113351,0.3234900195969607
200,Random Sampling,10.866368722442452,0.4563128743676664,1.1098710990502034,0.276863859715445,0.03443409102130481,0.012676392896792336,0.026749525021295996,0.0018113760554392116
400,Non-random,13.391588108262713,0.1260813230653856,0.11363202783077095,0.02636276403570335,0.007878764012936522,0.0024050599363096945,0.13027393999509512,0.043153666789727055
400,Random Projection,10.347853361592346,0.6413165110599001,0.3375294579732914,0.1666916997944851,0.025665143943451228,0.010793707392270252,0.03318780000554398,0.003770240609355846
400,Random Sampling,13.158859607883581,0.42551019783123,0.36376108180900013,0.0841550087593111,0.0139373722028867,0.005640726118626107,0.041978114983066916,0.011829740999714424
600,Non-random,16.38320417819184,0.12243167673617761,0.023,0.007504384683215819,0.004244759571566732,0.0017707181037129396,0.1582345250528306,0.07652547505315532
600,Random Projection,11.52635998243554,0.5557463993328077,0.0745,0.02517831146882278,0.013491314168144298,0.0038634867286508256,0.07247283001197502,0.013360257687498909
600,Random Sampling,14.662615337982658,0.3202931240477506,0.1155,0.02389120075852636,0.009557204079749235,0.0036807143481441497,0.04816170501289889,0.0019605084485398577
800,Non-random,18.961617674069213,0.10325270731755645,0.0063747852778012455,0.004881033249623998,0.0036006929485655446,0.001246164030555143,0.21496615000069141,0.13894890861533982
800,Random Projection,12.82190746936836,0.335991627800165,0.017065838754188843,0.011120045698808334,0.00870615434748498,0.0031886859524263796,0.06072237500920892,0.01488935440730026
800,Random Sampling,16.279322610867588,0.4086285689474677,0.04799850750471685,0.020271609060541627,0.005941974139236425,0.002808307354859076,0.061529829993378374,0.004105259918918425
1000,Non-random,21.253255762274467,0.119227464312056,0.0016489543435651219,0.0018133398500453433,0.0027401912824279546,0.0012561458891774122,0.31622215500101447,0.23197942072802985
1000,Random Projection,13.585312128945583,0.22745417153931044,0.0033001564438690186,0.0030645090854114175,0.005366188221325812,0.0017997208447905362,0.05847852994920686,0.03586107665337332
1000,Random Sampling,17.234117885382297,0.3456661156964048,0.01380257503011994,0.006414819105055351,0.0042682671383079875,0.0020508382142706313,0.07374084999319167,0.014665471071797404
1200,Non-random,23.252216798231967,0.09356072430888715,0.00075,0.001175405864954068,0.0023379032175192154,0.0007086651061022532,0.326013450010214,0.1698638209600138
1200,Random Projection,14.66135546350581,0.25647443813867216,0.00125,0.0017206180040292133,0.004109023677941426,0.0011338969432296842,0.07663357002893463,0.08722775168524459
1200,Random Sampling,18.438794976182955,0.3858827602597291,0.006625000000000001,0.004313000543033877,0.0034432404921600304,0.0011427798303804795,0.08185531001072377,0.006035144232939165
