alpha_n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
0.05,Non-random,12.246491739549933,0.08439813792320307,0.37421875,0.042406231213392265,0.0019316663148232765,0.0008062732553828244,0.3858273499441566,0.0702357709017143
0.05,Random Projection,9.146997975804323,0.35777503970975855,1.3115885416666668,0.2032712779500944,0.011698904722243853,0.001144222387524617,0.23425030425132717,0.0706815061751201
0.05,Random Sampling,12.96451273860264,0.3082995313550091,0.75078125,0.09025093259488834,0.003985089171628914,0.000962330525608861,0.2552233791007893,0.06313015458543468
0.1,Non-random,16.86576295679354,0.07841188013787782,0.044661458333333334,0.012425392985875161,0.0015296941923696396,0.000692663692951644,0.31310546260210687,0.04754589443925748
0.1,Random Projection,12.50896982829578,0.7720265791627159,0.254296875,0.07305982871938231,0.013408841827733192,0.002552079195724934,0.11189025624626084,0.03495638532626914
0.1,Random Sampling,15.077543005799592,0.1982543949219356,0.16497395833333334,0.02364634957219143,0.0037040818305786273,0.001114549356262028,0.13976083339803153,0.031836148024422264
0.15,Non-random,20.20276984477652,0.13032121064296026,0.004817708333333333,0.0022788905726964077,0.002047930177320917,0.0008272981276988827,0.32459865850250935,0.05690373240422257
0.15,Random Projection,13.915700070060367,0.8817431227724798,0.024479166666666666,0.022135819784771013,0.008424051375772493,0.004013454873428965,0.09214048550347798,0.03044871620466276
0.15,Random Sampling,16.83087252975487,0.39824508373514284,0.03619791666666667,0.008977469616159353,0.003958494884030932,0.0012937960021726035,0.13159363550221315,0.031074325751479615
0.2,Non-random,22.762297855785643,0.12712653179317035,0.00026041666666666666,0.0008015455875665267,0.0020474829307237192,0.0007166794350072894,0.30167364585213363,0.03895500861594263
0.2,Random Projection,14.432783920353279,0.34739350339120323,0.0013020833333333333,0.0015806692152783436,0.003503863667280509,0.001205652083600752,0.0799625186555204,0.026167714111108072
0.2,Random Sampling,18.238575688617676,0.36750181585605646,0.007291666666666666,0.0060101073797707025,0.003469243102772604,0.0009298863510102242,0.14171422490035185,0.04055632871069332
