alpha_n,rep,method,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
0.05,1,Random Projection,0.3097204170189798,0.057388832996366546,0.14206137499422766,0.0001226250024046749,0.009636207978473976,0.0005470420001074672,0.001190167007734999,0.004064582986757159,0.0001787089859135449,1.3834011042490602e-05,0.2939562920073513,0.3097204170189798,0.3097094599797856,1.0957039194181561e-05,0.509170625009574,,,,,,,,,
0.05,1,Random Sampling,0.39959183300379664,0.057388832996366546,0.5369492500030901,,,,,,,,,0.39959183300379664,0.39958195795770735,9.875046089291573e-06,0.9939299160032533,0.012209916982101277,0.017864416004158556,0.08585375000257045,0.004835166997509077,0.006869332981295884,0.2719493749900721,,,
0.05,1,Non-random,0.3124588750069961,0.057388832996366546,0.12130191700998694,,,,,,,,,0.3124588750069961,0.31245541700627655,3.4580007195472717e-06,0.4911496250133496,,,,,,,0.23983870801748708,0.07150991697562858,0.0011067920131608844
0.05,2,Random Projection,0.22884262501611374,0.015210291981929913,0.1532260419917293,7.504099630750716e-05,0.002607166999951005,0.0002163749886676669,0.0004961249942425638,0.004443499987246469,0.00013458399916999042,2.7000001864507794e-05,0.22083654097514227,0.22884262501611374,0.22883633294259198,6.292073521763086e-06,0.39727895898977295,,,,,,,,,
0.05,2,Random Sampling,0.2360685830062721,0.015210291981929913,0.15487795902299695,,,,,,,,,0.2360685830062721,0.2360604589630384,8.124043233692646e-06,0.40615683401119895,0.011024749983334914,0.0193063750048168,0.04534041599254124,0.0013505419774446636,0.0033922920119948685,0.15564608399290591,,,
0.05,2,Non-random,0.41051049999077804,0.015210291981929913,0.16604091599583626,,,,,,,,,0.41051049999077804,0.4105077490094118,2.75098136626184e-06,0.5917617079685442,,,,,,,0.2680231250124052,0.14180008301627822,0.0006845409807283431
0.05,3,Random Projection,0.11070312498486601,0.017228500015335158,0.22077545800129883,0.0001272499794140458,0.008845000003930181,0.0002773329906631261,0.0005535829986911267,0.003030541993211955,6.795799708925188e-05,9.333016350865364e-06,0.09778787498362362,0.11070312498486601,0.11069887396297418,4.251021891832352e-06,0.3487070830015,,,,,,,,,
0.05,3,Random Sampling,0.3149592089757789,0.017228500015335158,0.17413479200331494,,,,,,,,,0.3149592089757789,0.314951001026202,8.20794957689941e-06,0.506322500994429,0.007194416015408933,0.01499787499778904,0.045006125001236796,0.0009506669885013252,0.001577709015691653,0.24522420900757425,,,
0.05,3,Non-random,0.4018450000148732,0.017228500015335158,0.1414859999786131,,,,,,,,,0.4018450000148732,0.4018432489829138,1.7510319594293833e-06,0.5605595000088215,,,,,,,0.31155354098882526,0.0892822080058977,0.0010074999881908298
0.05,4,Random Projection,0.12201720799203031,0.026615917013259605,0.11348216701298952,7.383298361673951e-05,0.006848042015917599,0.0005597910203505307,0.004352666001068428,0.0019221669936086982,8.437500218860805e-05,8.99998121894896e-06,0.10816133400658146,0.12201720799203031,0.12201120800455101,5.999987479299307e-06,0.26211529201827943,,,,,,,,,
