K,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
2,Non-random,0.3168282063998049,0.047837301760248974,0.024930333404336126,0.006460858618753829,0.15107418344996404,0.029133056228009237,,,,,,,,,,,,,,,,,0.3168282063998049,0.047837301760248974,0.31682605245150625,0.04783730544571946,2.1539482986554505e-06,4.866304978020427e-07,0.4928327232541051,0.06119391532191255,,,,,,,,,,,,,0.24970236884983024,0.021248669303725137,0.06605559384915978,0.036006874536561394,0.0010680897525162437,0.0005291850240862968
2,Random Projection,0.07235168749903095,0.02247882996173181,0.024930333404336126,0.006460858618753829,0.16335080410062802,0.030864898273150403,7.502285006921738e-05,2.5460530313798144e-05,0.005838631201186217,0.0034165430460565854,0.00055922699830262,0.000498888858223748,0.001855697951395996,0.0018729388524536246,0.0029740396028500983,0.0019229811768287637,9.262909879907966e-05,3.6232120844182346e-05,1.0976950579788537e-05,4.677553238692327e-06,0.06094037059956463,0.022084959625529588,0.07235168749903095,0.02247882996173181,0.07234659525274764,0.022478886833440494,5.092246283311397e-06,1.390250612955323e-06,0.2606328250039951,0.04161984008517301,,,,,,,,,,,,,,,,,,
2,Random Sampling,0.1044048229494365,0.03361879958850095,0.024930333404336126,0.006460858618753829,0.1510917250008788,0.031706247225726285,,,,,,,,,,,,,,,,,0.1044048229494365,0.03361879958850095,0.10439888350083493,0.033618592601714056,5.939448601566255e-06,1.0815316288538364e-06,0.28042688135465144,0.047567305319802126,0.008718649999354965,0.002797630975134045,0.012254047850728967,0.004105783960975485,0.016235402102756778,0.011229485536785464,0.0021941792001598515,0.0012529051231998534,0.0032950041990261526,0.0017592579822538355,0.06170160014880821,0.03063787010608982,,,,,,
3,Non-random,0.3281913105485728,0.06870970539567403,0.023863327100116294,0.005992028261635044,0.1790073457013932,0.06434978203584298,,,,,,,,,,,,,,,,,0.3281913105485728,0.06870970539567403,0.3281893521518214,0.06870953057430007,1.958396751433611e-06,4.57888348098672e-07,0.5310619833500823,0.10689702700702645,,,,,,,,,,,,,0.2693539124011295,0.0559933627928546,0.057862308400217444,0.02557514686914991,0.0009731313504744322,0.00024509270502372525
3,Random Projection,0.08253590615204302,0.03985778937781294,0.023863327100116294,0.005992028261635044,0.1590044581957045,0.04209656550322365,8.04833514848724e-05,2.314983390694373e-05,0.008240466700226535,0.005178639473516804,0.0009721748967422173,0.0015869796285317617,0.002538766599900555,0.0021889413245112736,0.0022805229513323867,0.0020655850259143527,8.855210180627182e-05,2.8350302352783995e-05,1.3227100134827197e-05,5.949524073229274e-06,0.06831610005319817,0.03593198237140236,0.08253590615204302,0.03985778937781294,0.08253029375482583,0.03985761275067726,5.612397217191756e-06,2.0501259526457675e-06,0.2654036914478638,0.06979944226487426,,,,,,,,,,,,,,,,,,
3,Random Sampling,0.12608037720056017,0.040914763654756714,0.023863327100116294,0.005992028261635044,0.16692158344812924,0.04991070919813077,,,,,,,,,,,,,,,,,0.12608037720056017,0.040914763654756714,0.1260741460515419,0.04091481626044459,6.231149018276483e-06,1.0010545189983742e-06,0.31686528774880574,0.07359288481428279,0.008368801949836779,0.0022573996285509194,0.013073833349335474,0.0037075373136685455,0.019542704298510218,0.004334806186173343,0.002638925050268881,0.002211430263677448,0.002498306302004494,0.0009641476527560265,0.07995157510158606,0.04234849959655177,,,,,,
4,Non-random,0.33341086434957107,0.03963097374112856,0.021872962497582193,0.0036582030805956036,0.16317317495268072,0.03383125225854157,,,,,,,,,,,,,,,,,0.33341086434957107,0.03963097374112856,0.3334083586043562,0.03963076937802594,2.5057452148757875e-06,8.603464686181815e-07,0.518457001799834,0.06362735789618386,,,,,,,,,,,,,0.2551904627020122,0.020211404369380577,0.07703908115217928,0.030046212235858356,0.0011788147501647472,0.0006381073225130342
4,Random Projection,0.11947198539710371,0.05613309883118922,0.021872962497582193,0.0036582030805956036,0.14952560834935866,0.031891878055010946,8.36353050544858e-05,2.122116975958742e-05,0.006417568850156386,0.0033439036553740108,0.0004481833006138913,0.000517457780429869,0.0024676083514350465,0.002293025916920312,0.002603816748887766,0.0018496952223499771,9.734989871503785e-05,4.189496666423565e-05,1.5093854744918645e-05,7.260012287498241e-06,0.10733381880127127,0.05816959202858621,0.11947198539710371,0.05613309883118922,0.1194670751108788,0.05613332114701826,4.910286224912852e-06,1.012781260052627e-06,0.29087055624404456,0.06544573430655307,,,,,,,,,,,,,,,,,,
4,Random Sampling,0.1441045979518094,0.03846464199628923,0.021872962497582193,0.0036582030805956036,0.14796406464884057,0.03291834398175295,,,,,,,,,,,,,,,,,0.1441045979518094,0.03846464199628923,0.14407261665328405,0.03846122637030491,3.198129852535203e-05,0.00011684822247447819,0.3139416250982322,0.06319112364111107,0.0074408499523997305,0.001888993826811343,0.013716135246795602,0.0037954937934350313,0.033055137551855296,0.01341754076061641,0.0019474333515972831,0.0011524773420825186,0.002454914597910829,0.0010625664363558883,0.08545814595272531,0.037653416852274045,,,,,,
5,Non-random,0.37961376460298196,0.07677331814211076,0.023026847750588785,0.004333580849567305,0.16115040000149747,0.028219221369810716,,,,,,,,,,,,,,,,,0.37961376460298196,0.07677331814211076,0.3796114479977405,0.07677311804627313,2.3166052415035664e-06,8.195200486297666e-07,0.5637910123550682,0.0813421337515284,,,,,,,,,,,,,0.2742232624485041,0.045404892586821025,0.1041247791989008,0.04435857018849477,0.0012634063503355719,0.0006771295942012478
5,Random Projection,0.15907519179891097,0.04287501280984616,0.023026847750588785,0.004333580849567305,0.16475779575121124,0.03629528648975399,9.471234807278961e-05,2.9846947995166405e-05,0.008642403998237569,0.0030926028784726144,0.0006734896509442478,0.0007116031126204919,0.0013292853967868724,0.0010632286784072705,0.0025320582994027064,0.001899976585325894,0.00022031870466889813,0.0005387705521756749,1.9931253336835653e-05,9.547685165170431e-06,0.14555786050186725,0.04222007675754438,0.15907519179891097,0.04287501280984616,0.15907006015331718,0.04287431537103824,5.1316455937922e-06,1.0285813268972986e-06,0.34685983530071096,0.0635812692869596,,,,,,,,,,,,,,,,,,
