n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
200,0.1414213562373095,1,Random Projection,7.681979539177207,0.77,0.02728278825664099,0.053509874996962026,0.0011577080003917217,0.011886124993907288,1.2916018022224307e-05,0.000174834014615044,9.874999523162842e-05,4.762498429045081e-05,0.00010862501221708953,0.00015841599088162184,2.9170187190175056e-06,0.05289887497201562,0.053509874996962026,0.053502958005992696,6.916990969330072e-06,0.06655370799126104,,,,,,,,,
200,0.1414213562373095,1,Random Sampling,9.331473627557589,0.57,0.02466265267210274,0.0600329999870155,0.0011577080003917217,0.006717249983921647,,,,,,,,,0.0600329999870155,0.060028417996363714,4.581990651786327e-06,0.06790795797132887,0.0002905839937739074,0.0004150840104557574,0.006589249998796731,9.90410044323653e-05,0.00010391700197942555,0.05253054198692553,,,
200,0.1414213562373095,1,Non-random,8.470528968003311,0.22,0.005621356237309499,0.051517165993573144,0.0011577080003917217,0.002546792005887255,,,,,,,,,0.051517165993573144,0.05151554199983366,1.6239937394857407e-06,0.05522166599985212,,,,,,,0.018461457977537066,0.03304629202466458,7.791997632011771e-06
200,0.1414213562373095,2,Random Projection,8.28312865935521,0.38,0.017322257540237196,0.04016229198896326,0.00038770801620557904,0.0017987920145969838,1.3457989552989602e-05,0.00015054200775921345,6.074999691918492e-05,3.358398680575192e-05,2.8125010430812836e-05,3.474997356534004e-05,2.1250161807984114e-06,0.03983687498839572,0.04016229198896326,0.04016020896960981,2.0830193534493446e-06,0.042348792019765824,,,,,,,,,
200,0.1414213562373095,2,Random Sampling,8.974207851905975,0.41000000000000003,0.007245679377587105,0.02094187500188127,0.00038770801620557904,0.01326870801858604,,,,,,,,,0.02094187500188127,0.020938999979989603,2.875021891668439e-06,0.03459829103667289,0.00028279199614189565,0.0003430419892538339,0.001233582996064797,1.8791004549711943e-05,4.804201307706535e-05,0.0190127499809023,,,
200,0.1414213562373095,2,Non-random,8.880506500190798,0.33,0.017842512935282814,0.0416564580227714,0.00038770801620557904,0.0067002089926972985,,,,,,,,,0.0416564580227714,0.04165337499580346,3.0830269679427147e-06,0.04874437503167428,,,,,,,0.008718166995095089,0.03292374999728054,1.1458003427833319e-05
200,0.1414213562373095,3,Random Projection,7.2817515998824165,0.34,0.0189907089120024,0.07267191697610542,0.0011370839783921838,0.0018985829956363887,2.8292008209973574e-05,0.00030583300394937396,6.204101373441517e-05,3.4083001082763076e-05,4.645800800062716e-05,3.5792007111012936e-05,2.4170149117708206e-06,0.07215470800292678,0.07267191697610542,0.07266962405992672,2.292916178703308e-06,0.075707583950134,,,,,,,,,
200,0.1414213562373095,3,Random Sampling,9.27202050335867,0.39,0.02071437184743727,0.06409666599938646,0.0011370839783921838,0.0027282920200377703,,,,,,,,,0.06409666599938646,0.06409179099136963,4.875008016824722e-06,0.06796204199781641,0.00046595800085924566,0.0010142920073121786,0.0030152499966789037,5.208299262449145e-05,9.520800085738301e-05,0.05944899999303743,,,
200,0.1414213562373095,3,Non-random,8.594218062696397,0.16,0.013600175681753951,0.05743912499747239,0.0011370839783921838,0.0017403340025339276,,,,,,,,,0.05743912499747239,0.05743770799017511,1.4170072972774506e-06,0.0603165429783985,,,,,,,0.006928707996848971,0.05050187499728054,7.124996045604348e-06
200,0.1414213562373095,4,Random Projection,7.5955103647252615,0.32,0.017049356703402477,0.05699220800306648,0.0010361660097260028,0.0051637080032378435,0.0001297919952776283,0.0006822079885751009,0.00011337499017827213,7.87499884609133e-05,7.149999146349728e-05,6.987497908994555e-05,5.583016900345683e-06,0.055837416992289945,0.05699220800306648,0.05698849994223565,3.7080608308315277e-06,0.06319208201603033,,,,,,,,,
