n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std,alpha_n_mean
200,Non-random,8.6204962487414,0.15489049987729706,0.2085,0.05537194805656514,0.009416808038231236,0.004609278747225119,0.05609261650242843,0.02097943440832544,0.1414213562373095
200,Random Projection,7.442480148031892,0.35525304671370195,0.398,0.1814735010378853,0.014967707907433311,0.006211176326715446,0.0490120416492573,0.017463183480197438,0.1414213562373095
200,Random Sampling,9.131784272642507,0.39149000574140996,0.3985,0.12587692401707312,0.014312768381226845,0.011442349350114255,0.05006402074795915,0.02703933922087028,0.1414213562373095
400,Non-random,10.497668866482845,0.09246334733331601,0.10200000000000001,0.02341839133312916,0.002775274971499599,0.0012626583342315594,0.15494767084892375,0.06097732101001813,0.1
400,Random Projection,7.7994662119711595,0.5076946708547427,0.258,0.08784555825574313,0.008612174031108715,0.0027440048025002806,0.12097967079316732,0.06038913945628005,0.1
400,Random Sampling,10.164119272155093,0.3970127122971167,0.23625,0.04544733794531633,0.005230965716022148,0.0031234841092112916,0.11845458340103505,0.04774262665536395,0.1
600,Non-random,11.74482873759449,0.10505777829571845,0.06566666666666668,0.017904881885162982,0.002015060019082759,0.0011530953232138411,0.22566567704925547,0.06875898798555224,0.08164965809277261
600,Random Projection,8.295472199971584,0.7263593357619885,0.21383333333333332,0.12686630159160536,0.007782099174855355,0.0029049573894966057,0.14671078540413873,0.06456542068154349,0.08164965809277261
600,Random Sampling,10.661525850259848,0.22984879236131076,0.15783333333333333,0.016268039919025822,0.0028949985067763155,0.001535509343163601,0.15242791875207332,0.058015372848664065,0.08164965809277261
800,Non-random,12.659792216235001,0.09283736869818467,0.045625,0.012324424829111544,0.0012811980696710054,0.0007182780418686119,0.31028160205023597,0.08377639357895318,0.07071067811865475
800,Random Projection,8.681198008050469,0.3384818372412006,0.13925,0.036921859165141284,0.005533690471718275,0.001197307455481879,0.16000279790023342,0.08215312107221917,0.07071067811865475
800,Random Sampling,11.227889337624566,0.2809488514963208,0.12362500000000001,0.029216467508653587,0.0024173259980327737,0.001245386889248402,0.15406091260083485,0.05457903510706634,0.07071067811865475
1000,Non-random,13.466378244033601,0.08599445915569312,0.0325,0.009555929545244892,0.0009398941219954237,0.0004925976920256086,0.42463805614825106,0.07365669053513466,0.06324555320336758
1000,Random Projection,9.201915173969567,0.35937686701669175,0.1103,0.04040466361826643,0.004057934420180027,0.0014755648689727342,0.20184341035055695,0.0740387986993626,0.06324555320336758
1000,Random Sampling,11.716726674014783,0.29914506928812534,0.0965,0.015271231984217563,0.0016923726727154711,0.0008015621746670188,0.213726054149447,0.07658160965036875,0.06324555320336758
1200,Non-random,14.11793130899411,0.07582621302212621,0.022916666666666665,0.006279899243055096,0.0007246895287845709,0.00028099780410892095,0.5131025584982126,0.1031672531056189,0.057735026918962574
1200,Random Projection,9.587582072286393,0.46106336601012865,0.09016666666666666,0.03573742775704568,0.0037636597652488816,0.0011430180822401426,0.17349059579864842,0.07413513115173831,0.057735026918962574
1200,Random Sampling,11.990170361987845,0.24236009218207347,0.06941666666666667,0.009960081142956068,0.0012861767148651733,0.0005268657539183649,0.1977815416015801,0.06179524947031524,0.057735026918962574
