n,alpha_n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
200,0.1414213562373095,Non-random,0.05609261650242843,0.02097943440832544,0.0008682228479301557,0.00033279254346903306,0.004378264698607382,0.0031507533110493656,,,,,,,,,,,,,,,,,0.05609261650242843,0.02097943440832544,0.056091010350792204,0.020979295366027068,1.60615163622424e-06,7.584479007993023e-07,0.06133910404896596,0.022188574574673714,,,,,,,,,,,,,0.012984731199685485,0.010656989018708707,0.04309531260223594,0.02119798144307818,1.09665488707833e-05,1.403291251043631e-05
200,0.1414213562373095,Random Projection,0.0490120416492573,0.017463183480197438,0.0008682228479301557,0.00033279254346903306,0.004421243749675341,0.0039075533949513965,2.4285251856781543e-05,2.542466746134471e-05,0.00028477914893301206,0.00013272440944074075,9.4591747620143e-05,4.285063870460248e-05,5.724799702875316e-05,2.0029229574328366e-05,6.241250084713102e-05,2.7574328659861825e-05,5.75645492062904e-05,2.8415544759396723e-05,3.912702959496528e-06,1.3981717748671194e-06,0.048424483252165376,0.017433458266331553,0.0490120416492573,0.017463183480197438,0.04900927715061698,0.017463106261624808,2.7644986403174698e-06,1.265887844959687e-06,0.05430150824686279,0.01727597078194286,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,Random Sampling,0.05006402074795915,0.02703933922087028,0.0008682228479301557,0.00033279254346903306,0.0056422416033456105,0.004890580520317194,,,,,,,,,,,,,,,,,0.05006402074795915,0.02703933922087028,0.050060295849107206,0.027039280896637534,3.724898851942271e-06,1.0277564926424638e-06,0.056574485199234914,0.02683183148940252,0.0007494290985050611,0.000982115229010736,0.00048048765311250465,0.00023945501997964036,0.0027922708512051033,0.0019166431938090081,4.3656151683535425e-05,2.637641823151243e-05,0.00035674164828378705,0.0012998939132595154,0.04563771044631722,0.026176672740083045,,,,,,
400,0.1,Non-random,0.15494767084892375,0.06097732101001813,0.004252745849953499,0.003000833202510351,0.024942762406135445,0.011951300804206942,,,,,,,,,,,,,,,,,0.15494767084892375,0.06097732101001813,0.1549461208996945,0.06097734161851606,1.5499492292292416e-06,7.921694373623645e-07,0.18414317910501268,0.06613142290675919,,,,,,,,,,,,,0.040875929250614715,0.025703711828070262,0.1140078936034115,0.06437707742293561,6.229804566828533e-05,2.8194863021640054e-05
400,0.1,Random Projection,0.12097967079316732,0.06038913945628005,0.004252745849953499,0.003000833202510351,0.01729461039940361,0.011883148333284578,0.00019286254391772672,0.0007222833527380108,0.0028813791475840846,0.0031299225588394043,0.0001739498955430463,0.0001748948747392724,0.0005642354517476633,0.0014843308999772748,0.000656116651953198,0.001186971336816177,6.871650111861527e-05,3.875808341806385e-05,5.716650048270822e-06,2.9743156038440967e-06,0.11643341659510043,0.060738748568499513,0.12097967079316732,0.06038913945628005,0.12097639343701302,0.06038919054872639,3.2773561542853715e-06,1.167119520084381e-06,0.14252702704252443,0.05746830543184947,,,,,,,,,,,,,,,,,,
400,0.1,Random Sampling,0.11845458340103505,0.04774262665536395,0.004252745849953499,0.003000833202510351,0.01827320620068349,0.010244466060126122,,,,,,,,,,,,,,,,,0.11845458340103505,0.04774262665536395,0.11844948114885483,0.047742786570828796,5.1022521802224215e-06,1.945923425213251e-06,0.14098053545167205,0.048617050346719023,0.0009905916973366401,0.00016324333656400324,0.0022191269978065974,0.0016673477129415094,0.00671672094904352,0.00267167285122085,0.00017136669921455905,8.425408555669748e-05,0.00048262065538438035,0.0007109031186743099,0.10786905415006913,0.047165772673198825,,,,,,
600,0.08164965809277261,Non-random,0.22566567704925547,0.06875898798555224,0.009860422798374202,0.0057722315125753425,0.15830480819859077,0.25414845536451075,,,,,,,,,,,,,,,,,0.22566567704925547,0.06875898798555224,0.22566387295082677,0.06875881136616258,1.8040984286926686e-06,6.373883992531784e-07,0.39383090804622045,0.28582688353460245,,,,,,,,,,,,,0.10108548744901782,0.0435920802336778,0.12423317299981136,0.0660875971620752,0.0003452125019975938,0.0006526763808759875
600,0.08164965809277261,Random Projection,0.14671078540413873,0.06456542068154349,0.009860422798374202,0.0057722315125753425,0.09111653960135299,0.14276950093212912,6.933545228093863e-05,0.00010593437045884537,0.006000185452285223,0.0057212242486441335,0.0004036561993416399,0.0005490961834332701,0.002012439601821825,0.002370340644842393,0.0023290646000532433,0.0032435853189152603,9.02146552107297e-05,3.385420842822404e-05,8.872950274962932e-06,3.453341544331805e-06,0.13579260624974268,0.06566931157545196,0.14671078540413873,0.06456542068154349,0.14670637516101123,0.06456555407421422,4.41024312749505e-06,1.466584542831371e-06,0.24768774780386593,0.17541025741829075,,,,,,,,,,,,,,,,,,
600,0.08164965809277261,Random Sampling,0.15242791875207332,0.058015372848664065,0.009860422798374202,0.0057722315125753425,0.08014390830212506,0.12111821880658945,,,,,,,,,,,,,,,,,0.15242791875207332,0.058015372848664065,0.15242266665736678,0.05801584120121119,5.252094706520438e-06,1.2008317933801126e-06,0.24243224985257256,0.13173953576223418,0.0028533606018754654,0.0018767672510823182,0.004289600097399671,0.002182098621322514,0.010039439451065845,0.003718684916530232,0.0013851999494363554,0.0018377951473544979,0.0007205082525615581,0.00024198723721687934,0.1331345583050279,0.05820739526925081,,,,,,
800,0.07071067811865475,Non-random,0.31028160205023597,0.08377639357895318,0.012364410447480623,0.0035008343469298928,0.08915232279687188,0.020666446450911476,,,,,,,,,,,,,,,,,0.31028160205023597,0.08377639357895318,0.31027990390139165,0.08377642552517729,1.6981488442979752e-06,3.1918234384218777e-07,0.4117983352945885,0.08608009814981017,,,,,,,,,,,,,0.15406296864821342,0.04248957091700937,0.15586155609780689,0.08801969993372442,0.00035537915537133815,3.271236915880345e-05
