n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
200,Non-random,9.399469498480897,0.14945168034426926,0.5739936680235187,0.1596106987986799,0.023688438508907114,0.011051892296602403,0.17383409999456484,0.08951695445333399
200,Random Projection,8.087043483485346,0.2652484214498811,1.025203527815468,0.32582814768996354,0.03352721811189626,0.012266849931493747,0.07233171049738299,0.0665786970026184
200,Random Sampling,10.866368722442468,0.4563128743676594,1.1098710990502034,0.276863859715445,0.034434091021304965,0.012676392896792602,0.057306647900259064,0.04884788277043531
200,SIGN,8.083323802905092,0.21100303158143988,1.1731569425599275,0.28426073906607396,0.0352661376547194,0.0076659695558360585,0.03664767716545612,0.035203229629287784
400,Non-random,13.3915881082627,0.12608132306538852,0.1136320278307709,0.02636276403570335,0.007878764012936475,0.0024050599363096927,0.18881080630089853,0.12183321760972492
400,Random Projection,10.347853361592353,0.6413165110598964,0.33752945797329137,0.1666916997944851,0.02566514394345118,0.010793707392270268,0.09697502710332624,0.03693875154021465
400,Random Sampling,13.158859607883567,0.42551019783123334,0.3637610818090001,0.0841550087593111,0.013937372202886688,0.005640726118626103,0.13075242074992272,0.06459133711223912
400,SIGN,10.540540721833995,0.2846947450392631,0.5276371899899001,0.23802643871741028,0.02980787208117273,0.009875012260580332,0.11792133335256949,0.06150643640902996
600,Non-random,16.38320417819186,0.12243167673617664,0.023,0.007504384683215819,0.00424475957156669,0.0017707181037129344,0.1948453313510981,0.05825651640085253
600,Random Projection,11.526359982435547,0.5557463993328204,0.0745,0.02517831146882278,0.013491314168144137,0.0038634867286507875,0.10667244380019833,0.07157645948742014
600,Random Sampling,14.662615337982654,0.3202931240477572,0.11549999999999998,0.02389120075852636,0.00955720407974909,0.003680714348144013,0.10261384165060003,0.03411813712846093
600,SIGN,12.045458819454998,0.5891608315265896,0.1955,0.06127805479941411,0.019563016587524285,0.004127052452702833,0.07834309374447912,0.021372751634781327
800,Non-random,18.961617674069206,0.10325270731754764,0.006374785277801215,0.004881033249623974,0.003600692948565505,0.0012461640305551358,0.23764522924902845,0.07119830493483408
800,Random Projection,12.821907469368336,0.3359916278001284,0.017065838754188812,0.011120045698808327,0.00870615434748482,0.003188685952426251,0.10504941240214974,0.040306378429351426
800,Random Sampling,16.27932261086761,0.4086285689474909,0.0479985075047168,0.02027160906054163,0.005941974139236285,0.0028083073548590435,0.1264182896484271,0.0506061645301402
800,SIGN,13.525575999059223,0.4718448794588995,0.07837289853848103,0.05994597229270159,0.012455182848178354,0.0053812508251765544,0.07825717299710959,0.016464169188040452
1000,Non-random,21.25325576227443,0.11922746431205605,0.0016489543435651201,0.0018133398500453414,0.002740191282427905,0.0012561458891774127,0.266853887499019,0.039245961105714586
1000,Random Projection,13.585312128945606,0.2274541715392693,0.003300156443869015,0.0030645090854114145,0.005366188221325725,0.001799720844790557,0.07942442285129796,0.01921943058708433
1000,Random Sampling,17.23411788538229,0.34566611569639527,0.013802575030119927,0.006414819105055344,0.004268267138307895,0.002050838214270631,0.10689408130419902,0.018960629501066244
1000,SIGN,14.086996226791717,0.4134279542060331,0.01995153836471202,0.010944126429590926,0.0076286193910301,0.002500642735311434,0.06668419789057226,0.010644925408702093
1200,Non-random,23.252216798232006,0.09356072430890042,0.00075,0.001175405864954068,0.002337903217519175,0.0007086651061022621,0.33669088754832044,0.04073924770483226
1200,Random Projection,14.661355463505775,0.25647443813869547,0.00125,0.0017206180040292133,0.0041090236779414094,0.00113389694322969,0.0823166520465747,0.02190303179785221
1200,Random Sampling,18.438794976182958,0.3858827602597411,0.006625000000000001,0.004313000543033877,0.0034432404921600447,0.0011427798303805371,0.11466477495414433,0.02203235647801489
1200,SIGN,15.447602556180334,0.6039023660316746,0.006875000000000001,0.006482516973814221,0.006070799937568772,0.001430787289619307,0.07532338968012482,0.013506510342819343
