alpha_n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
0.05,Non-random,12.246491739549933,0.08439813792320273,0.37421875,0.042406231213392265,0.0019316663148232298,0.0008062732553828236,0.3858273499441566,0.0702357709017143
0.05,Random Projection,9.146997975804323,0.3577750397097584,1.3115885416666668,0.20327127795009436,0.01169890472224381,0.0011442223875246201,0.23425030425132715,0.07068150617512012
0.05,Random Sampling,12.96451273860264,0.3082995313550093,0.75078125,0.09025093259488834,0.003985089171628859,0.0009623305256088616,0.2552233791007893,0.0631301545854347
0.05,SIGN,8.498929773680892,0.31030585385175613,1.4842447916666666,0.16466397811523184,0.012755696801519218,0.0007405046959179671,0.18757063550874592,0.059432147058317765
0.1,Non-random,16.86576295679354,0.07841188013787782,0.04466145833333329,0.012425392985875174,0.00152969419236958,0.0006926636929516441,0.3131054626021068,0.04754589443925749
0.1,Random Projection,12.50896982829578,0.7720265791627159,0.254296875,0.07305982871938231,0.01340884182773314,0.0025520791957249316,0.11189025624626078,0.03495638532626916
0.1,Random Sampling,15.077543005799592,0.19825439492193592,0.1649739583333333,0.023646349572191437,0.003704081830578575,0.0011145493562620256,0.1397608333980315,0.03183614802442227
0.1,SIGN,12.288261540493288,0.7316602964304166,0.5147135416666667,0.10588385524733054,0.01715448579260547,0.0025590131321358562,0.12479083940852434,0.021176076272911917
0.15,Non-random,20.20276984477652,0.13032121064296057,0.00481770833333329,0.0022788905726964237,0.00204793017732087,0.0008272981276988795,0.32459865850250935,0.05690373240422258
0.15,Random Projection,13.915700070060367,0.8817431227724798,0.02447916666666663,0.022135819784771013,0.008424051375772445,0.004013454873428969,0.09214048550347792,0.03044871620466277
0.15,Random Sampling,16.83087252975487,0.39824508373514284,0.036197916666666635,0.008977469616159344,0.00395849488403088,0.0012937960021725946,0.1315936355022131,0.031074325751479618
0.15,SIGN,14.026164855074862,1.2450370519583664,0.1140625,0.07634859051345881,0.012657035452874065,0.005886849286322873,0.08600459379376843,0.012709686891730035
0.2,Non-random,22.762297855785643,0.12712653179317018,0.00026041666666666,0.0008015455875665062,0.002047482930723665,0.0007166794350072848,0.3016736458521336,0.038955008615942636
0.2,Random Projection,14.432783920353282,0.3473935033912031,0.001302083333333305,0.0015806692152783163,0.00350386366728047,0.0012056520836007478,0.07996251865552037,0.026167714111108072
0.2,Random Sampling,18.238575688617676,0.36750181585605646,0.00729166666666662,0.006010107379770701,0.00346924310277255,0.0009298863510102272,0.1417142249003518,0.04055632871069333
0.2,SIGN,14.984193102434517,0.42642158298142624,0.006380208333333333,0.004814836596692652,0.005248292947353792,0.0016530930833341389,0.07977148954523727,0.02398840435909029
