alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec
0.05,1,SIGN,8.744329212674575,1.3177083333333333,0.012170455009778286,0.2923614999745041,0.017995957983657718,0.15769108291715384,6.616697646677494e-05,13,2,0.00826658308506012,0.007017083931714296,0.0010596669744700193,5.933293141424656e-05,1.537497155368328e-05,0.27587083308026195,0.2923614999745041,0.2923550419509411,6.458023563027382e-06,0.46804854087531567
0.05,2,SIGN,8.530421644115469,1.7552083333333335,0.013517053585320044,0.1196102499961853,0.023530707927420735,0.2766385420691222,0.00012679188512265682,13,2,0.006869500037282705,0.00955950003117323,0.0011335841845721006,9.80000477284193e-05,2.004089765250683e-05,0.10179512505419552,0.1196102499961853,0.11960254213772714,7.707858458161354e-06,0.41977949999272823
0.05,3,SIGN,8.616004493648695,1.6302083333333333,0.013300218722262544,0.23961570905521512,0.025941834086552262,0.19619225012138486,6.704195402562618e-05,13,2,0.010885583935305476,0.007390292128548026,0.004396208096295595,6.71660527586937e-05,9.917188435792923e-06,0.2167917499318719,0.23961570905521512,0.2396079592872411,7.74976797401905e-06,0.46174979326315224
0.05,4,SIGN,8.40399424531807,1.4036458333333335,0.014043697334821331,0.15884145791642368,0.01958445878699422,0.1956084999255836,6.92091416567564e-05,13,2,0.029785000020638108,0.009601709200069308,0.004551374819129705,0.00010449998080730438,2.2625084966421127e-05,0.1146982500795275,0.15884145791642368,0.1588326683267951,8.789589628577232e-06,0.3740344166290015
0.05,5,SIGN,9.161791842077958,1.6484375,0.012942744410711804,0.1060730000026524,0.023705124855041504,0.19334512506611645,0.00010979082435369492,13,2,0.006628416012972593,0.00655587506480515,0.0019969171844422817,7.24999699741602e-05,1.0541873052716255e-05,0.09069258300587535,0.1060730000026524,0.10606662393547595,6.37606717646122e-06,0.32312324992381036
0.05,6,SIGN,7.890359121170086,1.15625,0.011999696600645954,0.1642203328665346,0.017850416945293546,0.15973337483592331,0.00011150003410875797,13,2,0.009286666056141257,0.006732833106070757,0.0008132499642670155,6.212480366230011e-05,9.249895811080933e-06,0.14719829219393432,0.1642203328665346,0.1642139160539955,6.416812539100647e-06,0.34180412464775145
0.05,7,SIGN,8.268387145522283,1.3359375,0.01209134860560853,0.16771616600453854,0.01761595788411796,0.18674208386801183,6.408314220607281e-05,13,2,0.008443834027275443,0.007928959093987942,0.0026717919390648603,0.00011720787733793259,1.7250189557671547e-05,0.1484641251154244,0.16771616600453854,0.16770725138485432,8.91461968421936e-06,0.37207420775666833
0.05,8,SIGN,8.275883268096177,1.4375,0.011912772187352615,0.1775192089844495,0.02056933310814202,0.16689533391036093,7.345806807279587e-05,13,2,0.004367999965324998,0.008680083090439439,0.0014695830177515745,0.00012674997560679913,2.7709174901247025e-05,0.16276737488806248,0.1775192089844495,0.17751295818015933,6.250804290175438e-06,0.36498387600295246
0.05,9,SIGN,8.491203633578557,1.4453125,0.011884606911267609,0.1615728340111673,0.02429262502118945,0.1769905830733478,6.783311255276203e-05,13,2,0.008856124943122268,0.0069162920117378235,0.0037883748300373554,8.241599425673485e-05,9.167008101940155e-06,0.1418461250141263,0.1615728340111673,0.16156633291393518,6.501097232103348e-06,0.36285604210570455
0.05,10,SIGN,8.605266043869587,1.53125,0.012694531064433474,0.127147417049855,0.021774583961814642,0.1631090419832617,6.620818749070168e-05,13,2,0.002466208068653941,0.006144125014543533,0.0005779580678790808,5.700020119547844e-05,8.707866072654724e-06,0.11782208294607699,0.127147417049855,0.12714229035191238,5.126697942614555e-06,0.31203104299493134
0.05,11,SIGN,8.325279860815218,1.4036458333333335,0.012265707700503226,0.16261929110623896,0.020055500091984868,0.23206554213538766,0.00011841696687042713,13,2,0.011303749866783619,0.007101041032001376,0.003214042168110609,0.00010316609404981136,1.9250204786658287e-05,0.14075262495316565,0.16261929110623896,0.16261229128576815,6.9998204708099365e-06,0.4147403333336115
0.05,12,SIGN,8.583941619618631,1.65625,0.013994274883709204,0.1588881250936538,0.02067837491631508,0.1303023339714855,6.320816464722157e-05,13,2,0.007058084011077881,0.005754832876846194,0.0022722079884260893,0.0001463748048990965,1.0542105883359909e-05,0.14357637497596443,0.1588881250936538,0.15888162492774427,6.500165909528732e-06,0.3098688339814544
0.05,13,SIGN,8.922049804426749,1.6510416666666665,0.013951437890589627,0.13964037504047155,0.016575833084061742,0.15880408394150436,7.595797069370747e-05,13,2,0.0031637910287827253,0.0067198751494288445,0.0009353749919682741,0.00010754214599728584,2.0666979253292084e-05,0.1286112500820309,0.13964037504047155,0.13963445834815502,5.916692316532135e-06,0.31502029206603765
0.05,14,SIGN,8.247373989531027,1.3203125,0.01242816225377117,0.256151334149763,0.019178332993760705,0.21744254208169878,0.0001236249227076769,13,2,0.008056042017415166,0.00835500005632639,0.0052804171573370695,6.666616536676884e-05,8.95792618393898e-06,0.23425050009973347,0.256151334149763,0.2561412083450705,1.012580469250679e-05,0.49277220922522247
0.05,15,SIGN,8.956849533351264,1.578125,0.01276673785208493,0.20977454190142453,0.017393375048413873,0.3068132500629872,9.379186667501926e-05,13,2,0.004579999949783087,0.008199166972190142,0.0011403330136090517,0.00010295887477695942,1.9625062122941017e-05,0.1956321659963578,0.20977454190142453,0.209768041735515,6.500165909528732e-06,0.5339811670128256
0.05,16,SIGN,8.45231239794851,1.5911458333333333,0.013350374319917077,0.1425442500039935,0.022970000049099326,0.22850333317182958,7.737497799098492e-05,13,2,0.005613040877506137,0.00811808300204575,0.0007084999233484268,8.27079638838768e-05,1.2832926586270332e-05,0.1279215000104159,0.1425442500039935,0.14253403968177736,1.0210322216153145e-05,0.3940175832249224
0.05,17,SIGN,8.301707567000637,1.296875,0.012598263484864425,0.15126404212787747,0.014622958144173026,0.23441820801235735,6.624986417591572e-05,13,2,0.0031011251267045736,0.004255957901477814,0.0011347499676048756,0.00010970793664455414,1.00000761449337e-05,0.14257945818826556,0.15126404212787747,0.15125724906101823,6.7930668592453e-06,0.40030520828440785
0.05,18,SIGN,7.986875239060485,1.3515625,0.01171527930729823,0.27813566685654223,0.018590583000332117,0.19923029118217528,6.925011985003948e-05,13,2,0.006689374800771475,0.010746625019237399,0.0018737921491265297,7.28340819478035e-05,8.875038474798203e-06,0.25866679195314646,0.27813566685654223,0.2781275431625545,8.123693987727165e-06,0.4959565410390496
0.05,19,SIGN,8.659382640620493,1.7265625,0.012391529076865457,0.30252250004559755,0.017199042020365596,0.22364916699007154,7.479218766093254e-05,13,2,0.019644625019282103,0.02210420905612409,0.010348582873120904,6.89169391989708e-05,9.082956239581108e-06,0.2502644578926265,0.30252250004559755,0.3025146669242531,7.833121344447136e-06,0.5433707090560347
0.05,20,SIGN,8.55518217117336,1.4479166666666665,0.01309504482857883,0.23519470798783004,0.019091167021542788,0.2078289578203112,7.070810534060001e-05,13,2,0.005569875007495284,0.005881624994799495,0.0011495419312268496,6.391690112650394e-05,8.624978363513947e-06,0.2224442909937352,0.23519470798783004,0.23518858291208744,6.125075742602348e-06,0.462114832829684
