K,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
2,1,Random Projection,13.541642212664383,0.0,0.0013189792910246,0.0904172089940402,0.028179416025523,0.1529654999903869,6.324998685158789e-05,0.0036855000071227,0.0015145409852266,0.0005759590130764,0.0004477920010685,7.266699685715139e-05,6.333022611215711e-06,0.0840464999782852,0.0904172089940402,0.0904125419910997,4.6670029405504465e-06,0.2715621250099502,,,,,,,,,,,,,,,,,,
2,1,Random Sampling,17.436800861453897,0.0,0.0015307879883779,0.1345849999925121,0.028179416025523,0.1224812500004191,,,,,,,,,0.1345849999925121,0.1345783340802882,6.665912223979831e-06,0.2852456660184543,0.0073599580209702,0.0141422090237028,0.0238548750057816,0.0033100000000558,0.0014652500103693,0.0844460420194082,,,,,,,,,,,,
2,1,Non-random,24.103277828593015,0.0,0.0011308834876543,0.2628228749963455,0.028179416025523,0.2139989589923061,,,,,,,,,0.2628228749963455,0.2628202920313924,2.582964953035116e-06,0.5050012500141747,,,,,,,0.2254675420117564,0.0361879999982193,0.0011647500214166,,,,,,,,,
2,2,Random Projection,13.48457829587356,0.0,0.0005177814085367,0.0510733749833889,0.0258031249977648,0.1127913749951403,0.0001224169973284,0.0066967910097446,0.0005828750145155,0.0006727919972036,0.0051218750013504,8.508301107212901e-05,8.417002391070127e-06,0.0377756250090897,0.0510733749833889,0.0510658750426955,7.499940693378448e-06,0.1896678749762941,,,,,,,,,,,,,,,,,,
2,2,Random Sampling,17.463854503551257,0.0,0.000806386133996,0.0858011250093113,0.0258031249977648,0.1219350830069743,,,,,,,,,0.0858011250093113,0.0857951670186594,5.95799065195024e-06,0.2335393330140505,0.0152107919857371,0.0075415410101413,0.0104171659913845,0.0017560000123921,0.0013828340161126,0.0494868340028915,,,,,,,,,,,,
2,2,Non-random,23.921364940637247,0.0,0.0004255883487654,0.2660914579755626,0.0258031249977648,0.1286486670142039,,,,,,,,,0.2660914579755626,0.2660888750106096,2.582964953035116e-06,0.4205432499875314,,,,,,,0.2153690830164123,0.0500880839827004,0.0006317080114968,,,,,,,,,
2,3,Random Projection,13.721972318700749,0.0,0.0007640760806259,0.059414666990051,0.0174847920134197,0.1596116249857004,6.308298907242715e-05,0.0058429160271771,0.0006030830263625,0.0030898750119376,0.0017234999977517,0.0001206250162795,1.550000160932541e-05,0.0479500409855973,0.059414666990051,0.0594086230557877,6.043934263288975e-06,0.2365110839891713,,,,,,,,,,,,,,,,,,
2,3,Random Sampling,17.488408892495965,0.0,0.0009334418786097,0.0798007909907028,0.0174847920134197,0.107516833988484,,,,,,,,,0.0798007909907028,0.0797966240206733,4.166970029473305e-06,0.2048024169926066,0.0140442909905686,0.0106390420114621,0.0149558749981224,0.0009623330261092,0.0013894169824197,0.0378056660119909,,,,,,,,,,,,
2,3,Non-random,23.69735196627461,0.0,0.0005943769290123,0.3177783330029342,0.0174847920134197,0.1573685420153197,,,,,,,,,0.3177783330029342,0.3177760420076083,2.2909953258931637e-06,0.4926316670316737,,,,,,,0.2559767920174636,0.0607292499917093,0.0010699999984353,,,,,,,,,
2,4,Random Projection,13.372598789740056,0.0,0.0018777547447142,0.0362596249906346,0.0128919589915312,0.1399654579872731,6.708299042657018e-05,0.0042579589935485,0.0001791669928934,0.0004667080065701,0.0009817910031415,5.091700586490333e-05,6.332993507385254e-06,0.0302470000169705,0.0362596249906346,0.036256958002923,2.6669877115637064e-06,0.189117041969439,,,,,,,,,,,,,,,,,,
