n,alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec,sign_draw_omega_sec,sign_embedding_dim,sign_power_parameter,sign_subspace_iter_sec,sign_reconstruct_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_kmeans_sec
200,0.1414213562373095,1,Random Projection,7.681979539177207,0.77,0.0272827882566409,0.053509874996962,0.0011577080003917,0.0118861249939072,1.2916018022224309e-05,0.000174834014615,9.874999523162842e-05,4.762498429045081e-05,0.000108625012217,0.0001584159908816,2.9170187190175056e-06,0.0528988749720156,0.053509874996962,0.0535029580059926,6.916990969330072e-06,0.066553707991261,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,1,Random Sampling,9.331473627557587,0.57,0.0246626526721027,0.0600329999870155,0.0011577080003917,0.0067172499839216,,,,,,,,,0.0600329999870155,0.0600284179963637,4.581990651786327e-06,0.0679079579713288,0.0002905839937739,0.0004150840104557,0.0065892499987967,9.90410044323653e-05,0.0001039170019794,0.0525305419869255,,,,,,,,,,,,
200,0.1414213562373095,1,Non-random,8.470528968003311,0.22,0.0056213562373094,0.0515171659935731,0.0011577080003917,0.0025467920058872,,,,,,,,,0.0515171659935731,0.0515155419998336,1.6239937394857409e-06,0.0552216659998521,,,,,,,0.018461457977537,0.0330462920246645,7.791997632011771e-06,,,,,,,,,
200,0.1414213562373095,2,Random Projection,8.28312865935521,0.38,0.0173222575402371,0.0401622919889632,0.0003877080162055,0.0017987920145969,1.3457989552989602e-05,0.0001505420077592,6.074999691918492e-05,3.358398680575192e-05,2.8125010430812836e-05,3.474997356534004e-05,2.1250161807984114e-06,0.0398368749883957,0.0401622919889632,0.0401602089696098,2.0830193534493446e-06,0.0423487920197658,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,2,Random Sampling,8.974207851905975,0.41,0.0072456793775871,0.0209418750018812,0.0003877080162055,0.013268708018586,,,,,,,,,0.0209418750018812,0.0209389999799896,2.875021891668439e-06,0.0345982910366728,0.0002827919961418,0.0003430419892538,0.0012335829960647,1.8791004549711943e-05,4.804201307706535e-05,0.0190127499809023,,,,,,,,,,,,
200,0.1414213562373095,2,Non-random,8.880506500190798,0.33,0.0178425129352828,0.0416564580227714,0.0003877080162055,0.0067002089926972,,,,,,,,,0.0416564580227714,0.0416533749958034,3.0830269679427147e-06,0.0487443750316742,,,,,,,0.008718166995095,0.0329237499972805,1.145800342783332e-05,,,,,,,,,
200,0.1414213562373095,3,Random Projection,7.281751599882416,0.34,0.0189907089120024,0.0726719169761054,0.0011370839783921,0.0018985829956363,2.8292008209973577e-05,0.0003058330039493,6.204101373441517e-05,3.4083001082763076e-05,4.645800800062716e-05,3.5792007111012936e-05,2.4170149117708206e-06,0.0721547080029267,0.0726719169761054,0.0726696240599267,2.292916178703308e-06,0.075707583950134,,,,,,,,,,,,,,,,,,
200,0.1414213562373095,3,Random Sampling,9.27202050335867,0.39,0.0207143718474372,0.0640966659993864,0.0011370839783921,0.0027282920200377,,,,,,,,,0.0640966659993864,0.0640917909913696,4.875008016824722e-06,0.0679620419978164,0.0004659580008592,0.0010142920073121,0.0030152499966789,5.208299262449145e-05,9.5208000857383e-05,0.0594489999930374,,,,,,,,,,,,
200,0.1414213562373095,3,Non-random,8.594218062696397,0.16,0.0136001756817539,0.0574391249974723,0.0011370839783921,0.0017403340025339,,,,,,,,,0.0574391249974723,0.0574377079901751,1.4170072972774506e-06,0.0603165429783985,,,,,,,0.0069287079968489,0.0505018749972805,7.124996045604348e-06,,,,,,,,,
200,0.1414213562373095,4,Random Projection,7.595510364725261,0.32,0.0170493567034024,0.0569922080030664,0.001036166009726,0.0051637080032378,0.0001297919952776,0.0006822079885751,0.0001133749901782,7.87499884609133e-05,7.149999146349728e-05,6.987497908994555e-05,5.583016900345683e-06,0.0558374169922899,0.0569922080030664,0.0569884999422356,3.708060830831528e-06,0.0631920820160303,,,,,,,,,,,,,,,,,,
