n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std,alpha_n_mean
200,Non-random,8.6204962487414,0.15489049987729706,0.2085,0.05537194805656514,0.009416808038231179,0.00460927874722512,0.05609261650242838,0.02097943440832544,0.1414213562373095
200,Random Projection,7.442480148031892,0.35525304671370195,0.398,0.1814735010378853,0.014967707907433259,0.006211176326715441,0.04901204164925726,0.017463183480197424,0.1414213562373095
200,Random Sampling,9.131784272642507,0.39149000574140963,0.39849999999999997,0.12587692401707312,0.01431276838122679,0.011442349350114258,0.050064020747959105,0.027039339220870273,0.1414213562373095
200,SIGN,7.434521919294326,0.30439364052076234,0.48650000000000004,0.19142883795290616,0.01777276505512063,0.006795769569758576,0.028770741692278536,0.014579676910332398,0.1414213562373095
400,Non-random,10.497668866482845,0.09246334733331608,0.10200000000000001,0.023418391333129153,0.0027752749714995547,0.0012626583342315548,0.1549476708489237,0.06097732101001813,0.1
400,Random Projection,7.7994662119711595,0.507694670854743,0.258,0.08784555825574313,0.008612174031108661,0.0027440048025002867,0.12097967079316727,0.060389139456280064,0.1
400,Random Sampling,10.164119272155093,0.39701271229711665,0.23625,0.045447337945316336,0.005230965716022085,0.003123484109211305,0.11845458340103501,0.04774262665536395,0.1
400,SIGN,8.172272974687342,0.3919387541668136,0.35300000000000004,0.10557362110718858,0.012014845660788405,0.0036661119446390845,0.06811430418165401,0.015679634925963817,0.1
600,Non-random,11.74482873759449,0.10505777829571826,0.06566666666666662,0.01790488188516299,0.002015060019082705,0.0011530953232138388,0.22566567704925541,0.06875898798555223,0.0816496580927726
600,Random Projection,8.295472199971584,0.7263593357619884,0.21383333333333326,0.12686630159160533,0.0077820991748553045,0.0029049573894966083,0.14671078540413868,0.0645654206815435,0.0816496580927726
600,Random Sampling,10.661525850259848,0.22984879236131064,0.1578333333333333,0.0162680399190258,0.00289499850677626,0.001535509343163605,0.15242791875207326,0.05801537284866407,0.0816496580927726
600,SIGN,8.576388982982028,0.4757756246645443,0.32816666666666666,0.15183661193910444,0.009629282482851742,0.002975812622967755,0.07446313332766294,0.014893444417140255,0.08164965809277261
800,Non-random,12.659792216235001,0.09283736869818497,0.04562499999999999,0.012324424829111544,0.001281198069670945,0.0007182780418686161,0.3102816020502359,0.0837763935789532,0.0707106781186547
800,Random Projection,8.681198008050469,0.3384818372412006,0.13924999999999998,0.03692185916514129,0.005533690471718225,0.0011973074554818728,0.1600027979002334,0.0821531210722192,0.0707106781186547
800,Random Sampling,11.227889337624566,0.28094885149632093,0.12362499999999998,0.029216467508653605,0.00241732599803273,0.001245386889248401,0.15406091260083482,0.05457903510706634,0.0707106781186547
800,SIGN,8.891131626906306,0.24761818179098957,0.26425,0.06546443389553719,0.007627723142221115,0.001728943620061207,0.08300295635126531,0.014713117935193098,0.07071067811865475
1000,Non-random,13.466378244033601,0.08599445915569283,0.03249999999999996,0.009555929545244876,0.0009398941219953751,0.0004925976920255962,0.42463805614825106,0.07365669053513467,0.0632455532033675
1000,Random Projection,9.201915173969567,0.35937686701669175,0.11029999999999998,0.04040466361826646,0.0040579344201799854,0.0014755648689727446,0.20184341035055692,0.0740387986993626,0.0632455532033675
1000,Random Sampling,11.716726674014783,0.2991450692881258,0.09649999999999999,0.015271231984217565,0.0016923726727154202,0.0008015621746670287,0.21372605414944695,0.07658160965036875,0.0632455532033675
1000,SIGN,9.190067366072956,0.37026419207786576,0.21600000000000003,0.07121206284567834,0.005822261375219684,0.0018139432646268737,0.08088450820650905,0.013626085455625107,0.06324555320336758
1200,Non-random,14.117931308994107,0.07582621302212636,0.02291666666666664,0.0062798992430550945,0.000724689528784515,0.0002809978041089272,0.5131025584982126,0.10316725310561892,0.0577350269189625
1200,Random Projection,9.587582072286393,0.46106336601012854,0.09016666666666663,0.03573742775704568,0.0037636597652488347,0.0011430180822401502,0.1734905957986484,0.07413513115173831,0.0577350269189625
1200,Random Sampling,11.990170361987847,0.24236009218207355,0.06941666666666663,0.009960081142956058,0.00128617671486512,0.0005268657539183571,0.19778154160158007,0.06179524947031523,0.0577350269189625
1200,SIGN,9.542875103281009,0.5361999624956216,0.207,0.06998454298850526,0.005451711408414212,0.0014710777995310682,0.09020068331155925,0.019790941814785315,0.057735026918962574
