model,n,rep,method,error_P,error_Theta,error_B,time_sec
1,200,1,Random Projection,7.461134588390505,0.0,0.009253539347929551,0.10211533299999997
1,200,1,Random Sampling,6.970348799812247,0.014925373134328358,0.015587856297124919,0.03308020799999989
1,200,1,Non-random,8.223501969441198,0.0,0.006924764405478068,0.052870416999999836
1,200,2,Random Projection,8.06747652534508,0.07507914970601537,0.016767716183300696,0.026699958000000024
1,200,2,Random Sampling,8.154529469706967,0.22501130710085931,0.012177065107072643,0.03349837500000019
1,200,2,Non-random,8.591099398448128,0.03007688828584351,0.005904090712166715,0.03795716599999999
1,200,3,Random Projection,7.2123116787178,0.1047037539574853,0.022260651015383714,0.014895833000000192
1,200,3,Random Sampling,9.058434113816391,0.37516960651289005,0.02924699982814352,0.025765374999999757
1,200,3,Non-random,8.732759443143582,0.05970149253731343,0.011419989342686176,0.034157834000000165
1,200,4,Random Projection,7.64305339665731,0.045228403437358664,0.03426926822462162,0.017311625000000053
1,200,4,Random Sampling,8.12015084999365,0.07485300768882858,0.021082727726664446,0.02198904199999996
1,200,4,Non-random,8.9519705410917,0.014925373134328358,0.016866806005348067,0.03257462500000008
1,200,5,Random Projection,7.318236590803346,0.10583446404341927,0.02655114353413668,0.013968292000000382
1,200,5,Random Sampling,8.421786136875687,0.181592039800995,0.03128809632673993,0.022323832999999738
1,200,5,Non-random,8.860040441730476,0.04500226142017187,0.019630677833895993,0.034137957999999635
1,200,6,Random Projection,6.7532053706441335,0.0,0.010418993941459204,0.015127375000000054
1,200,6,Random Sampling,7.394527534968469,0.04477611940298507,0.01624766625998786,0.019185417000000093
1,200,6,Non-random,7.717066766126638,0.015151515151515152,0.011309383792685979,0.03284991599999998
1,200,7,Random Projection,7.979294343526703,0.0,0.020851957125121223,0.01545025000000022
1,200,7,Random Sampling,8.48252535706914,0.09045680687471733,0.027391639337380536,0.021836833000000055
1,200,7,Non-random,8.890823642260418,0.0,0.014993677200293043,0.029611749999999937
1,200,8,Random Projection,8.242784161963282,0.0,0.013610076555711004,0.014185791999999697
1,200,8,Random Sampling,8.037584146583491,0.045228403437358664,0.0033049522219015803,0.020155041999999845
1,200,8,Non-random,8.950084061898659,0.014925373134328358,0.015510485449294231,0.030019624999999994
1,200,9,Random Projection,7.365054701486609,0.04477611940298507,0.022830666765909335,0.013143707999999865
1,200,9,Random Sampling,7.635473414174671,0.06015377657168702,0.0061310947645055736,0.01986620799999983
1,200,9,Non-random,8.177113284795432,0.029850746268656716,0.015305526895060373,0.03035108299999978
1,200,10,Random Projection,7.544128896706081,0.029850746268656716,0.0170572536128496,0.015981374999999964
1,200,10,Random Sampling,8.322323336885233,0.09023066485753053,0.01250061983801315,0.020541582999999974
1,200,10,Non-random,8.792240058370648,0.029850746268656716,0.012938679712888201,0.030065124999999693
1,200,11,Random Projection,8.134836585524813,0.014925373134328358,0.016133188265021692,0.013528666999999661
1,200,11,Random Sampling,8.500754349727224,0.07485300768882858,0.016722520020182596,0.01875862500000025
1,200,11,Non-random,9.294379288942586,0.0,0.008599322943783794,0.031219291999999843
1,200,12,Random Projection,7.676147403140393,0.0,0.013334766337279258,0.013466084000000045
1,200,12,Random Sampling,7.511504763587739,0.09023066485753053,0.030639257640159512,0.021827875000000052
1,200,12,Non-random,8.610311887315365,0.0,0.009874363371785322,0.02967416700000003
1,200,13,Random Projection,7.804705168940017,0.3778833107191316,0.045718214911382365,0.015415334000000058
1,200,13,Random Sampling,10.399247040245532,0.49864314789687925,0.0889146445543455,0.02499691699999973
1,200,13,Non-random,8.815261510309512,0.18068747173224786,0.01687795996150951,0.030452166999999974
1,200,14,Random Projection,7.733597632552417,0.04500226142017187,0.019690712825709,0.012528082999999857
1,200,14,Random Sampling,8.010108177002735,0.03007688828584351,0.006407084415866959,0.02113033299999989
1,200,14,Non-random,8.554607292490855,0.015151515151515152,0.016472478508367583,0.030368124999999857
1,200,15,Random Projection,7.8753986059646826,0.03007688828584351,0.01169390964033562,0.014184540999999662
1,200,15,Random Sampling,8.153415937966727,0.06015377657168702,0.010737815118035926,0.019393541000000347
1,200,15,Non-random,8.553096730740608,0.03007688828584351,0.010820445455557215,0.0313552920000002
1,200,16,Random Projection,7.415122563578171,0.014925373134328358,0.015573100531093648,0.012094416000000052
1,200,16,Random Sampling,8.533799516287253,0.12008141112618724,0.03867834330125455,0.021081125000000256
1,200,16,Non-random,8.506047883521862,0.014925373134328358,0.009914671609938974,0.030700208999999923
1,200,17,Random Projection,7.543710626802001,0.16463138851198553,0.04524908404290964,0.015214249999999652
1,200,17,Random Sampling,8.297053607656979,0.14993215739484395,0.010529568983625365,0.020625165999999417
1,200,17,Non-random,8.832669786978219,0.07507914970601537,0.010015082807647485,0.03195716699999984
1,200,18,Random Projection,7.497546249709627,0.0,0.01921395398593112,0.015775209000000068
1,200,18,Random Sampling,6.689264249578858,0.029850746268656716,0.021094462688354798,0.016775417000000736
1,200,18,Non-random,8.475189775926859,0.0,0.017423911782367463,0.0286256250000001
1,200,19,Random Projection,7.82450437870681,0.059927634554500224,0.01589709223608321,0.0123660000000001
1,200,19,Random Sampling,8.785997019653,0.06060606060606061,0.020478177802774944,0.018231250000000365
1,200,19,Non-random,9.369781360848947,0.045228403437358664,0.014592301062069823,0.028584166999999994
1,200,20,Random Projection,7.248392023755154,0.015151515151515152,0.015347361211347582,0.011494292000000073
1,200,20,Random Sampling,6.995191055695244,0.06015377657168702,0.01730968036883135,0.018366875000000782
1,200,20,Non-random,8.333228728926933,0.0,0.01082186121165235,0.02852254200000015
1,400,1,Random Projection,8.840414222166618,0.0,0.0018066568215941992,0.015928666000000646
1,400,1,Random Sampling,8.877214184220175,0.0,0.00675047442428367,0.022123249999999928
1,400,1,Non-random,12.15062211680193,0.0,0.0021776284215428987,0.07189433300000037
1,400,2,Random Projection,8.870852210366266,0.0,0.004321824439153604,0.017264291000000043
1,400,2,Random Sampling,9.218839871602913,0.0,0.008388751337095407,0.025755625000000393
1,400,2,Non-random,11.698428457529236,0.0,0.003680688870147608,0.07199549999999988
1,400,3,Random Projection,7.701295675126387,0.0,0.006150328677770045,0.014833207999999765
1,400,3,Random Sampling,9.73325865833043,0.0,0.005468724373351275,0.020848042000000788
1,400,3,Non-random,11.81200948823309,0.0,0.006289510330158066,0.07147870799999989
1,400,4,Random Projection,8.857059683719882,0.007518796992481203,0.008589915173115387,0.01638837500000001
1,400,4,Random Sampling,11.177254884152042,0.007518796992481203,0.010062318081419552,0.023341417000000142
1,400,4,Non-random,13.00080960282,0.0,0.00419629994445006,0.07158916699999995
1,400,5,Random Projection,8.660279281512912,0.0,0.01232955302503963,0.014017332999999965
1,400,5,Random Sampling,8.567243025443245,0.0,0.011433119475236286,0.02212362499999987
1,400,5,Non-random,10.957269390690747,0.0,0.011811111430049731,0.07421820900000053
1,400,6,Random Projection,9.43529492654264,0.0,0.01061982963533406,0.016776917000000502
1,400,6,Random Sampling,11.047192341224347,0.04500056110425317,0.010268458959970639,0.027250083000000203
1,400,6,Non-random,12.75971394081447,0.0,0.007356219195342406,0.07355162500000034
1,400,7,Random Projection,9.494942439885207,0.0,0.007519306895563765,0.016381291000000076
1,400,7,Random Sampling,10.791348731295395,0.007518796992481203,0.012071110522058615,0.02391508299999945
1,400,7,Non-random,13.117407254010681,0.0,0.0065473997795207906,0.07179870800000021
