model,n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
1,200,Non-random,8.661563692665432,0.3806360519687175,0.030031659882406154,0.04142254605583279,0.012810824003223819,0.0037883217326177194,0.03423306050000001,0.0034773872952535067
1,200,Random Projection,7.6170320746457465,0.3587478999627797,0.05639981908638625,0.08772535185352462,0.020586132514675788,0.010277291133964995,0.018695904149999932,0.015091775658278614
1,200,Random Sampling,8.12370094386436,0.82450329519745,0.1188489371325192,0.12218833445453668,0.021823513630048284,0.01837510205153979,0.021754960549999924,0.002067879395291515
1,200,CountSketch,7.472171049822708,0.4996342017459948,0.05496381727725012,0.09942396893668239,0.019102850672727857,0.010006222260232778,0.015664064549999978,0.0017384727969822012
1,400,Non-random,12.339934080968863,0.6753477349745676,0.0003759398496240601,0.0016812541184208945,0.006111712036302967,0.0028156393478250357,0.08017367700000007,0.005221828319659838
1,400,Random Projection,9.026420426859142,0.6594829793204854,0.00262877342610257,0.008534597226875603,0.007348343025500539,0.00400343128894842,0.018833573000000083,0.002990928985843514
1,400,Random Sampling,9.936645746274246,0.8137117282961005,0.008253843564134215,0.01575751971779065,0.009692231465679126,0.004063397769862674,0.02699881885000006,0.003019916845103737
1,400,CountSketch,9.027646225850047,0.8407523518517033,0.0,0.0,0.006967023881286535,0.0033556955072611525,0.019665260349999915,0.0027904218037473564
1,600,Non-random,15.32980242531093,0.8019807562854657,0.0,0.0,0.004097887485919036,0.0017073964266733222,0.1818277708500003,0.00391407764675931
1,600,Random Projection,10.310074054708165,0.8776708272804495,0.0,0.0,0.004399947669101498,0.0018913049375109349,0.020974056099999493,0.0017221022080604895
1,600,Random Sampling,11.915939794416321,1.1050333471486562,0.0035000000000000005,0.004616902584383193,0.006293984423946901,0.0024117699455071103,0.04451730205000004,0.004127900293841611
1,600,CountSketch,10.251722518329949,0.9012971418827619,0.0,0.0,0.004419500722239523,0.0018834622299655128,0.021408989549999546,0.001471132076140868
1,800,Non-random,18.159530151393223,0.5132491631232309,0.0,0.0,0.003583021508443941,0.0012211266334270254,0.26792020834999947,0.00634770909545416
1,800,Random Projection,11.354361171046637,0.6541577019047182,0.0,0.0,0.0037016979266990073,0.0012212978196470613,0.027027533500000978,0.0031571078414621935
1,800,Random Sampling,13.945154576009111,0.7935196768726968,0.0007504716848300526,0.001963041498748221,0.005221030061291284,0.0023912318725812978,0.053675466699999494,0.004761062719102857
1,800,CountSketch,11.27451273880506,0.6689398227743052,0.00018796992481203006,0.0008406270592104471,0.003699395953717747,0.0012638233658033775,0.02697007925000037,0.0019187729194477135
1,1000,Non-random,19.656130189584317,0.9423432233934114,0.0,0.0,0.002293809738533748,0.0010656789208682669,0.3434581623999996,0.012822511230856284
1,1000,Random Projection,11.46727203113974,0.8443560814596247,0.0,0.0,0.0023423005268436436,0.0010963259841357841,0.02845800625000088,0.00211443701546831
1,1000,Random Sampling,14.484137850955443,0.9563893607443128,0.0,0.0,0.00286665602289574,0.0014390404026106284,0.06073326444999978,0.0027720641931129053
1,1000,CountSketch,11.607141363391364,0.866462498152554,0.0,0.0,0.0023391190902095674,0.0010900562810803923,0.030240797999998747,0.0026173568963841565
1,1200,Non-random,21.89659560551346,0.8457476418457928,0.0,0.0,0.0022148123543541893,0.0011045939505688513,0.4805217145499988,0.01751070696728812
1,1200,Random Projection,12.728902506478194,0.6944353576919163,0.000125,0.0005590169943749476,0.002363349203246121,0.001141232650045029,0.03056121240000138,0.0021734808102330952
1,1200,Random Sampling,16.09405533543566,0.7810772984526957,0.000125,0.0005590169943749476,0.0025905237051453965,0.0010184118990248386,0.06722579794999817,0.004102094943071405
1,1200,CountSketch,12.777688223762668,0.6396201027672092,0.0,0.0,0.002317215702486592,0.001136456916856018,0.03269542489999751,0.006248301712629326
2,200,Non-random,9.136808859726711,0.48147705779817457,0.33693668023518775,0.3868742466940753,0.05632393903465779,0.034715294342086124,0.03388815824999867,0.0013886423642380935
2,200,Random Projection,8.074856574801936,0.5290482957570262,0.5995101763907734,0.47452830556107994,0.09847056743471853,0.03836863872097615,0.016134885400000343,0.001990752655873572
2,200,Random Sampling,10.897722175784455,1.1016456024378105,0.8727720488466757,0.44234848618362094,0.10223710775836263,0.04775960282440859,0.026846293650000776,0.002259013688151863
2,200,CountSketch,8.156582582625783,0.46060366471666897,0.47662844866576204,0.42189100271307817,0.09200177316447841,0.036008918220631264,0.016394131250001463,0.001441882130184697
2,400,Non-random,13.248074592223361,0.7386213111586322,0.03496094714397935,0.10564616318937137,0.014645638911411196,0.01553805579191521,0.07990729585000053,0.0035947634515047606
2,400,Random Projection,10.443945459354827,1.2381840921256182,0.19260568398608463,0.4328865809652919,0.06037180656764203,0.043766525852656155,0.02131906050000012,0.004934202492643892
2,400,Random Sampling,12.185576221866597,2.3921536368974086,0.2487354673998429,0.41551962534117237,0.05253148003413623,0.039631004775979944,0.04040388124999979,0.009419114090142996
2,400,CountSketch,10.174765833256426,0.7631782227775026,0.11983983279093255,0.23464662570856773,0.06410852077542817,0.03449307332726818,0.02176867285000057,0.004064128478376645
2,600,Non-random,16.378018519314384,0.585324957371486,0.0018333333333333333,0.0074515982037059465,0.006759051824521148,0.003998915644701176,0.17956210835000092,0.002743388138345351
2,600,Random Projection,11.454229613160305,0.9770713988309868,0.027000000000000003,0.08283641315888345,0.02979676736885082,0.02452715882204659,0.023183199949999532,0.005124675757620908
2,600,Random Sampling,12.861290674127355,2.331359962224404,0.08275,0.31552947935047415,0.024377494494059286,0.04063255782310122,0.05629757094999803,0.011438662939503762
2,600,CountSketch,11.477594691399442,1.0343972486332722,0.01925,0.05485353970997177,0.03024463681541707,0.023002718654717497,0.023406666750000228,0.0031479527362063406
2,800,Non-random,18.902467904721618,0.8847070507818944,0.002128291233702233,0.006135278015131953,0.005198019643623198,0.00308044202146647,0.2660248000000003,0.007004853520771535
2,800,Random Projection,12.282697011947846,1.543194343036339,0.0233745635155304,0.07282841794128231,0.02073745112680964,0.020876895378881398,0.028445268650001763,0.007938686908973359
2,800,Random Sampling,14.652408062940225,2.4885998562429195,0.026955140660640364,0.08201032751486008,0.013587764520379176,0.01647416525911975,0.06654336040000075,0.019630132759300277
2,800,CountSketch,12.639399092340827,1.6387139770974861,0.029761309875813123,0.07788171875239222,0.02342283984921934,0.025545650282670484,0.029894672900000075,0.006460949633762868
2,1000,Non-random,20.766716509790616,1.113732045938542,0.0,0.0,0.003359883262581906,0.0018453620545271856,0.34310897085000247,0.012270765995327369
2,1000,Random Projection,12.424820737256626,1.0960256578241947,0.00039940119760479046,0.001389168712384843,0.009731569136189246,0.009094443543335455,0.029119922850001957,0.0028062691901138952
2,1000,Random Sampling,14.900693621357647,1.1463353974707815,0.001698804193414972,0.0047292683061076835,0.005964746050525736,0.0046804603112949915,0.07067001240000508,0.007020550135497785
2,1000,CountSketch,12.551004523701966,0.9846223926279544,0.0004994011976047904,0.0015705915702034917,0.008995851526521298,0.009374824226207583,0.030518574849998002,0.002832852670972346
2,1200,Non-random,22.6480175767771,1.1553368887589845,0.00025,0.0011180339887498952,0.0033604776249851268,0.0021084205463445306,0.48007602910000313,0.02089166212398119
2,1200,Random Projection,12.7948197383991,1.1066208646271698,0.00025,0.0011180339887498952,0.0050907876025593725,0.0033086820169364803,0.02963675410000093,0.0016463874125265776
2,1200,Random Sampling,15.88031681550304,1.3179876146356067,0.00025,0.0011180339887498952,0.004929941979642226,0.0031661640504067135,0.07639829794999856,0.0052754737179942
