model,n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
4,200,Non-random,6.04909138907397,0.367732845466217,0.749638172772501,0.342867677165617,0.486091334463903,0.0444558379853591,0.00263852916666667,0.00221607349586005
4,200,Random Projection,5.73961552822208,0.446667492939963,0.797467209407508,0.360292249213552,0.486298710153587,0.0419967383634427,0.0029212375,0.00568159940579671
4,200,Random Sampling,6.76803858161401,0.856146963007805,0.999219810040706,0.37698805278506,0.486048271347433,0.044331496244207,0.00364262083333333,0.00332985175819046
4,400,Non-random,8.6778195216695,0.425969219141361,0.364900123442936,0.177066658685845,0.483924132876786,0.0295367371040742,0.00324094166666667,0.000386810730450333
4,400,Random Projection,7.71569594745114,0.522959583357415,0.390349006845472,0.196247578076059,0.484695050562664,0.0296389340765458,0.00274178333333333,0.000501178192746355
4,400,Random Sampling,8.58853909300881,1.20830594009346,0.547421725956683,0.236992121272141,0.486542622762899,0.0313287766621377,0.00494013958333333,0.000790345085758379
4,600,Non-random,10.4873527597292,0.45527015589491,0.2225,0.0994259841077244,0.477746766433957,0.0390704538390509,0.00485617291666667,0.00043537975506161
4,600,Random Projection,8.96864717156901,0.495887085324214,0.224,0.0944318189015367,0.478190699387398,0.0384001811420119,0.00378270833333333,0.000388257190317621
4,600,Random Sampling,9.86601961505273,0.655810801140524,0.354,0.128581327939701,0.479346550852862,0.0403918657934583,0.007759275,0.000619053600334995
4,800,Non-random,12.3426664083679,0.742957143271639,0.15656486722424,0.0966799283743486,0.482262845596207,0.032442396334661,0.00578446041666667,0.000937145004082072
4,800,Random Projection,9.90219316595634,0.707577161141387,0.164060431978823,0.107328889711325,0.482823185806914,0.032602134401353,0.00480870208333333,0.00091481290241876
4,800,Random Sampling,11.1212345317508,0.985707431777942,0.277145813973135,0.138254883553015,0.483840960919353,0.031466009617059,0.0109184895833333,0.00132872165368882
4,1000,Non-random,13.3752766675665,0.70943056345461,0.0687085288881696,0.0569451417595292,0.484735283359902,0.0304751028720719,0.00711072708333334,0.000905079257546325
4,1000,Random Projection,9.9978155238388,0.90377842482268,0.0705076333818849,0.0582720049843642,0.48538644676878,0.0305448764059797,0.00531183125,0.000435979042194696
4,1000,Random Sampling,11.588393246297,0.808242796385062,0.138760766754779,0.0925223161273994,0.486074278703202,0.0307498077000078,0.0156479416666667,0.00227761419597228
4,1200,Non-random,15.0574179294355,0.888023410959914,0.05975,0.0523519214949225,0.475661796900535,0.0383808931332398,0.00861938333333333,0.00124198827274141
4,1200,Random Projection,11.0028440964125,0.832485231002424,0.062,0.0555214515205372,0.476210522580639,0.0382462482424174,0.00693436666666667,0.000481772808336397
4,1200,Random Sampling,12.9777220827711,0.893775907954382,0.131,0.0808605036629848,0.477455096200275,0.0384535811311267,0.019571875,0.000864696825990007
5,200,Non-random,5.73324869887787,0.436711888563045,1.03789009497965,0.310836463836851,0.496899879072511,0.0475063562907486,0.00198492083333333,0.000342955704568466
5,200,Random Projection,5.50203876814941,0.498598622596363,1.06249434644957,0.324883396884402,0.499390097520831,0.045220530709597,0.00161637291666667,0.000307876814265453
5,200,Random Sampling,6.67083198771427,0.732150593383549,1.3178539122569,0.270950716437837,0.496784380837877,0.0475335507907684,0.00257521666666667,0.000329043670002943
5,400,Non-random,8.22094020885631,0.527702552088697,0.537728649983167,0.149916301489469,0.486783733531541,0.0313340433088383,0.0033610375,0.000345073882328627
5,400,Random Projection,7.36402870059776,0.47913672518224,0.572584446190102,0.176991547608505,0.489892869419912,0.0299388406401106,0.00280807083333333,0.00040449441429416
5,400,Random Sampling,8.37335415118398,0.895635538894839,0.727118168555718,0.17428996345771,0.491651666513871,0.0316145241405212,0.00501038125,0.000505311954425814
5,600,Non-random,9.90281910983091,0.523980918547353,0.325,0.136101742128917,0.498677121370816,0.0249621989842972,0.00494539791666667,0.000798143455296731
5,600,Random Projection,8.54102404520497,0.599397293912506,0.3395,0.150550743325264,0.499547253045389,0.0250886017418324,0.00386029166666667,0.000624300050015079
5,600,Random Sampling,9.33968815107298,0.850691292175072,0.50325,0.163620830934785,0.49962797524682,0.0248217326070411,0.00768033541666667,0.000753462932115566
5,800,Non-random,11.5086557694983,0.781193449969166,0.237011066993326,0.110989610325772,0.483881224445623,0.0393713615055425,0.00599444583333333,0.000739306127948611
5,800,Random Projection,9.50449329137081,0.608668772233419,0.246571484892005,0.123186144295343,0.484392727803819,0.039390496384171,0.00487546666666667,0.000693094127906801
5,800,Random Sampling,10.3619241177225,1.08190504871422,0.372235363690124,0.142176896981041,0.48477640378179,0.038764850969158,0.0116475208333333,0.00118589808245482
5,1000,Non-random,12.8894756754496,0.785746167723227,0.194699789609969,0.0867045878751592,0.490922947630586,0.0328150767762686,0.00763225,0.000796236341079245
5,1000,Random Projection,10.123832521132,0.77510202769683,0.199202046357735,0.0924383980593006,0.491260240782656,0.0329516159615993,0.00576435208333333,0.000708693217332398
5,1000,Random Sampling,11.3799816281191,0.977394636938412,0.306903310496125,0.10861924793317,0.491378463822302,0.0327141179278031,0.0154685916666667,0.00120711984677923
5,1200,Non-random,14.3048726371338,0.700286693212853,0.204875,0.0785454737548156,0.482604621059128,0.0347421733844205,0.00945858541666667,0.00096184483791754
5,1200,Random Projection,10.6391199980337,0.823804613426768,0.208875,0.0834395266361403,0.48285075470373,0.0350830365236721,0.007521875,0.000604538591359545
5,1200,Random Sampling,12.6200628981692,0.88872928125764,0.3115,0.102960774339705,0.483441235801657,0.0341734124882913,0.0207912458333333,0.00143574376170934
6,200,Non-random,7.51577596365788,0.292242824390511,1.79393939393939,0.0843441786228359,0.886780861119609,0.0430430531202931,0.00228566041666667,0.000293996858845094
6,200,Random Projection,7.06292049324283,0.36245768246882,1.7993328810493,0.0793018833750414,0.891228711641532,0.0398810481467343,0.00170411458333333,0.000419985768406848
6,200,Random Sampling,9.73408089410055,0.581786821448987,1.80819764812302,0.0808065725699031,0.91276533395742,0.0247030605437548,0.00258251666666667,0.000296429781854279
6,400,Non-random,10.7683545600449,0.261500654408507,1.70901975086971,0.076952347366696,0.902519462858553,0.029665428946837,0.00423703541666667,0.000552921878945772
6,400,Random Projection,9.41247606247483,0.345748849739318,1.7782039052856,0.0630544732946673,0.889704889051487,0.0358711511447295,0.0032163625,0.000622765652219247
6,400,Random Sampling,14.158980751216,0.751993363397117,1.78144708786893,0.0732212739476956,0.912089196481831,0.0188905988318015,0.0055347,0.000553778759599294
6,600,Non-random,13.0236412937609,0.196839171839763,1.62975,0.061419073841755,0.923285090490194,0.0133426385905571,0.00809108125,0.00114510910585177
6,600,Random Projection,10.6873714583364,0.49588923863765,1.72725,0.0652822817906166,0.91106415029381,0.023075288481418,0.00570068541666667,0.000747005836490284
6,600,Random Sampling,16.6787846789134,0.890767219350082,1.766,0.0682410587935384,0.917190435348185,0.0119223269067644,0.010885225,0.000891525782278806
6,800,Non-random,15.1229974515416,0.263047131999664,1.57618343611839,0.066436158417066,0.927132574769873,0.00974161097912582,0.0101067041666667,0.000983496421754819
6,800,Random Projection,11.9338750103606,0.594401976107034,1.67761186674552,0.0838307567498379,0.910671947632507,0.0161962558736628,0.00840918958333334,0.00125770607307184
6,800,Random Sampling,18.2776919854903,0.711216586345387,1.71506997831658,0.0671901689828545,0.919480836844656,0.00875958441093391,0.0149919208333333,0.000975709527490543
6,1000,Non-random,16.8654984693761,0.235486709392287,1.47971219722717,0.0585988027636539,0.920537502313502,0.00665018336159279,0.01338816875,0.0016400833177601
6,1000,Random Projection,12.7713142624894,0.59231250931209,1.63333468198738,0.0813840037958811,0.925312515796786,0.00959627659572628,0.0109309791666667,0.00128992465967972
6,1000,Random Sampling,19.5944682986338,0.417795329818408,1.65423612234989,0.043132028538901,0.92375780927538,0.0089878158305374,0.0213983,0.00216469210230242
6,1200,Non-random,18.6371046077744,0.245748955836904,1.419625,0.0603240972624234,0.918642331060374,0.00932280829336319,0.01602818125,0.00201716785979132
6,1200,Random Projection,13.6548284230321,0.539534751602522,1.56275,0.0775441300503343,0.930038744118693,0.00883346426849414,0.01297473125,0.00149754052322153
6,1200,Random Sampling,20.8722511579887,0.520582129038765,1.582125,0.0433640874335823,0.924910837549735,0.00562214802059464,0.0263551375,0.00207206233201774
