rep,method_i,method_j,ari
1,Random Projection,CountSketch,0.7659682080023534
1,Random Projection,SIGN Bidirectional,0.7664255594075838
1,Random Projection,Random Sampling (p=0.7),0.7233988752851966
1,Random Projection,Random Sampling (p=0.8),0.70078422516243
1,Random Projection,Non-random,0.7929629394796588
1,CountSketch,SIGN Bidirectional,0.8357149704321335
1,CountSketch,Random Sampling (p=0.7),0.7964150732868378
1,CountSketch,Random Sampling (p=0.8),0.768440198877082
1,CountSketch,Non-random,0.7877692871948351
1,SIGN Bidirectional,Random Sampling (p=0.7),0.793743791155197
1,SIGN Bidirectional,Random Sampling (p=0.8),0.7525924008213529
1,SIGN Bidirectional,Non-random,0.7960876818349591
1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7833230936215112
1,Random Sampling (p=0.7),Non-random,0.7453850458372799
1,Random Sampling (p=0.8),Non-random,0.7619108640456917
2,Random Projection,CountSketch,0.833707556147762
2,Random Projection,SIGN Bidirectional,0.8700482919137972
2,Random Projection,Random Sampling (p=0.7),0.7853443215918299
2,Random Projection,Random Sampling (p=0.8),0.7345048905203321
2,Random Projection,Non-random,0.8329764667120784
2,CountSketch,SIGN Bidirectional,0.8321274388482556
2,CountSketch,Random Sampling (p=0.7),0.7461043938502893
2,CountSketch,Random Sampling (p=0.8),0.73872847500005
2,CountSketch,Non-random,0.8020904688818954
2,SIGN Bidirectional,Random Sampling (p=0.7),0.7629003903068476
2,SIGN Bidirectional,Random Sampling (p=0.8),0.7243032268429702
2,SIGN Bidirectional,Non-random,0.8004256285431802
2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.6939063829144737
2,Random Sampling (p=0.7),Non-random,0.7789737701160223
2,Random Sampling (p=0.8),Non-random,0.7453947365648678
3,Random Projection,CountSketch,0.7794548566787854
3,Random Projection,SIGN Bidirectional,0.8600797103509168
3,Random Projection,Random Sampling (p=0.7),0.7606075905740454
3,Random Projection,Random Sampling (p=0.8),0.7571135875191958
3,Random Projection,Non-random,0.7211924505792241
3,CountSketch,SIGN Bidirectional,0.7697444770631895
3,CountSketch,Random Sampling (p=0.7),0.6797414809664211
3,CountSketch,Random Sampling (p=0.8),0.6963873390512739
3,CountSketch,Non-random,0.732366438077444
3,SIGN Bidirectional,Random Sampling (p=0.7),0.7697155725425742
3,SIGN Bidirectional,Random Sampling (p=0.8),0.780988016003443
3,SIGN Bidirectional,Non-random,0.7449084057955939
3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7758719259645306
3,Random Sampling (p=0.7),Non-random,0.6989282736008707
3,Random Sampling (p=0.8),Non-random,0.7421927209283223
4,Random Projection,CountSketch,0.785348433579918
4,Random Projection,SIGN Bidirectional,0.8145537695276216
4,Random Projection,Random Sampling (p=0.7),0.7116019281406581
4,Random Projection,Random Sampling (p=0.8),0.759149897178538
4,Random Projection,Non-random,0.8207053472366328
4,CountSketch,SIGN Bidirectional,0.7976052664672251
4,CountSketch,Random Sampling (p=0.7),0.752663448079593
4,CountSketch,Random Sampling (p=0.8),0.808924792598253
4,CountSketch,Non-random,0.8035298830139634
4,SIGN Bidirectional,Random Sampling (p=0.7),0.7774273074124542
4,SIGN Bidirectional,Random Sampling (p=0.8),0.8067471095674218
4,SIGN Bidirectional,Non-random,0.8394013204924266
4,Random Sampling (p=0.7),Random Sampling (p=0.8),0.789324780632708
4,Random Sampling (p=0.7),Non-random,0.7458137336976889
4,Random Sampling (p=0.8),Non-random,0.7900169406993323
5,Random Projection,CountSketch,0.7944867023039718
5,Random Projection,SIGN Bidirectional,0.7905287269595563
5,Random Projection,Random Sampling (p=0.7),0.7444285815407198
5,Random Projection,Random Sampling (p=0.8),0.7246321984319299
5,Random Projection,Non-random,0.7910997168322728
5,CountSketch,SIGN Bidirectional,0.8535691761786451
5,CountSketch,Random Sampling (p=0.7),0.7492507480213458
5,CountSketch,Random Sampling (p=0.8),0.748724127725068
5,CountSketch,Non-random,0.8443597709663804
5,SIGN Bidirectional,Random Sampling (p=0.7),0.7014681933793824
5,SIGN Bidirectional,Random Sampling (p=0.8),0.7351211296847315
5,SIGN Bidirectional,Non-random,0.8186909642207336
5,Random Sampling (p=0.7),Random Sampling (p=0.8),0.6848037959777514
5,Random Sampling (p=0.7),Non-random,0.7482656277007496
5,Random Sampling (p=0.8),Non-random,0.7889045110689119
6,Random Projection,CountSketch,0.7799804314598688
6,Random Projection,SIGN Bidirectional,0.8025344395906354
6,Random Projection,Random Sampling (p=0.7),0.7643194357331935
6,Random Projection,Random Sampling (p=0.8),0.7569256828512132
6,Random Projection,Non-random,0.7525828702356577
6,CountSketch,SIGN Bidirectional,0.8120235759881459
6,CountSketch,Random Sampling (p=0.7),0.7248429910176104
6,CountSketch,Random Sampling (p=0.8),0.774357448252285
6,CountSketch,Non-random,0.7814697580909716
6,SIGN Bidirectional,Random Sampling (p=0.7),0.7922228190256336
6,SIGN Bidirectional,Random Sampling (p=0.8),0.825453454896845
6,SIGN Bidirectional,Non-random,0.8101057725627743
6,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7768512175940708
6,Random Sampling (p=0.7),Non-random,0.7679772045738793
6,Random Sampling (p=0.8),Non-random,0.8064520740229221
7,Random Projection,CountSketch,0.7287969652378038
7,Random Projection,SIGN Bidirectional,0.7506289812826793
7,Random Projection,Random Sampling (p=0.7),0.7575862525940387
7,Random Projection,Random Sampling (p=0.8),0.7225848947966704
7,Random Projection,Non-random,0.7391173633063063
7,CountSketch,SIGN Bidirectional,0.7453952138093959
7,CountSketch,Random Sampling (p=0.7),0.7089578032238287
7,CountSketch,Random Sampling (p=0.8),0.6959505454354352
7,CountSketch,Non-random,0.7493236372953399
7,SIGN Bidirectional,Random Sampling (p=0.7),0.8095878852968632
7,SIGN Bidirectional,Random Sampling (p=0.8),0.7922848500576343
7,SIGN Bidirectional,Non-random,0.7875931334797407
7,Random Sampling (p=0.7),Random Sampling (p=0.8),0.7700844146449652
7,Random Sampling (p=0.7),Non-random,0.7664261714879078
7,Random Sampling (p=0.8),Non-random,0.8145669194560086
8,Random Projection,CountSketch,0.7193090174712765
8,Random Projection,SIGN Bidirectional,0.684034602265843
8,Random Projection,Random Sampling (p=0.7),0.6342703316166917
8,Random Projection,Random Sampling (p=0.8),0.6719174733994505
8,Random Projection,Non-random,0.6569043869356762
8,CountSketch,SIGN Bidirectional,0.6814671244345301
8,CountSketch,Random Sampling (p=0.7),0.6816800359107884
8,CountSketch,Random Sampling (p=0.8),0.7190519727823909
8,CountSketch,Non-random,0.6527540870551908
8,SIGN Bidirectional,Random Sampling (p=0.7),0.6777434731089561
8,SIGN Bidirectional,Random Sampling (p=0.8),0.7173853581981849
8,SIGN Bidirectional,Non-random,0.7305175057942234
8,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8074541039338744
8,Random Sampling (p=0.7),Non-random,0.6019682780108764
8,Random Sampling (p=0.8),Non-random,0.6481345446366231
9,Random Projection,CountSketch,0.7886463529812513
9,Random Projection,SIGN Bidirectional,0.8431211748416487
9,Random Projection,Random Sampling (p=0.7),0.7620922245825422
9,Random Projection,Random Sampling (p=0.8),0.6565000908567752
9,Random Projection,Non-random,0.8374302958638024
9,CountSketch,SIGN Bidirectional,0.8248019677979578
9,CountSketch,Random Sampling (p=0.7),0.7719842089963198
9,CountSketch,Random Sampling (p=0.8),0.6838846844204279
9,CountSketch,Non-random,0.7751651613506809
9,SIGN Bidirectional,Random Sampling (p=0.7),0.7811618893634373
9,SIGN Bidirectional,Random Sampling (p=0.8),0.6649923696355794
9,SIGN Bidirectional,Non-random,0.8024901236130293
9,Random Sampling (p=0.7),Random Sampling (p=0.8),0.6743099378729345
9,Random Sampling (p=0.7),Non-random,0.8148225687323313
9,Random Sampling (p=0.8),Non-random,0.6963254146791414
10,Random Projection,CountSketch,0.8135603213881485
10,Random Projection,SIGN Bidirectional,0.7487075293699725
