dataset,rep,method_i,method_j,ari
political_blog,1,Non-random,Random Projection,1.0
political_blog,1,Non-random,CountSketch,1.0
political_blog,1,Non-random,SIGN Bidirectional,1.0
political_blog,1,Non-random,Random Sampling (p=0.7),0.9259306606016837
political_blog,1,Non-random,Random Sampling (p=0.8),0.9426829595289556
political_blog,1,Random Projection,CountSketch,1.0
political_blog,1,Random Projection,SIGN Bidirectional,1.0
political_blog,1,Random Projection,Random Sampling (p=0.7),0.9259306606016837
political_blog,1,Random Projection,Random Sampling (p=0.8),0.9426829595289556
political_blog,1,CountSketch,SIGN Bidirectional,1.0
political_blog,1,CountSketch,Random Sampling (p=0.7),0.9259306606016837
political_blog,1,CountSketch,Random Sampling (p=0.8),0.9426829595289556
political_blog,1,SIGN Bidirectional,Random Sampling (p=0.7),0.9259306606016837
political_blog,1,SIGN Bidirectional,Random Sampling (p=0.8),0.9426829595289556
political_blog,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9077204125655306
political_blog,2,Non-random,Random Projection,1.0
political_blog,2,Non-random,CountSketch,1.0
political_blog,2,Non-random,SIGN Bidirectional,1.0
political_blog,2,Non-random,Random Sampling (p=0.7),0.9286778957642797
political_blog,2,Non-random,Random Sampling (p=0.8),0.956271149084335
political_blog,2,Random Projection,CountSketch,1.0
political_blog,2,Random Projection,SIGN Bidirectional,1.0
political_blog,2,Random Projection,Random Sampling (p=0.7),0.9286778957642797
political_blog,2,Random Projection,Random Sampling (p=0.8),0.956271149084335
political_blog,2,CountSketch,SIGN Bidirectional,1.0
political_blog,2,CountSketch,Random Sampling (p=0.7),0.9286778957642797
political_blog,2,CountSketch,Random Sampling (p=0.8),0.956271149084335
political_blog,2,SIGN Bidirectional,Random Sampling (p=0.7),0.9286778957642797
political_blog,2,SIGN Bidirectional,Random Sampling (p=0.8),0.956271149084335
political_blog,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9324030131528728
political_blog,3,Non-random,Random Projection,1.0
political_blog,3,Non-random,CountSketch,1.0
political_blog,3,Non-random,SIGN Bidirectional,1.0
political_blog,3,Non-random,Random Sampling (p=0.7),0.9244488938015291
political_blog,3,Non-random,Random Sampling (p=0.8),0.9222123122640715
political_blog,3,Random Projection,CountSketch,1.0
political_blog,3,Random Projection,SIGN Bidirectional,1.0
political_blog,3,Random Projection,Random Sampling (p=0.7),0.9244488938015291
political_blog,3,Random Projection,Random Sampling (p=0.8),0.9222123122640715
political_blog,3,CountSketch,SIGN Bidirectional,1.0
political_blog,3,CountSketch,Random Sampling (p=0.7),0.9244488938015291
political_blog,3,CountSketch,Random Sampling (p=0.8),0.9222123122640715
political_blog,3,SIGN Bidirectional,Random Sampling (p=0.7),0.9244488938015291
political_blog,3,SIGN Bidirectional,Random Sampling (p=0.8),0.9222123122640715
