dataset,method,F1_mean,F1_std,NMI_mean,NMI_std,ARI_mean,ARI_std,time_rand_mean,time_rand_std,time_post_mean,time_post_std,time_total_mean,time_total_std
political_blog,CountSketch,0.5755254721757882,0.0,0.17839431561825164,0.0,0.07990011061571049,0.0,5.9452249115565794e-05,6.120948314065009e-05,0.262125077102246,0.07212119984306906,0.26218452935136155,0.07211151599592001
political_blog,Non-random,0.5755254721757882,0.0,0.17839431561825164,0.0,0.07990011061571049,0.0,0.0,0.0,0.30943099389987766,0.10741915209522206,0.30943142089890896,0.1074192204688166
political_blog,Random Projection,0.5755254721757882,0.0,0.17839431561825164,0.0,0.07990011061571049,0.0,,,,,0.2516530082990357,0.09682807018970291
political_blog,Random Sampling (p=0.7),0.5715865012846644,0.00865516003177672,0.17797235105975862,0.007260959626365733,0.0774107458243251,0.006111851210300359,0.001116808450751705,0.00031742771612067134,0.3200047855003504,0.07873155247682226,0.32113339400239055,0.07870830200020634
political_blog,Random Sampling (p=0.8),0.5717945311691585,0.004416559656240661,0.1777038358965654,0.005176318583440152,0.07742200110329839,0.0031049545677910226,0.001268025099125225,0.00040769788089010993,0.2842369124511606,0.10022849143137345,0.28552657079999333,0.10012486901877755
political_blog,SIGN Bidirectional,0.5755903363335934,0.00029008133231113226,0.17844936405922288,0.0002461841121341075,0.07994701125171091,0.00020974602056987295,6.898335050209425e-05,2.108334630032734e-05,0.28601394800134583,0.09961237999323784,0.2860829313518479,0.09961396598390047
statisticians_citation,CountSketch,0.98401685054942,0.005378298179052608,0.9350490115542517,0.018277061457832505,0.972405328887282,0.009048623056514897,6.178115072543732e-05,1.7103088940544114e-05,0.4011558978512767,0.21909136404890153,0.4012176790020021,0.21909680474535956
statisticians_citation,Random Projection,0.984449691898479,0.00507267934467797,0.9361238526613299,0.020698693695641535,0.9729263968504446,0.010687410312675144,,,,,0.4344059978997393,0.21596964781016498
statisticians_citation,Random Sampling (p=0.7),0.9372469051671748,0.009617191828525596,0.797049837468568,0.024397690636946526,0.8993868702300766,0.015740719731652572,0.0014318626002932434,0.00041752842204386667,0.5282980145995679,0.2499034462449357,0.5297454500978347,0.2499316768723344
statisticians_citation,Random Sampling (p=0.8),0.949540827583155,0.011199988424171047,0.8303951509930165,0.024783176525761993,0.9173127046049301,0.013862288569843598,0.001417656199191697,0.0003340545570538731,0.4952247981040273,0.19912925649119553,0.49667200415206025,0.19928719927927505
statisticians_citation,SIGN Bidirectional,0.9712844238517435,0.014365989360126192,0.896046044766228,0.03761654048476958,0.9528972504054674,0.02099703126215567,0.0001725604000966996,5.2292654541301734e-05,0.4024551665970648,0.18986817764786493,0.40262772699716154,0.1898646008386959
statisticians_coauthor,CountSketch,0.9984736502765618,0.006826043478091597,0.9957634413553802,0.01894646624006846,0.9974669415671551,0.011328181693640924,5.302704958012328e-05,1.5076635648098642e-05,0.2662558814008662,0.08169653748853274,0.2663089084504463,0.08169199953577896
statisticians_coauthor,Random Projection,1.0,0.0,1.0,0.0,1.0,0.0,,,,,0.31443108534949715,0.13742187064755176
statisticians_coauthor,Random Sampling (p=0.7),0.8731204372262731,0.20471309150239556,0.7860140667115418,0.1895743345155666,0.8346139365369567,0.19763869575405274,0.0007117374996596481,0.0007862034971408782,0.3439415540502523,0.12407796482481015,0.3446904103991983,0.12404550646490799
statisticians_coauthor,Random Sampling (p=0.8),0.9688380963324688,0.023385065540422235,0.913973739179888,0.055423568943796256,0.9482929122696419,0.03826517988746513,0.0005823063482239376,0.00018021918324323834,0.3420257917015988,0.08460967934274315,0.3426577478006948,0.08462433278786585
statisticians_coauthor,SIGN Bidirectional,0.9980194637430209,0.007018625884750606,0.9941224463478505,0.01995469179355306,0.9966718381463332,0.011693220174910502,0.0004437499519553967,0.0012289936538957978,0.34802283964963865,0.10799546088389643,0.34846658960159405,0.1078968696595791
