dataset,rep,method_i,method_j,ari
political_blog,1,Non-random,Random Projection,0.0031079841094049858
political_blog,1,Non-random,CountSketch,-0.006918366897537344
political_blog,1,Non-random,SIGN Bidirectional,-0.008389757970775959
political_blog,1,Non-random,Random Sampling (p=0.7),0.9146439986557556
political_blog,1,Non-random,Random Sampling (p=0.8),0.9672140357603926
political_blog,1,Random Projection,CountSketch,0.9279643985760804
political_blog,1,Random Projection,SIGN Bidirectional,0.9286244505460334
political_blog,1,Random Projection,Random Sampling (p=0.7),-0.006260084902429471
political_blog,1,Random Projection,Random Sampling (p=0.8),0.0023926227696820608
political_blog,1,CountSketch,SIGN Bidirectional,0.9428053352890327
political_blog,1,CountSketch,Random Sampling (p=0.7),-0.01630722860729244
political_blog,1,CountSketch,Random Sampling (p=0.8),-0.007568126772556137
political_blog,1,SIGN Bidirectional,Random Sampling (p=0.7),-0.017650221697621146
political_blog,1,SIGN Bidirectional,Random Sampling (p=0.8),-0.009038146551928089
political_blog,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.921457612869861
political_blog,2,Non-random,Random Projection,-0.006918366897537344
political_blog,2,Non-random,CountSketch,-0.009824138181496649
political_blog,2,Non-random,SIGN Bidirectional,-0.007658755772997593
political_blog,2,Non-random,Random Sampling (p=0.7),0.9153168447076566
political_blog,2,Non-random,Random Sampling (p=0.8),0.9287856761693013
political_blog,2,Random Projection,CountSketch,0.9433226830968896
political_blog,2,Random Projection,SIGN Bidirectional,0.978364638186652
political_blog,2,Random Projection,Random Sampling (p=0.7),-0.007568126772556137
political_blog,2,Random Projection,Random Sampling (p=0.8),-0.008842579806560865
political_blog,2,CountSketch,SIGN Bidirectional,0.9365743946212328
political_blog,2,CountSketch,Random Sampling (p=0.7),-0.01047132329658029
political_blog,2,CountSketch,Random Sampling (p=0.8),-0.011741039562105978
political_blog,2,SIGN Bidirectional,Random Sampling (p=0.7),-0.008307808208436568
political_blog,2,SIGN Bidirectional,Random Sampling (p=0.8),-0.00958095336391846
political_blog,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8845867332597381
political_blog,3,Non-random,Random Projection,-0.009824138181496649
political_blog,3,Non-random,CountSketch,-0.036725825760162735
political_blog,3,Non-random,SIGN Bidirectional,-5.292096583456398e-05
political_blog,3,Non-random,Random Sampling (p=0.7),0.9208292353294097
political_blog,3,Non-random,Random Sampling (p=0.8),0.932835413576845
political_blog,3,Random Projection,CountSketch,0.9292700699273374
political_blog,3,Random Projection,SIGN Bidirectional,0.9581686898012833
political_blog,3,Random Projection,Random Sampling (p=0.7),0.0013941720960463525
political_blog,3,Random Projection,Random Sampling (p=0.8),-0.0057607476047995395
political_blog,3,CountSketch,SIGN Bidirectional,0.9292700699273374
political_blog,3,CountSketch,Random Sampling (p=0.7),-0.03579776120347846
political_blog,3,CountSketch,Random Sampling (p=0.8),-0.03385954227618949
political_blog,3,SIGN Bidirectional,Random Sampling (p=0.7),0.011337751314879024
political_blog,3,SIGN Bidirectional,Random Sampling (p=0.8),0.004400470039929258
political_blog,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8788948787260129
political_blog,4,Non-random,Random Projection,-0.03560795041068084
political_blog,4,Non-random,CountSketch,-0.00911150812020208
political_blog,4,Non-random,SIGN Bidirectional,0.022616129062592975
political_blog,4,Non-random,Random Sampling (p=0.7),0.9270745373533554
political_blog,4,Non-random,Random Sampling (p=0.8),0.9317108917469876
political_blog,4,Random Projection,CountSketch,0.9211951076106581
political_blog,4,Random Projection,SIGN Bidirectional,0.7536400240612823
political_blog,4,Random Projection,Random Sampling (p=0.7),-0.034214109416368176
political_blog,4,Random Projection,Random Sampling (p=0.8),-0.030715777923547478
political_blog,4,CountSketch,SIGN Bidirectional,0.7981788102384229
political_blog,4,CountSketch,Random Sampling (p=0.7),-0.017100296285370218
political_blog,4,CountSketch,Random Sampling (p=0.8),-0.01260794549274153
political_blog,4,SIGN Bidirectional,Random Sampling (p=0.7),0.013161858460732551
political_blog,4,SIGN Bidirectional,Random Sampling (p=0.8),0.01840860097641688
political_blog,4,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8830720615425461
political_blog,5,Non-random,Random Projection,-0.03445859280281717
political_blog,5,Non-random,CountSketch,-0.025587244971858533
political_blog,5,Non-random,SIGN Bidirectional,-0.03445859280281717
political_blog,5,Non-random,Random Sampling (p=0.7),0.9146439986557556
political_blog,5,Non-random,Random Sampling (p=0.8),0.9344393207276347
political_blog,5,Random Projection,CountSketch,0.9553856518914391
political_blog,5,Random Projection,SIGN Bidirectional,0.9549471413705193
political_blog,5,Random Projection,Random Sampling (p=0.7),-0.03400343508902679
political_blog,5,Random Projection,Random Sampling (p=0.8),-0.03445859280281717
political_blog,5,CountSketch,SIGN Bidirectional,0.925887349359134
political_blog,5,CountSketch,Random Sampling (p=0.7),-0.025062207727326567
political_blog,5,CountSketch,Random Sampling (p=0.8),-0.025587244971858533
political_blog,5,SIGN Bidirectional,Random Sampling (p=0.7),-0.03400343508902679
political_blog,5,SIGN Bidirectional,Random Sampling (p=0.8),-0.03445859280281717
political_blog,5,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9276562134054414
political_blog,6,Non-random,Random Projection,-0.026835271832321206
political_blog,6,Non-random,CountSketch,-0.020244163041182425
political_blog,6,Non-random,SIGN Bidirectional,-0.00911150812020208
political_blog,6,Non-random,Random Sampling (p=0.7),0.8980290908454704
political_blog,6,Non-random,Random Sampling (p=0.8),0.91953549547325
political_blog,6,Random Projection,CountSketch,0.9244302750027247
political_blog,6,Random Projection,SIGN Bidirectional,0.9501412167042695
political_blog,6,Random Projection,Random Sampling (p=0.7),-0.010693400533336183
political_blog,6,Random Projection,Random Sampling (p=0.8),-0.023564925549039627
political_blog,6,CountSketch,SIGN Bidirectional,0.9034599653068237
political_blog,6,CountSketch,Random Sampling (p=0.7),-0.01302951654327362
political_blog,6,CountSketch,Random Sampling (p=0.8),-0.017003960572672193
political_blog,6,SIGN Bidirectional,Random Sampling (p=0.7),0.006091629763014679
political_blog,6,SIGN Bidirectional,Random Sampling (p=0.8),-0.005043840584162692
political_blog,6,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8699965409770131
political_blog,7,Non-random,Random Projection,0.0039232328734546
political_blog,7,Non-random,CountSketch,0.012668760501568023
political_blog,7,Non-random,SIGN Bidirectional,0.016492790428568764
political_blog,7,Non-random,Random Sampling (p=0.7),0.9276562134054414
political_blog,7,Non-random,Random Sampling (p=0.8),0.9411792322754652
political_blog,7,Random Projection,CountSketch,0.9085489743457645
political_blog,7,Random Projection,SIGN Bidirectional,0.8759630402515537
political_blog,7,Random Projection,Random Sampling (p=0.7),0.00464929739717094
political_blog,7,Random Projection,Random Sampling (p=0.8),0.0032063946604784658
political_blog,7,CountSketch,SIGN Bidirectional,0.9669081837031094
political_blog,7,CountSketch,Random Sampling (p=0.7),0.013413782766781148
political_blog,7,CountSketch,Random Sampling (p=0.8),0.011933549299256972
political_blog,7,SIGN Bidirectional,Random Sampling (p=0.7),0.017247617680623446
political_blog,7,SIGN Bidirectional,Random Sampling (p=0.8),0.01574805508973946
political_blog,7,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9085186741635737
political_blog,8,Non-random,Random Projection,0.005584795926293437
political_blog,8,Non-random,CountSketch,-0.006918366897537344
political_blog,8,Non-random,SIGN Bidirectional,-0.03560795041068084
political_blog,8,Non-random,Random Sampling (p=0.7),0.9425278049550968
political_blog,8,Non-random,Random Sampling (p=0.8),0.903210319573996
political_blog,8,Random Projection,CountSketch,0.9633224193320202
political_blog,8,Random Projection,SIGN Bidirectional,0.8898222947109328
political_blog,8,Random Projection,Random Sampling (p=0.7),0.010541283939953721
political_blog,8,Random Projection,Random Sampling (p=0.8),0.0236338428699378
political_blog,8,CountSketch,SIGN Bidirectional,0.9128913086520279
political_blog,8,CountSketch,Random Sampling (p=0.7),-0.0017142616621795336
political_blog,8,CountSketch,Random Sampling (p=0.8),0.01086504268268358
political_blog,8,SIGN Bidirectional,Random Sampling (p=0.7),-0.029065365990845447
political_blog,8,SIGN Bidirectional,Random Sampling (p=0.8),-0.027119281735840738
political_blog,8,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8625585089193559
political_blog,9,Non-random,Random Projection,-0.005408876844480589
political_blog,9,Non-random,CountSketch,-0.00911150812020208
political_blog,9,Non-random,SIGN Bidirectional,0.0039232328734546
political_blog,9,Non-random,Random Sampling (p=0.7),0.90851796964899
political_blog,9,Non-random,Random Sampling (p=0.8),0.9407118746150591
political_blog,9,Random Projection,CountSketch,0.9354167847598194
political_blog,9,Random Projection,SIGN Bidirectional,0.9341961614391905
political_blog,9,Random Projection,Random Sampling (p=0.7),-0.015520887116458451
political_blog,9,Random Projection,Random Sampling (p=0.8),0.005476438228674305
political_blog,9,CountSketch,SIGN Bidirectional,0.9004066219212901
political_blog,9,CountSketch,Random Sampling (p=0.7),-0.018900895507946235
political_blog,9,CountSketch,Random Sampling (p=0.8),0.0014428748897680386
political_blog,9,SIGN Bidirectional,Random Sampling (p=0.7),-0.00616845397859419
political_blog,9,SIGN Bidirectional,Random Sampling (p=0.8),0.014853632457827793
political_blog,9,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8887499085361809
political_blog,10,Non-random,Random Projection,0.016981726848152683
political_blog,10,Non-random,CountSketch,0.002302889721336224
political_blog,10,Non-random,SIGN Bidirectional,-0.0046394924460813405
political_blog,10,Non-random,Random Sampling (p=0.7),0.9125431543402273
political_blog,10,Non-random,Random Sampling (p=0.8),0.9411792322754652
political_blog,10,Random Projection,CountSketch,0.9581718466331056
political_blog,10,Random Projection,SIGN Bidirectional,0.9152794446947307
political_blog,10,Random Projection,Random Sampling (p=0.7),0.023071418157550313
political_blog,10,Random Projection,Random Sampling (p=0.8),0.016152983165077253
political_blog,10,CountSketch,SIGN Bidirectional,0.9562308566721442
political_blog,10,CountSketch,Random Sampling (p=0.7),0.007563860363983771
political_blog,10,CountSketch,Random Sampling (p=0.8),0.0015889482845702705
political_blog,10,SIGN Bidirectional,Random Sampling (p=0.7),0.0001752285744773248
political_blog,10,SIGN Bidirectional,Random Sampling (p=0.8),-0.005291653353520842
political_blog,10,Random Sampling (p=0.7),Random Sampling (p=0.8),0.919539990708814
political_blog,11,Non-random,Random Projection,-0.03387181658821602
political_blog,11,Non-random,CountSketch,0.002302889721336224
political_blog,11,Non-random,SIGN Bidirectional,-0.017575325948352524
political_blog,11,Non-random,Random Sampling (p=0.7),0.8512514473696761
political_blog,11,Non-random,Random Sampling (p=0.8),0.9016752303660022
political_blog,11,Random Projection,CountSketch,0.9411850280538806
political_blog,11,Random Projection,SIGN Bidirectional,0.9266024032138624
political_blog,11,Random Projection,Random Sampling (p=0.7),-0.02901977276406679
political_blog,11,Random Projection,Random Sampling (p=0.8),-0.03341800906648871
political_blog,11,CountSketch,SIGN Bidirectional,0.9428048369691852
political_blog,11,CountSketch,Random Sampling (p=0.7),0.009967746351281928
political_blog,11,CountSketch,Random Sampling (p=0.8),0.0030259571447355583
political_blog,11,SIGN Bidirectional,Random Sampling (p=0.7),-0.011280209601681423
political_blog,11,SIGN Bidirectional,Random Sampling (p=0.8),-0.01698312544195579
political_blog,11,Random Sampling (p=0.7),Random Sampling (p=0.8),0.830664084726601
political_blog,12,Non-random,Random Projection,0.0007225796665728684
political_blog,12,Non-random,CountSketch,-5.292096583456398e-05
political_blog,12,Non-random,SIGN Bidirectional,-0.00911150812020208
political_blog,12,Non-random,Random Sampling (p=0.7),0.8850614886850655
political_blog,12,Non-random,Random Sampling (p=0.8),0.903955686508676
political_blog,12,Random Projection,CountSketch,0.9649587141972583
political_blog,12,Random Projection,SIGN Bidirectional,0.9298963536439919
political_blog,12,Random Projection,Random Sampling (p=0.7),-0.0028876855445457233
political_blog,12,Random Projection,Random Sampling (p=0.8),0.006820368543863331
political_blog,12,CountSketch,SIGN Bidirectional,0.9371329963667163
political_blog,12,CountSketch,Random Sampling (p=0.7),-0.0036073092252976407
political_blog,12,CountSketch,Random Sampling (p=0.8),0.00599098277426243
