rep,method,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
1,Random Projection,0.33010978935674234,0.5558142539878779,0.10448414493613419,,,0.250728917
1,Random Sampling (p=0.7),0.31567476585457277,0.5362728009633033,0.08895878676102709,0.010687707999999851,0.2708000840000002,0.28149416699999996
1,Random Sampling (p=0.8),0.3373518821610394,0.541989248233098,0.09061322834081213,0.010693375000000227,0.2738056240000004,0.2845094159999997
1,Non-random,0.3454013631484078,0.5661917157851802,0.08501815156267616,0.0,0.26292775000000024,0.2629284169999999
2,Random Projection,0.31539950205947714,0.5541145622428428,0.08574028665174149,,,0.18265470799999983
2,Random Sampling (p=0.7),0.30745424744592026,0.5372592199164719,0.08545453318898867,0.010378375000000162,0.27849425000000005,0.28887958299999994
2,Random Sampling (p=0.8),0.3219209128784034,0.5384386963966759,0.08744610531786098,0.010704083999999892,0.2722912490000007,0.28300270900000024
2,Non-random,0.37161935816756236,0.5654909139665896,0.08358640824081674,0.0,0.2643587080000005,0.26435912500000036
3,Random Projection,0.3260536459754425,0.5391181568122159,0.10657453816326734,,,0.18183604200000048
3,Random Sampling (p=0.7),0.3121741750765925,0.5422039472379189,0.0775307641371172,0.010556375000000173,0.27687249999999963,0.28743845899999965
3,Random Sampling (p=0.8),0.3201304930818314,0.5414036845151549,0.07316408554605036,0.010913416000000176,0.2751497919999988,0.2860719170000001
3,Non-random,0.3563497392668952,0.5668758789292798,0.09255835916207956,0.0,0.2716023339999998,0.27160304199999974
4,Random Projection,0.3365440950859909,0.5747781232961147,0.11031137702642844,,,0.1758395410000002
4,Random Sampling (p=0.7),0.3260160776312799,0.5194461627090752,0.07058782729068819,0.01048745800000006,0.28151395899999976,0.29200975000000007
4,Random Sampling (p=0.8),0.33618838458551864,0.5508462949379505,0.07926234555258968,0.010753249999999603,0.27383170800000034,0.28459212500000053
4,Non-random,0.3398378048017212,0.5715266803302281,0.09508746769980886,0.0,0.26881691600000046,0.2688174160000001
5,Random Projection,0.3367013139912268,0.5500124252414799,0.10446175417058289,,,0.18304820900000074
5,Random Sampling (p=0.7),0.3350984380738118,0.5370070561735633,0.09143023910179857,0.010506499999999974,0.2776122919999997,0.28812558399999944
