rep,method,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
1,Random Projection,0.3371208446863533,0.548437920655057,0.08438159205664948,,,0.2836361249999997
1,Random Sampling (p=0.7),0.27686395297005056,0.4965335486824219,0.08060055946142484,0.007683334000000208,0.23587570800000002,0.2435664580000001
1,Random Sampling (p=0.8),0.29981586102047125,0.530151641044477,0.0893109848912965,0.007468666999999929,0.22114387600000018,0.2286190419999996
1,Non-random,0.330928552917542,0.5656017002038599,0.09090174917837292,0.0,0.22749320799999984,0.22749358299999978
2,Random Projection,0.27715265143686996,0.5298158410243456,0.07379741583781428,,,0.19903791599999954
2,Random Sampling (p=0.7),0.26814848646840933,0.5103348119375702,0.08076694466413788,0.009347165999999518,0.2524262930000001,0.2617803329999999
2,Random Sampling (p=0.8),0.27565346567355536,0.5211880864059253,0.09114393785346521,0.007254582999999926,0.25048416699999976,0.25774654200000047
2,Non-random,0.2798348673834098,0.53971070947248,0.08133300152175045,0.0,0.23678687499999995,0.2367877500000004
3,Random Projection,0.3110407879592452,0.5593031422028724,0.09347884604226431,,,0.16741087499999985
3,Random Sampling (p=0.7),0.25642682182042786,0.4857791501329607,0.08644276908717854,0.007122583000000127,0.2306792919999996,0.2378095
3,Random Sampling (p=0.8),0.32224653997210717,0.5409071056700007,0.10753555205243699,0.007218417000000699,0.2304997499999999,0.2377234580000005
3,Non-random,0.33162158842677175,0.5565780720551203,0.08778141817253222,0.0,0.22610837499999992,0.22610870799999994
4,Random Projection,0.28838271473321536,0.5396092095987766,0.07296745263797108,,,0.17091954200000004
4,Random Sampling (p=0.7),0.2651535157274356,0.4998932832215171,0.06828155484157108,0.007129291999999232,0.23101075000000026,0.23814558399999974
4,Random Sampling (p=0.8),0.29868450337429,0.5190255929898647,0.08363087264850756,0.007202874999999942,0.22289462400000026,0.23010254200000002
4,Non-random,0.3121588900688498,0.5330928716821566,0.08648889199669885,0.0,0.24117870800000052,0.2411791670000003
5,Random Projection,0.32953399184000237,0.5602742845707231,0.09788899289058728,,,0.170382708
5,Random Sampling (p=0.7),0.2739820458821696,0.5261488386496183,0.08912244762995511,0.007102082999999482,0.23000304199999988,0.23711275000000054
5,Random Sampling (p=0.8),0.2523288198474282,0.5102453285620292,0.0785990174583038,0.007247165999999972,0.23113729200000055,0.238390667
5,Non-random,0.3311913382001326,0.5561878136085869,0.09299652440945243,0.0,0.23041054200000044,0.23041095800000022
6,Random Projection,0.33242134072171753,0.5618261719645047,0.09705776977080223,,,0.17947208300000028
6,Random Sampling (p=0.7),0.2982075162377244,0.519721269852689,0.08442297248660491,0.0070584169999996504,0.24228295800000055,0.24934725000000046
6,Random Sampling (p=0.8),0.2800144014030974,0.5199448946095242,0.10623997131318999,0.0071864169999997785,0.2304179589999995,0.23761074999999998
6,Non-random,0.33458673355033025,0.5675840555022926,0.10113344358258586,0.0,0.23194220799999954,0.23194229199999938
7,Random Projection,0.31804597434577947,0.548901201835506,0.10368649903703792,,,0.17570249999999987
7,Random Sampling (p=0.7),0.2876376694228872,0.5093569034632576,0.06796245593243469,0.007082083000000239,0.2305391239999981,0.23762691599999997
7,Random Sampling (p=0.8),0.25860152238819534,0.5166514535347377,0.07553324645790183,0.007313082999999665,0.24740612500000125,0.2547250410000004
7,Non-random,0.341953040767463,0.5594876613721433,0.08705170999441561,0.0,0.2254014160000004,0.2254018749999993
8,Random Projection,0.3198680686628298,0.5476870440330834,0.08918421944655913,,,0.17625237500000068
8,Random Sampling (p=0.7),0.28082374170534785,0.4977872999706974,0.07576188353475105,0.007162375000000054,0.24049829199999984,0.24766708299999962
8,Random Sampling (p=0.8),0.2960831224373897,0.5288576945604094,0.09876092363298643,0.007130000000000081,0.23698529100000165,0.24412383299999973
8,Non-random,0.33684416617246304,0.5686520764644818,0.0965021942597405,0.0,0.236672875,0.23667345800000028
9,Random Projection,0.29707656811320504,0.5422879804914345,0.08985220894288974,,,0.17395629100000143
9,Random Sampling (p=0.7),0.24967481045537504,0.5200981720742216,0.08626612706040074,0.009231040999999607,0.23207766600000035,0.24131883299999934
9,Random Sampling (p=0.8),0.3047025812672534,0.5180054656617828,0.0826378029972974,0.007149791999999877,0.22431874899999826,0.2314749169999999
9,Non-random,0.3216704466150069,0.5520192562920263,0.09151375742085141,0.0,0.24336612499999966,0.24336683299999962
10,Random Projection,0.33356042739542674,0.5504511192509245,0.082070401419772,,,0.1741761670000006
10,Random Sampling (p=0.7),0.2500755588301846,0.49498042106839457,0.06796659737223107,0.0070366249999995745,0.24033041699999913,0.2473731249999993
10,Random Sampling (p=0.8),0.28103162916025964,0.528802168412069,0.08860501855556287,0.00721637499999872,0.2257533340000002,0.2329777909999997
10,Non-random,0.33844702910886976,0.5560680607445435,0.09312289219053295,0.0,0.22579066599999997,0.2257913330000001
11,Random Projection,0.33658853133008476,0.5577706140679076,0.09433890196171069,,,0.1737240419999999
11,Random Sampling (p=0.7),0.2667004966213561,0.5086053285039273,0.08163990317724555,0.007035290999999333,0.22717045899999988,0.23421208299999918
11,Random Sampling (p=0.8),0.2926468398096875,0.5249343018890268,0.08494842187561244,0.007298083000000233,0.2417288329999998,0.24903266599999974
