dataset,rep,method,eval_mode,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
political_blog,1,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.08048179210163653
political_blog,1,Random Sampling (p=0.7),truth,0.593449332765999,0.1938055859339004,0.09351968706576631,0.001182875013910234,0.019240706926211715,0.020429875003173947
political_blog,1,Random Sampling (p=0.8),truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0020336249144747853,0.027267166995443404,0.02930895797908306
political_blog,1,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.22734554205089808,0.22734600002877414
political_blog,2,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.026495291967876256
political_blog,2,Random Sampling (p=0.7),truth,0.576822755331891,0.17949528443767623,0.0808381233357191,0.0013649590546265244,0.01769133296329528,0.019061416038312018
political_blog,2,Random Sampling (p=0.8),truth,0.5683221176132095,0.18050121697336138,0.075286429459946,0.0018589579267427325,0.024248001049272716,0.026111874962225556
political_blog,2,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.03143516601994634,0.031435957993380725
political_blog,3,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.02528579207137227
political_blog,3,Random Sampling (p=0.7),truth,0.5806986638645939,0.18279765873870896,0.08368429805933694,0.0011393340537324548,0.025695541058667004,0.02684054197743535
political_blog,3,Random Sampling (p=0.8),truth,0.5624033153376022,0.1673746591474234,0.07081457403698152,0.0022828750079497695,0.025460915872827172,0.02778600004967302
political_blog,3,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.02369025000371039,0.023690541042014956
political_blog,4,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.0390945840626955
political_blog,4,Random Sampling (p=0.7),truth,0.5663688240277489,0.17068302539148772,0.07348399437640117,0.0013114160392433405,0.024138584034517407,0.025456749950535595
political_blog,4,Random Sampling (p=0.8),truth,0.572258151452403,0.183804163072635,0.07803623088820341,0.0020285419886931777,0.03200129105243832,0.034034708980470896
political_blog,4,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.04097291699144989,0.04097354202531278
political_blog,5,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.029404083034023643
political_blog,5,Random Sampling (p=0.7),truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0023580000270158052,0.024070334038697183,0.026435542036779225
political_blog,5,Random Sampling (p=0.8),truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0011620420264080167,0.03332295804284513,0.034490125020965934
political_blog,5,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.022566875093616545,0.022567500011064112
political_blog,6,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.019802500028163195
political_blog,6,Random Sampling (p=0.7),truth,0.572258151452403,0.183804163072635,0.07803623088820341,0.00107683299575001,0.019295207923278213,0.020420124987140298
political_blog,6,Random Sampling (p=0.8),truth,0.5670046031346107,0.17939973014661748,0.07438054143905343,0.00117779104039073,0.02264979190658778,0.02383095899131149
political_blog,6,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.020158791914582253,0.02015916700474918
political_blog,7,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.024178707972168922
political_blog,7,Random Sampling (p=0.7),truth,0.5781173734816408,0.18059615161755546,0.08178149216353311,0.0017109999898821115,0.020348374964669347,0.022108000004664063
political_blog,7,Random Sampling (p=0.8),truth,0.5716175088037988,0.17509060279147298,0.07711820931320533,0.002113458001986146,0.031016083899885416,0.033137874910607934
political_blog,7,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.018223999999463558,0.01822500000707805
political_blog,8,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.02583808300551027
political_blog,8,Random Sampling (p=0.7),truth,0.5748685430872174,0.18600507612168585,0.07989621276138885,0.0010440839687362313,0.017441249918192625,0.01848912495188415
political_blog,8,Random Sampling (p=0.8),truth,0.5735647019455997,0.18490471077557122,0.07896354374703617,0.0014683329500257969,0.027486750041134655,0.028962374897673726
political_blog,8,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.021958583034574986,0.021958917030133307
political_blog,9,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.02434670797083527
political_blog,9,Random Sampling (p=0.7),truth,0.5590408291361371,0.1727839947123636,0.06905769564306082,0.0010051249992102385,0.019928707974031568,0.020937624969519675
political_blog,9,Random Sampling (p=0.8),truth,0.5676851117590358,0.17178526186064397,0.07438451374563564,0.002251832978799939,0.025047000031918287,0.027304874965921044
political_blog,9,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.02031399996485561,0.020314167020842433
political_blog,10,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.02441783295944333
political_blog,10,Random Sampling (p=0.7),truth,0.5624033153376022,0.1673746591474234,0.07081457403698152,0.001848959014751017,0.0236970828846097,0.02559583296533674
political_blog,10,Random Sampling (p=0.8),truth,0.5806986638645939,0.18279765873870893,0.08368429805933694,0.001041000010445714,0.025683792075142264,0.0267278749961406
political_blog,10,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.020559416967444122,0.020559708937071264
political_blog,11,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.01819979096762836
political_blog,11,Random Sampling (p=0.7),truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.001501500024460256,0.018837123992852867,0.020342167001217604
political_blog,11,Random Sampling (p=0.8),truth,0.5703094414362407,0.17398903019377843,0.07620162123584574,0.0010404580971226096,0.0342132089426741,0.03529462497681379
political_blog,11,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.02371154201682657,0.023711999994702637
political_blog,12,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.02531608403660357
political_blog,12,Random Sampling (p=0.7),truth,0.5689986466472601,0.1728872566473946,0.07529038937274447,0.001794499927200377,0.021838375134393573,0.023639332968741655
political_blog,12,Random Sampling (p=0.8),truth,0.5716175088037988,0.17509060279147298,0.07711820931320533,0.0019637499935925007,0.028293791925534606,0.030264500062912703
political_blog,12,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.016768833971582353,0.016769084031693637
political_blog,13,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.017396666924469173
political_blog,13,Random Sampling (p=0.7),truth,0.5806986638645939,0.18279765873870893,0.08368429805933694,0.001058083027601242,0.02584504196420312,0.026907707913778722
political_blog,13,Random Sampling (p=0.8),truth,0.572922861362216,0.17619199458488438,0.07804015358323695,0.001807750086300075,0.025427083019167185,0.027240708004683256
political_blog,13,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.020933042047545314,0.020933667081408203
political_blog,14,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.025171916000545025
political_blog,14,Random Sampling (p=0.7),truth,0.5577036300636058,0.17168002966997764,0.06818930194239543,0.0010297080734744668,0.02674762497190386,0.0277813330758363
political_blog,14,Random Sampling (p=0.8),truth,0.5781173734816408,0.18059615161755546,0.08178149216353311,0.0017610000213608146,0.017752917017787695,0.019520333036780357
political_blog,14,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.028667708043940365,0.028667917009443045
political_blog,15,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.018852417008019984
political_blog,15,Random Sampling (p=0.7),truth,0.5650497706431191,0.16958052664438897,0.07258883128707092,0.0014045420102775097,0.020443832967430353,0.02185408293735236
political_blog,15,Random Sampling (p=0.8),truth,0.5676851117590358,0.17178526186064397,0.07438451374563564,0.001642916933633387,0.026997917098924518,0.028647833038121462
political_blog,15,Non-random,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,0.0,0.01771466596983373,0.01771483290940523
political_blog,16,Random Projection,truth,0.5755254721757882,0.17839431561825164,0.07990011061571049,,,0.024199332925491035
political_blog,16,Random Sampling (p=0.7),truth,0.572258151452403,0.183804163072635,0.07803623088820341,0.0010052499128505588,0.01773291709832847,0.018741208012215793
political_blog,16,Random Sampling (p=0.8),truth,0.5689986466472601,0.1728872566473946,0.07529038937274447,0.0018391669727861881,0.02300220902543515,0.024844791973009706
