dataset,rep,method_i,method_j,ari
statisticians_coauthor,1,Non-random,Random Projection,0.8536535369862165
statisticians_coauthor,1,Non-random,Random Sampling (p=0.7),0.873941660097483
statisticians_coauthor,1,Non-random,Random Sampling (p=0.8),0.4923586656681631
statisticians_coauthor,1,Random Projection,Random Sampling (p=0.7),0.9373350437784163
statisticians_coauthor,1,Random Projection,Random Sampling (p=0.8),0.5773760261041401
statisticians_coauthor,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.5238429690660089
statisticians_coauthor,2,Non-random,Random Projection,0.8536535369862165
statisticians_coauthor,2,Non-random,Random Sampling (p=0.7),0.5113939380975115
statisticians_coauthor,2,Non-random,Random Sampling (p=0.8),0.5113939380975115
statisticians_coauthor,2,Random Projection,Random Sampling (p=0.7),0.6032198077381185
statisticians_coauthor,2,Random Projection,Random Sampling (p=0.8),0.6032198077381185
statisticians_coauthor,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.6313660001152821
statisticians_coauthor,3,Non-random,Random Projection,1.0
statisticians_coauthor,3,Non-random,Random Sampling (p=0.7),0.45610298118244963
statisticians_coauthor,3,Non-random,Random Sampling (p=0.8),0.9667412503368138
statisticians_coauthor,3,Random Projection,Random Sampling (p=0.7),0.45610298118244963
statisticians_coauthor,3,Random Projection,Random Sampling (p=0.8),0.9667412503368138
statisticians_coauthor,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.43614206505267317
statisticians_coauthor,4,Non-random,Random Projection,1.0
statisticians_coauthor,4,Non-random,Random Sampling (p=0.7),0.9374045475681162
statisticians_coauthor,4,Non-random,Random Sampling (p=0.8),0.48333595046376554
statisticians_coauthor,4,Random Projection,Random Sampling (p=0.7),0.9374045475681162
statisticians_coauthor,4,Random Projection,Random Sampling (p=0.8),0.48333595046376554
statisticians_coauthor,4,Random Sampling (p=0.7),Random Sampling (p=0.8),0.4319192961093456
statisticians_coauthor,5,Non-random,Random Projection,0.44254085692421563
statisticians_coauthor,5,Non-random,Random Sampling (p=0.7),0.5015921434149392
statisticians_coauthor,5,Non-random,Random Sampling (p=0.8),0.5015921434149392
statisticians_coauthor,5,Random Projection,Random Sampling (p=0.7),0.48333595046376554
statisticians_coauthor,5,Random Projection,Random Sampling (p=0.8),0.48333595046376554
statisticians_coauthor,5,Random Sampling (p=0.7),Random Sampling (p=0.8),1.0
statisticians_coauthor,6,Non-random,Random Projection,0.8536535369862165
statisticians_coauthor,6,Non-random,Random Sampling (p=0.7),0.8535181521711975
statisticians_coauthor,6,Non-random,Random Sampling (p=0.8),0.5214433100198943
statisticians_coauthor,6,Random Projection,Random Sampling (p=0.7),0.9573500793978832
statisticians_coauthor,6,Random Projection,Random Sampling (p=0.8),0.6169970766396915
statisticians_coauthor,6,Random Sampling (p=0.7),Random Sampling (p=0.8),0.5719402997736803
statisticians_coauthor,7,Non-random,Random Projection,1.0
statisticians_coauthor,7,Non-random,Random Sampling (p=0.7),0.9840979315835654
statisticians_coauthor,7,Non-random,Random Sampling (p=0.8),0.45805204348629347
statisticians_coauthor,7,Random Projection,Random Sampling (p=0.7),0.9840979315835654
statisticians_coauthor,7,Random Projection,Random Sampling (p=0.8),0.45805204348629347
statisticians_coauthor,7,Random Sampling (p=0.7),Random Sampling (p=0.8),0.4502028273456314
statisticians_coauthor,8,Non-random,Random Projection,0.9493388313431004
statisticians_coauthor,8,Non-random,Random Sampling (p=0.7),0.5214433100198943
statisticians_coauthor,8,Non-random,Random Sampling (p=0.8),0.9677333876525449
statisticians_coauthor,8,Random Projection,Random Sampling (p=0.7),0.5537065044236021
statisticians_coauthor,8,Random Projection,Random Sampling (p=0.8),0.9493388313431004
statisticians_coauthor,8,Random Sampling (p=0.7),Random Sampling (p=0.8),0.5214433100198943
statisticians_coauthor,9,Non-random,Random Projection,1.0
statisticians_coauthor,9,Non-random,Random Sampling (p=0.7),0.5214433100198943
statisticians_coauthor,9,Non-random,Random Sampling (p=0.8),0.9667345453594134
statisticians_coauthor,9,Random Projection,Random Sampling (p=0.7),0.5214433100198943
statisticians_coauthor,9,Random Projection,Random Sampling (p=0.8),0.9667345453594134
statisticians_coauthor,9,Random Sampling (p=0.7),Random Sampling (p=0.8),0.5425319172808104
statisticians_coauthor,10,Non-random,Random Projection,0.23622171873155928
statisticians_coauthor,10,Non-random,Random Sampling (p=0.7),0.48333595046376554
statisticians_coauthor,10,Non-random,Random Sampling (p=0.8),0.5113939380975115
statisticians_coauthor,10,Random Projection,Random Sampling (p=0.7),0.25590916291450444
statisticians_coauthor,10,Random Projection,Random Sampling (p=0.8),0.26514625166898476
statisticians_coauthor,10,Random Sampling (p=0.7),Random Sampling (p=0.8),0.5900404491604773
statisticians_coauthor,11,Non-random,Random Projection,1.0
statisticians_coauthor,11,Non-random,Random Sampling (p=0.7),0.5113939380975115
statisticians_coauthor,11,Non-random,Random Sampling (p=0.8),0.48333595046376554
statisticians_coauthor,11,Random Projection,Random Sampling (p=0.7),0.5113939380975115
statisticians_coauthor,11,Random Projection,Random Sampling (p=0.8),0.48333595046376554
statisticians_coauthor,11,Random Sampling (p=0.7),Random Sampling (p=0.8),0.5900404491604773
statisticians_coauthor,12,Non-random,Random Projection,1.0
statisticians_coauthor,12,Non-random,Random Sampling (p=0.7),0.5013018289944541
statisticians_coauthor,12,Non-random,Random Sampling (p=0.8),0.9667345453594134
statisticians_coauthor,12,Random Projection,Random Sampling (p=0.7),0.5013018289944541
statisticians_coauthor,12,Random Projection,Random Sampling (p=0.8),0.9667345453594134
statisticians_coauthor,12,Random Sampling (p=0.7),Random Sampling (p=0.8),0.5208817766156967
statisticians_coauthor,13,Non-random,Random Projection,0.9493388313431004
statisticians_coauthor,13,Non-random,Random Sampling (p=0.7),0.45610298118244963
statisticians_coauthor,13,Non-random,Random Sampling (p=0.8),0.4501706824663464
statisticians_coauthor,13,Random Projection,Random Sampling (p=0.7),0.48295372372752793
statisticians_coauthor,13,Random Projection,Random Sampling (p=0.8),0.4745479771601524
statisticians_coauthor,13,Random Sampling (p=0.7),Random Sampling (p=0.8),0.48295372372752793
statisticians_coauthor,14,Non-random,Random Projection,0.8536535369862165
statisticians_coauthor,14,Non-random,Random Sampling (p=0.7),0.53161655865403
statisticians_coauthor,14,Non-random,Random Sampling (p=0.8),0.9791113094086576
statisticians_coauthor,14,Random Projection,Random Sampling (p=0.7),0.45805204348629347
statisticians_coauthor,14,Random Projection,Random Sampling (p=0.8),0.8740521032398002
statisticians_coauthor,14,Random Sampling (p=0.7),Random Sampling (p=0.8),0.521217394930774
statisticians_coauthor,15,Non-random,Random Projection,0.4661975640606015
statisticians_coauthor,15,Non-random,Random Sampling (p=0.7),0.5423875593179125
statisticians_coauthor,15,Non-random,Random Sampling (p=0.8),0.4825221320980257
