dataset,method,paper_rank,changed_rank,paper_F1,paper_NMI,paper_ARI,reproduction_paper_rank_F1,reproduction_paper_rank_NMI,reproduction_paper_rank_ARI,reproduction_changed_rank_F1,reproduction_changed_rank_NMI,reproduction_changed_rank_ARI
European email network,Random Projection,42,30,0.165(0.007),0.558(0.006),0.100(0.009),0.315(0.018),0.548(0.010),0.091(0.008),0.320(0.013),0.551(0.009),0.100(0.012)
European email network,Random Sampling (p=0.7),42,30,0.126(0.007),0.417(0.010),0.059(0.008),0.271(0.014),0.505(0.011),0.079(0.008),0.308(0.013),0.531(0.008),0.077(0.009)
European email network,Random Sampling (p=0.8),42,30,0.131(0.005),0.436(0.010),0.064(0.006),0.287(0.016),0.526(0.009),0.091(0.009),0.327(0.014),0.543(0.005),0.083(0.007)
European email network,Non-random,42,30,0.154(0.006),0.571(0.005),0.088(0.007),0.325(0.016),0.556(0.008),0.092(0.006),0.353(0.013),0.568(0.005),0.094(0.010)
Political blog network,Random Projection,2,5,0.641(0.004),0.178(0.004),0.079(0.006),0.576(0.000),0.178(0.000),0.080(0.000),0.435(0.004),0.042(0.006),0.002(0.001)
Political blog network,Random Sampling (p=0.7),2,5,0.642(0.003),0.177(0.007),0.077(0.007),0.572(0.009),0.178(0.007),0.077(0.006),0.501(0.008),0.125(0.006),0.037(0.004)
Political blog network,Random Sampling (p=0.8),2,5,0.641(0.004),0.177(0.008),0.077(0.009),0.572(0.004),0.178(0.005),0.077(0.003),0.499(0.007),0.125(0.005),0.037(0.003)
Political blog network,Non-random,2,5,0.641(0.004),0.178(0.004),0.079(0.006),0.576(0.000),0.178(0.000),0.080(0.000),0.502(0.000),0.127(0.000),0.038(0.000)
Statisticians coauthor network (No true labels),Random Projection (relative),3,5,0.981(0.012),0.646(0.197),0.715(0.246),1.000(0.000),1.000(0.000),1.000(0.000),0.991(0.023),0.978(0.051),0.985(0.036)
Statisticians coauthor network (No true labels),Random Sampling (relative) (p=0.7),3,5,0.970(0.011),0.480(0.148),0.593(0.193),0.873(0.205),0.786(0.190),0.835(0.198),0.816(0.245),0.766(0.151),0.810(0.172)
Statisticians coauthor network (No true labels),Random Sampling (relative) (p=0.8),3,5,0.973(0.011),0.544(0.142),0.639(0.190),0.969(0.023),0.914(0.055),0.948(0.038),0.781(0.298),0.788(0.209),0.809(0.226)
Statisticians citation network (No true labels),Random Projection (relative),3,5,0.990(0.021),0.881(0.166),0.926(0.140),0.984(0.005),0.936(0.021),0.973(0.011),0.898(0.124),0.752(0.267),0.794(0.267)
Statisticians citation network (No true labels),Random Sampling (relative) (p=0.7),3,5,0.981(0.019),0.759(0.125),0.863(0.120),0.937(0.010),0.797(0.024),0.899(0.016),0.854(0.116),0.634(0.218),0.732(0.232)
Statisticians citation network (No true labels),Random Sampling (relative) (p=0.8),3,5,0.981(0.022),0.770(0.163),0.861(0.149),0.950(0.011),0.830(0.025),0.917(0.014),0.835(0.132),0.602(0.261),0.685(0.266)
