dataset,rep,method_i,method_j,ari
email_eu,1,Non-random,Random Projection,0.830893381462725
email_eu,1,Non-random,Random Sampling (p=0.7),0.758552188360225
email_eu,1,Non-random,Random Sampling (p=0.8),0.822504798663841
email_eu,1,Non-random,CountSketch,0.816851813928434
email_eu,1,Non-random,SIGN Bidirectional,0.8010620230382
email_eu,1,Random Projection,Random Sampling (p=0.7),0.79063158498218
email_eu,1,Random Projection,Random Sampling (p=0.8),0.802881108880633
email_eu,1,Random Projection,CountSketch,0.837172664905675
email_eu,1,Random Projection,SIGN Bidirectional,0.787872628596492
email_eu,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.772818406020973
email_eu,1,Random Sampling (p=0.7),CountSketch,0.757515005971666
email_eu,1,Random Sampling (p=0.7),SIGN Bidirectional,0.726375252566266
email_eu,1,Random Sampling (p=0.8),CountSketch,0.80919522176245
email_eu,1,Random Sampling (p=0.8),SIGN Bidirectional,0.809022528066621
email_eu,1,CountSketch,SIGN Bidirectional,0.776184918245966
email_eu,2,Non-random,Random Projection,0.840717997169018
email_eu,2,Non-random,Random Sampling (p=0.7),0.770972164232591
email_eu,2,Non-random,Random Sampling (p=0.8),0.769585874025641
email_eu,2,Non-random,CountSketch,0.719738256182377
email_eu,2,Non-random,SIGN Bidirectional,0.81712365421276
email_eu,2,Random Projection,Random Sampling (p=0.7),0.785180041315627
email_eu,2,Random Projection,Random Sampling (p=0.8),0.746050818435476
email_eu,2,Random Projection,CountSketch,0.778941229561588
email_eu,2,Random Projection,SIGN Bidirectional,0.8654235949426
email_eu,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.714068946579002
email_eu,2,Random Sampling (p=0.7),CountSketch,0.66838177411797
email_eu,2,Random Sampling (p=0.7),SIGN Bidirectional,0.79683537490642
email_eu,2,Random Sampling (p=0.8),CountSketch,0.716350402715007
email_eu,2,Random Sampling (p=0.8),SIGN Bidirectional,0.746008036406701
email_eu,2,CountSketch,SIGN Bidirectional,0.738338742709184
email_eu,3,Non-random,Random Projection,0.781078328857965
email_eu,3,Non-random,Random Sampling (p=0.7),0.846292912166341
email_eu,3,Non-random,Random Sampling (p=0.8),0.784083081388412
email_eu,3,Non-random,CountSketch,0.850573260267481
email_eu,3,Non-random,SIGN Bidirectional,0.754598467491625
email_eu,3,Random Projection,Random Sampling (p=0.7),0.754023036184346
email_eu,3,Random Projection,Random Sampling (p=0.8),0.719601028627164
email_eu,3,Random Projection,CountSketch,0.847659926903341
email_eu,3,Random Projection,SIGN Bidirectional,0.734782854080726
email_eu,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.719044996037108
email_eu,3,Random Sampling (p=0.7),CountSketch,0.82767803120455
email_eu,3,Random Sampling (p=0.7),SIGN Bidirectional,0.705465006001832
email_eu,3,Random Sampling (p=0.8),CountSketch,0.762007872950171
email_eu,3,Random Sampling (p=0.8),SIGN Bidirectional,0.781891129202417
email_eu,3,CountSketch,SIGN Bidirectional,0.791060756655815
email_eu,4,Non-random,Random Projection,0.831740164477146
email_eu,4,Non-random,Random Sampling (p=0.7),0.746812086171772
email_eu,4,Non-random,Random Sampling (p=0.8),0.76646297499999
email_eu,4,Non-random,CountSketch,0.760877725152872
email_eu,4,Non-random,SIGN Bidirectional,0.861247511115051
email_eu,4,Random Projection,Random Sampling (p=0.7),0.757778182498439
email_eu,4,Random Projection,Random Sampling (p=0.8),0.778304110816526
email_eu,4,Random Projection,CountSketch,0.785765449952399
