dataset,rep,method,eval_mode,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
email_eu,1,Random Projection,truth,0.305760666294699,0.542836791952676,0.101696087317476,NaN,0.122105875,0.122158375
email_eu,1,Random Sampling (p=0.7),truth,0.318484112189826,0.530929710161961,0.0792692168066247,0.000125541666666667,0.132978666666667,0.133279291666667
email_eu,1,Random Sampling (p=0.8),truth,0.319266754901295,0.556373876504066,0.0886736740434502,0.000129875,0.127725375,0.127906208333333
email_eu,1,CountSketch,truth,0.331159897981264,0.556431381266203,0.100072208408902,NaN,0.116403166666667,0.116453916666667
email_eu,1,SIGN Bidirectional,truth,0.283546804748032,0.517223626321604,0.0620126074001262,NaN,0.128154208333333,0.128202541666667
email_eu,1,Non-random,truth,0.352627119285929,0.563127408175263,0.090538972521658,0,0.1646985,0.164781458333333
email_eu,2,Random Projection,truth,0.343690950270907,0.556992547875159,0.0980178990865933,NaN,0.110647833333333,0.110699
email_eu,2,Random Sampling (p=0.7),truth,0.28425147475857,0.528080383620511,0.0816698260982622,0.000103083333333333,0.11870275,0.118859041666667
email_eu,2,Random Sampling (p=0.8),truth,0.325308852657285,0.558718621089312,0.0995062490872678,0.000109416666666667,0.119903041666667,0.120104291666667
email_eu,2,CountSketch,truth,0.335149622026776,0.547321505052486,0.114856625013677,NaN,0.109978,0.110025666666667
email_eu,2,SIGN Bidirectional,truth,0.315561303001993,0.537324904138655,0.085207955887198,NaN,0.115813208333333,0.115861375
email_eu,2,Non-random,truth,0.328964561721096,0.566483793574848,0.0931290266890221,0,0.122464333333333,0.122686208333333
email_eu,3,Random Projection,truth,0.322492658493636,0.544337438448067,0.0958280382980918,NaN,0.106571375,0.106616375
email_eu,3,Random Sampling (p=0.7),truth,0.300172080476759,0.524225084246449,0.0683277267801781,0.000100958333333333,0.109985666666667,0.110137666666667
email_eu,3,Random Sampling (p=0.8),truth,0.313579972459197,0.536506504317202,0.0931231636334307,0.000102583333333333,0.111662166666667,0.111814458333333
email_eu,3,CountSketch,truth,0.333661691708835,0.544843857261046,0.0893797882216966,NaN,0.114333916666667,0.114384875
email_eu,3,SIGN Bidirectional,truth,0.330297708108818,0.545177422090866,0.101491243425544,NaN,0.114124166666667,0.114180708333333
email_eu,3,Non-random,truth,0.327774959095067,0.557779553018101,0.0795881903846162,0,0.11271675,0.112843458333333
email_eu,4,Random Projection,truth,0.339152935166507,0.551927687830882,0.097634384159622,NaN,0.115848833333333,0.115901583333333
email_eu,4,Random Sampling (p=0.7),truth,0.302233409015229,0.512609634810849,0.0625615301598721,0.000113125,0.120378125,0.120633375
email_eu,4,Random Sampling (p=0.8),truth,0.316390170641579,0.531563356130349,0.0744483236783277,0.000114791666666667,0.11043075,0.110599166666667
email_eu,4,CountSketch,truth,0.321471259019699,0.532584663049695,0.0852962001605394,NaN,0.104986916666667,0.105038166666667
email_eu,4,SIGN Bidirectional,truth,0.307805970825687,0.554926492985107,0.100200963413996,NaN,0.114678541666667,0.114731125
