dataset,rep,method_i,method_j,ari
email_eu,1,Non-random,Random Projection,0.760566343667621
email_eu,1,Non-random,Random Sampling (p=0.7),0.784202718344352
email_eu,1,Non-random,Random Sampling (p=0.8),0.744031674175534
email_eu,1,Non-random,CountSketch,0.77354831537028
email_eu,1,Non-random,SIGN Bidirectional,0.751687281769649
email_eu,1,Random Projection,Random Sampling (p=0.7),0.726989090792144
email_eu,1,Random Projection,Random Sampling (p=0.8),0.764994951433696
email_eu,1,Random Projection,CountSketch,0.795962537573251
email_eu,1,Random Projection,SIGN Bidirectional,0.792548880412669
email_eu,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.724843189094233
email_eu,1,Random Sampling (p=0.7),CountSketch,0.76130241851963
email_eu,1,Random Sampling (p=0.7),SIGN Bidirectional,0.763010652837203
email_eu,1,Random Sampling (p=0.8),CountSketch,0.75966319638525
email_eu,1,Random Sampling (p=0.8),SIGN Bidirectional,0.768275289179026
email_eu,1,CountSketch,SIGN Bidirectional,0.75872775728303
email_eu,2,Non-random,Random Projection,0.724371583972402
email_eu,2,Non-random,Random Sampling (p=0.7),0.731383410263526
email_eu,2,Non-random,Random Sampling (p=0.8),0.774264213606508
email_eu,2,Non-random,CountSketch,0.749010655340849
email_eu,2,Non-random,SIGN Bidirectional,0.779159255403657
email_eu,2,Random Projection,Random Sampling (p=0.7),0.728944982135886
email_eu,2,Random Projection,Random Sampling (p=0.8),0.687325323120359
email_eu,2,Random Projection,CountSketch,0.786297933902505
email_eu,2,Random Projection,SIGN Bidirectional,0.71028342167997
email_eu,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.709802967508432
email_eu,2,Random Sampling (p=0.7),CountSketch,0.763696284706113
email_eu,2,Random Sampling (p=0.7),SIGN Bidirectional,0.73111939936865
email_eu,2,Random Sampling (p=0.8),CountSketch,0.701415440538384
email_eu,2,Random Sampling (p=0.8),SIGN Bidirectional,0.749865264501607
email_eu,2,CountSketch,SIGN Bidirectional,0.761408454378607
email_eu,3,Non-random,Random Projection,0.794871513905249
email_eu,3,Non-random,Random Sampling (p=0.7),0.801959003498769
email_eu,3,Non-random,Random Sampling (p=0.8),0.760190141890652
email_eu,3,Non-random,CountSketch,0.762097975554469
email_eu,3,Non-random,SIGN Bidirectional,0.732920175967732
email_eu,3,Random Projection,Random Sampling (p=0.7),0.752278057441467
email_eu,3,Random Projection,Random Sampling (p=0.8),0.77028219431017
email_eu,3,Random Projection,CountSketch,0.746703081430362
email_eu,3,Random Projection,SIGN Bidirectional,0.721737296433368
email_eu,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.743490543530682
email_eu,3,Random Sampling (p=0.7),CountSketch,0.763239545231655
email_eu,3,Random Sampling (p=0.7),SIGN Bidirectional,0.716582668937523
