dataset,rep,method,eval_mode,F1,NMI,ARI,time_rand_sec,time_post_sec,time_total_sec
political_blog,1,Random Projection,truth,0.443689454702224,0.0555655029549928,0.00398004479839467,NaN,0.00937708333333333,0.00938504166666667
political_blog,1,Random Sampling (p=0.7),truth,0.508996660478071,0.132582066331768,0.041170243066182,6.29166666666667e-05,0.0115363333333333,0.011609875
political_blog,1,Random Sampling (p=0.8),truth,0.495829115678984,0.122299403782338,0.0352831888460916,6.33333333333333e-05,0.013597375,0.0136732916666667
political_blog,1,CountSketch,truth,0.437792169769739,0.0445725877565511,0.00262803977431251,NaN,0.00941504166666667,0.00942716666666667
political_blog,1,SIGN Bidirectional,truth,0.43544294612082,0.0453266467854509,0.00241424256670722,NaN,0.00828575,0.008292
political_blog,1,Non-random,truth,0.501715925318137,0.12688534253729,0.0378460828186584,0,0.0137790833333333,0.0138009583333333
political_blog,2,Random Projection,truth,0.430685227632731,0.0471469383444838,0.00200261065914888,NaN,0.011278875,0.01129325
political_blog,2,Random Sampling (p=0.7),truth,0.500249457980698,0.125741348645411,0.0371973230528948,8.1875e-05,0.0126420416666667,0.012735125
political_blog,2,Random Sampling (p=0.8),truth,0.508996660478071,0.132582066331768,0.041170243066182,7.88333333333333e-05,0.0116522916666667,0.01174075
political_blog,2,CountSketch,truth,0.437261459008923,0.0421682698741961,0.00242388788752345,NaN,0.0108395416666667,0.010846875
political_blog,2,SIGN Bidirectional,truth,0.572258151452403,0.183804163072634,0.0780362308882033,NaN,0.0108677083333333,0.0108810416666667
political_blog,2,Non-random,truth,0.501715925318137,0.12688534253729,0.0378460828186584,0,0.013051625,0.013059625
political_blog,3,Random Projection,truth,0.435826408125577,0.0413030587059134,0.0022202922273671,NaN,0.0100535833333333,0.0100623333333333
political_blog,3,Random Sampling (p=0.7),truth,0.498779511804722,0.124595719493928,0.0365539207826695,6.425e-05,0.0135547916666667,0.0136260833333333
political_blog,3,Random Sampling (p=0.8),truth,0.511885179809708,0.134850570323858,0.0425374086258102,6.59583333333333e-05,0.0104388333333333,0.010513375
political_blog,3,CountSketch,truth,0.439225642398072,0.0454566091864519,0.00284236462442717,NaN,0.00951533333333333,0.00952108333333333
political_blog,3,SIGN Bidirectional,truth,0.548262264051738,0.163938540356473,0.0622605271790149,NaN,0.0117940416666667,0.011801375
political_blog,3,Non-random,truth,0.501715925318137,0.12688534253729,0.0378460828186584,0,0.00872266666666667,0.008737
political_blog,4,Random Projection,truth,0.430164667022879,0.0443474169600092,0.00181459270477692,NaN,0.00779825,0.00780354166666667
political_blog,4,Random Sampling (p=0.7),truth,0.503178930512495,0.128027738371746,0.0385002000508298,9.05e-05,0.0121789583333333,0.01227825
political_blog,4,Random Sampling (p=0.8),truth,0.503178930512495,0.128027738371746,0.0385002000508298,8.16666666666667e-05,0.0129355833333333,0.0130239583333333
political_blog,4,CountSketch,truth,0.435970266318504,0.0480127537375515,0.00261837807056685,NaN,0.00949241666666667,0.00949870833333333
political_blog,4,SIGN Bidirectional,truth,0.48539064607967,0.114205041978313,0.0310043925295203,NaN,0.007234125,0.00723875
political_blog,4,Non-random,truth,0.501715925318137,0.12688534253729,0.0378460828186584,0,0.0135418333333333,0.0135520416666667
political_blog,5,Random Projection,truth,0.435049399958618,0.0499512828198196,0.00261351964785865,NaN,0.00878225,0.00878766666666667
political_blog,5,Random Sampling (p=0.7),truth,0.516192889381582,0.138243266671778,0.0446283363955821,8.29166666666667e-05,0.0121427916666667,0.0122310833333333
political_blog,5,Random Sampling (p=0.8),truth,0.519048167970358,0.140498739960865,0.0460490742046734,6.19583333333333e-05,0.012658875,0.0127271666666667
political_blog,5,CountSketch,truth,0.438693305923166,0.0430348220829048,0.00263284305641691,NaN,0.009727625,0.009739875
political_blog,5,SIGN Bidirectional,truth,0.556363566111748,0.170575620807747,0.0673262646642666,NaN,0.00868383333333333,0.008693125
political_blog,5,Non-random,truth,0.501715925318137,0.12688534253729,0.0378460828186584,0,0.011310625,0.0113198333333333
political_blog,6,Random Projection,truth,0.435826408125577,0.0413030587059134,0.0022202922273671,NaN,0.008632625,0.00863879166666667
