dataset,rep,method_i,method_j,ari
political_blog,1,Non-random,Random Projection,1
political_blog,1,Non-random,Random Sampling (p=0.7),0.918291390435213
political_blog,1,Non-random,Random Sampling (p=0.8),0.961503590928787
political_blog,1,Non-random,CountSketch,1
political_blog,1,Non-random,SIGN Bidirectional,1
political_blog,1,Random Projection,Random Sampling (p=0.7),0.918291390435213
political_blog,1,Random Projection,Random Sampling (p=0.8),0.961503590928787
political_blog,1,Random Projection,CountSketch,1
political_blog,1,Random Projection,SIGN Bidirectional,1
political_blog,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.91794202611821
political_blog,1,Random Sampling (p=0.7),CountSketch,0.918291390435213
political_blog,1,Random Sampling (p=0.7),SIGN Bidirectional,0.918291390435213
political_blog,1,Random Sampling (p=0.8),CountSketch,0.961503590928787
political_blog,1,Random Sampling (p=0.8),SIGN Bidirectional,0.961503590928787
political_blog,1,CountSketch,SIGN Bidirectional,1
political_blog,2,Non-random,Random Projection,1
political_blog,2,Non-random,Random Sampling (p=0.7),0.961662321139478
political_blog,2,Non-random,Random Sampling (p=0.8),0.976028997278412
political_blog,2,Non-random,CountSketch,1
political_blog,2,Non-random,SIGN Bidirectional,0.9110942890692
political_blog,2,Random Projection,Random Sampling (p=0.7),0.961662321139478
political_blog,2,Random Projection,Random Sampling (p=0.8),0.976028997278412
political_blog,2,Random Projection,CountSketch,1
political_blog,2,Random Projection,SIGN Bidirectional,0.9110942890692
political_blog,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.947523791741285
political_blog,2,Random Sampling (p=0.7),CountSketch,0.961662321139478
political_blog,2,Random Sampling (p=0.7),SIGN Bidirectional,0.901379969971556
political_blog,2,Random Sampling (p=0.8),CountSketch,0.976028997278412
political_blog,2,Random Sampling (p=0.8),SIGN Bidirectional,0.887130324564763
political_blog,2,CountSketch,SIGN Bidirectional,0.9110942890692
political_blog,3,Non-random,Random Projection,1
political_blog,3,Non-random,Random Sampling (p=0.7),0.956271149084335
political_blog,3,Non-random,Random Sampling (p=0.8),0.961662321139478
political_blog,3,Non-random,CountSketch,1
political_blog,3,Non-random,SIGN Bidirectional,0.921190846214135
political_blog,3,Random Projection,Random Sampling (p=0.7),0.956271149084335
political_blog,3,Random Projection,Random Sampling (p=0.8),0.961662321139478
political_blog,3,Random Projection,CountSketch,1
political_blog,3,Random Projection,SIGN Bidirectional,0.921190846214135
political_blog,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.937044394078821
political_blog,3,Random Sampling (p=0.7),CountSketch,0.956271149084335
political_blog,3,Random Sampling (p=0.7),SIGN Bidirectional,0.934759446080463
political_blog,3,Random Sampling (p=0.8),CountSketch,0.961662321139478
