dataset,rep,method_i,method_j,ari
statisticians_citation,1,Non-random,Random Projection,0.407510804493881
statisticians_citation,1,Non-random,Random Sampling (p=0.7),0.861950447091675
statisticians_citation,1,Non-random,Random Sampling (p=0.8),0.905091791387161
statisticians_citation,1,Non-random,CountSketch,0.384492907747588
statisticians_citation,1,Non-random,SIGN Bidirectional,0.618535188240659
statisticians_citation,1,Random Projection,Random Sampling (p=0.7),0.394154601135143
statisticians_citation,1,Random Projection,Random Sampling (p=0.8),0.408817918729557
statisticians_citation,1,Random Projection,CountSketch,0.961322799409083
statisticians_citation,1,Random Projection,SIGN Bidirectional,0.587090004272464
statisticians_citation,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.824864138706164
statisticians_citation,1,Random Sampling (p=0.7),CountSketch,0.37247533511532
statisticians_citation,1,Random Sampling (p=0.7),SIGN Bidirectional,0.648557507902184
statisticians_citation,1,Random Sampling (p=0.8),CountSketch,0.39781446859702
statisticians_citation,1,Random Sampling (p=0.8),SIGN Bidirectional,0.636916149478865
statisticians_citation,1,CountSketch,SIGN Bidirectional,0.557276611730369
statisticians_citation,2,Non-random,Random Projection,0.381993460937361
statisticians_citation,2,Non-random,Random Sampling (p=0.7),0.916946178188641
statisticians_citation,2,Non-random,Random Sampling (p=0.8),0.856759215303309
statisticians_citation,2,Non-random,CountSketch,0.968438213801228
statisticians_citation,2,Non-random,SIGN Bidirectional,0.505762765156853
statisticians_citation,2,Random Projection,Random Sampling (p=0.7),0.373849552263859
statisticians_citation,2,Random Projection,Random Sampling (p=0.8),0.344747096048251
statisticians_citation,2,Random Projection,CountSketch,0.389113426788258
statisticians_citation,2,Random Projection,SIGN Bidirectional,0.164392264219467
statisticians_citation,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.85649944859484
statisticians_citation,2,Random Sampling (p=0.7),CountSketch,0.911662620580653
statisticians_citation,2,Random Sampling (p=0.7),SIGN Bidirectional,0.506231127171627
statisticians_citation,2,Random Sampling (p=0.8),CountSketch,0.843702923252249
statisticians_citation,2,Random Sampling (p=0.8),SIGN Bidirectional,0.469725981741505
statisticians_citation,2,CountSketch,SIGN Bidirectional,0.494478475350041
statisticians_citation,3,Non-random,Random Projection,0.963852310551495
statisticians_citation,3,Non-random,Random Sampling (p=0.7),0.380311732463084
statisticians_citation,3,Non-random,Random Sampling (p=0.8),0.904161509369752
statisticians_citation,3,Non-random,CountSketch,0.951179812106838
statisticians_citation,3,Non-random,SIGN Bidirectional,0.68120211765439
statisticians_citation,3,Random Projection,Random Sampling (p=0.7),0.409623029043416
statisticians_citation,3,Random Projection,Random Sampling (p=0.8),0.909679452008746
statisticians_citation,3,Random Projection,CountSketch,0.974371435681863
statisticians_citation,3,Random Projection,SIGN Bidirectional,0.702578404314108
statisticians_citation,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.402823350048394
statisticians_citation,3,Random Sampling (p=0.7),CountSketch,0.401519823228267
statisticians_citation,3,Random Sampling (p=0.7),SIGN Bidirectional,0.487789852962369
statisticians_citation,3,Random Sampling (p=0.8),CountSketch,0.916369149410108
statisticians_citation,3,Random Sampling (p=0.8),SIGN Bidirectional,0.707481394696778
statisticians_citation,3,CountSketch,SIGN Bidirectional,0.709795539467917
statisticians_citation,4,Non-random,Random Projection,0.979385146291223
statisticians_citation,4,Non-random,Random Sampling (p=0.7),0.899672245573938
statisticians_citation,4,Non-random,Random Sampling (p=0.8),0.390943693618583
statisticians_citation,4,Non-random,CountSketch,0.972164960691738
