dataset,rep,method_i,method_j,ari
statisticians_citation,1,Non-random,Random Projection,0.956387317866093
statisticians_citation,1,Non-random,Random Sampling (p=0.7),0.894332351232743
statisticians_citation,1,Non-random,Random Sampling (p=0.8),0.914358362476791
statisticians_citation,1,Non-random,CountSketch,0.983745544673014
statisticians_citation,1,Non-random,SIGN Bidirectional,0.720398010239041
statisticians_citation,1,Random Projection,Random Sampling (p=0.7),0.875391320478114
statisticians_citation,1,Random Projection,Random Sampling (p=0.8),0.915582053048309
statisticians_citation,1,Random Projection,CountSketch,0.946463410959407
statisticians_citation,1,Random Projection,SIGN Bidirectional,0.711717496060095
statisticians_citation,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.860824401357242
statisticians_citation,1,Random Sampling (p=0.7),CountSketch,0.885124931644253
statisticians_citation,1,Random Sampling (p=0.7),SIGN Bidirectional,0.709342282186162
statisticians_citation,1,Random Sampling (p=0.8),CountSketch,0.904841365739099
statisticians_citation,1,Random Sampling (p=0.8),SIGN Bidirectional,0.700621685666301
statisticians_citation,1,CountSketch,SIGN Bidirectional,0.723441074175856
statisticians_citation,2,Non-random,Random Projection,0.983911077821089
statisticians_citation,2,Non-random,Random Sampling (p=0.7),0.920959204058578
statisticians_citation,2,Non-random,Random Sampling (p=0.8),0.92131248099225
statisticians_citation,2,Non-random,CountSketch,0.980604097100907
statisticians_citation,2,Non-random,SIGN Bidirectional,0.445494180757867
statisticians_citation,2,Random Projection,Random Sampling (p=0.7),0.918171189466171
statisticians_citation,2,Random Projection,Random Sampling (p=0.8),0.924901772775733
statisticians_citation,2,Random Projection,CountSketch,0.964774153436946
statisticians_citation,2,Random Projection,SIGN Bidirectional,0.441534608318545
statisticians_citation,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.901088305830316
statisticians_citation,2,Random Sampling (p=0.7),CountSketch,0.908314036829399
statisticians_citation,2,Random Sampling (p=0.7),SIGN Bidirectional,0.427521100373712
statisticians_citation,2,Random Sampling (p=0.8),CountSketch,0.92145846489139
statisticians_citation,2,Random Sampling (p=0.8),SIGN Bidirectional,0.437722822607269
statisticians_citation,2,CountSketch,SIGN Bidirectional,0.456214826016014
statisticians_citation,3,Non-random,Random Projection,0.993465247150164
statisticians_citation,3,Non-random,Random Sampling (p=0.7),0.905363720495662
statisticians_citation,3,Non-random,Random Sampling (p=0.8),0.914639151338096
statisticians_citation,3,Non-random,CountSketch,0.983668373553411
statisticians_citation,3,Non-random,SIGN Bidirectional,0.740643302162404
statisticians_citation,3,Random Projection,Random Sampling (p=0.7),0.904983632078635
statisticians_citation,3,Random Projection,Random Sampling (p=0.8),0.914331406132497
statisticians_citation,3,Random Projection,CountSketch,0.983500987465157
statisticians_citation,3,Random Projection,SIGN Bidirectional,0.739922592498909
statisticians_citation,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.891664661881557
statisticians_citation,3,Random Sampling (p=0.7),CountSketch,0.895328772034268
statisticians_citation,3,Random Sampling (p=0.7),SIGN Bidirectional,0.726397162282565
statisticians_citation,3,Random Sampling (p=0.8),CountSketch,0.898693219381024
statisticians_citation,3,Random Sampling (p=0.8),SIGN Bidirectional,0.738078994204574
statisticians_citation,3,CountSketch,SIGN Bidirectional,0.727090030868655
statisticians_citation,4,Non-random,Random Projection,0.983668373553411
statisticians_citation,4,Non-random,Random Sampling (p=0.7),0.904066680141973
statisticians_citation,4,Non-random,Random Sampling (p=0.8),0.940542366392456
statisticians_citation,4,Non-random,CountSketch,0.990268502299775
statisticians_citation,4,Non-random,SIGN Bidirectional,0.610597202905608
statisticians_citation,4,Random Projection,Random Sampling (p=0.7),0.900403454255252
statisticians_citation,4,Random Projection,Random Sampling (p=0.8),0.937218430574982
statisticians_citation,4,Random Projection,CountSketch,0.980595254986782
statisticians_citation,4,Random Projection,SIGN Bidirectional,0.608060096972071
statisticians_citation,4,Random Sampling (p=0.7),Random Sampling (p=0.8),0.883312893068895
statisticians_citation,4,Random Sampling (p=0.7),CountSketch,0.895006211296674
statisticians_citation,4,Random Sampling (p=0.7),SIGN Bidirectional,0.570493377148832
statisticians_citation,4,Random Sampling (p=0.8),CountSketch,0.937751661107106
statisticians_citation,4,Random Sampling (p=0.8),SIGN Bidirectional,0.59397637589755
statisticians_citation,4,CountSketch,SIGN Bidirectional,0.614291237698801
statisticians_citation,5,Non-random,Random Projection,0.987117669981462
statisticians_citation,5,Non-random,Random Sampling (p=0.7),0.894807922560443
statisticians_citation,5,Non-random,Random Sampling (p=0.8),0.919114186399689
statisticians_citation,5,Non-random,CountSketch,0.980419458046147
statisticians_citation,5,Non-random,SIGN Bidirectional,0.533241621432585
statisticians_citation,5,Random Projection,Random Sampling (p=0.7),0.889320784927054
statisticians_citation,5,Random Projection,Random Sampling (p=0.8),0.919886060535245
statisticians_citation,5,Random Projection,CountSketch,0.980777704825578
statisticians_citation,5,Random Projection,SIGN Bidirectional,0.531741040540888
statisticians_citation,5,Random Sampling (p=0.7),Random Sampling (p=0.8),0.877788998581655
statisticians_citation,5,Random Sampling (p=0.7),CountSketch,0.882242275380791
statisticians_citation,5,Random Sampling (p=0.7),SIGN Bidirectional,0.555019037702224
statisticians_citation,5,Random Sampling (p=0.8),CountSketch,0.912874212796255
statisticians_citation,5,Random Sampling (p=0.8),SIGN Bidirectional,0.542290928742995
statisticians_citation,5,CountSketch,SIGN Bidirectional,0.519062135527731
statisticians_citation,6,Non-random,Random Projection,0.970765668778511
statisticians_citation,6,Non-random,Random Sampling (p=0.7),0.898985768119599
statisticians_citation,6,Non-random,Random Sampling (p=0.8),0.89544858816192
statisticians_citation,6,Non-random,CountSketch,0.973334147718317
statisticians_citation,6,Non-random,SIGN Bidirectional,0.546288192295059
statisticians_citation,6,Random Projection,Random Sampling (p=0.7),0.890024376675685
statisticians_citation,6,Random Projection,Random Sampling (p=0.8),0.899444115276279
statisticians_citation,6,Random Projection,CountSketch,0.944035588292725
statisticians_citation,6,Random Projection,SIGN Bidirectional,0.551278208011931
statisticians_citation,6,Random Sampling (p=0.7),Random Sampling (p=0.8),0.835455211720748
statisticians_citation,6,Random Sampling (p=0.7),CountSketch,0.897593537806943
statisticians_citation,6,Random Sampling (p=0.7),SIGN Bidirectional,0.510229590562369
statisticians_citation,6,Random Sampling (p=0.8),CountSketch,0.881193919107618
statisticians_citation,6,Random Sampling (p=0.8),SIGN Bidirectional,0.56993121802555
