dataset,rep,method_i,method_j,ari
statisticians_coauthor,1,Non-random,Random Projection,1
statisticians_coauthor,1,Non-random,Random Sampling (p=0.7),0.878018167904933
statisticians_coauthor,1,Non-random,Random Sampling (p=0.8),0.893787678384185
statisticians_coauthor,1,Non-random,CountSketch,1
statisticians_coauthor,1,Non-random,SIGN Bidirectional,0.939167483622434
statisticians_coauthor,1,Random Projection,Random Sampling (p=0.7),0.878018167904933
statisticians_coauthor,1,Random Projection,Random Sampling (p=0.8),0.893787678384185
statisticians_coauthor,1,Random Projection,CountSketch,1
statisticians_coauthor,1,Random Projection,SIGN Bidirectional,0.939167483622434
statisticians_coauthor,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.903291396550753
statisticians_coauthor,1,Random Sampling (p=0.7),CountSketch,0.878018167904933
statisticians_coauthor,1,Random Sampling (p=0.7),SIGN Bidirectional,0.820352097936454
statisticians_coauthor,1,Random Sampling (p=0.8),CountSketch,0.893787678384185
statisticians_coauthor,1,Random Sampling (p=0.8),SIGN Bidirectional,0.834322070017025
statisticians_coauthor,1,CountSketch,SIGN Bidirectional,0.939167483622434
statisticians_coauthor,2,Non-random,Random Projection,1
statisticians_coauthor,2,Non-random,Random Sampling (p=0.7),0.307829352414343
statisticians_coauthor,2,Non-random,Random Sampling (p=0.8),0.984097931583565
statisticians_coauthor,2,Non-random,CountSketch,1
statisticians_coauthor,2,Non-random,SIGN Bidirectional,0.838211443947647
statisticians_coauthor,2,Random Projection,Random Sampling (p=0.7),0.307829352414343
statisticians_coauthor,2,Random Projection,Random Sampling (p=0.8),0.984097931583565
statisticians_coauthor,2,Random Projection,CountSketch,1
statisticians_coauthor,2,Random Projection,SIGN Bidirectional,0.838211443947647
statisticians_coauthor,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.303873543946855
statisticians_coauthor,2,Random Sampling (p=0.7),CountSketch,0.307829352414343
statisticians_coauthor,2,Random Sampling (p=0.7),SIGN Bidirectional,0.313380880857442
statisticians_coauthor,2,Random Sampling (p=0.8),CountSketch,0.984097931583565
statisticians_coauthor,2,Random Sampling (p=0.8),SIGN Bidirectional,0.823314175658727
statisticians_coauthor,2,CountSketch,SIGN Bidirectional,0.838211443947647
statisticians_coauthor,3,Non-random,Random Projection,0.853653536986216
statisticians_coauthor,3,Non-random,Random Sampling (p=0.7),0.921234395069536
statisticians_coauthor,3,Non-random,Random Sampling (p=0.8),0.921234395069536
statisticians_coauthor,3,Non-random,CountSketch,0.386968766043909
statisticians_coauthor,3,Non-random,SIGN Bidirectional,0.8382317061944
statisticians_coauthor,3,Random Projection,Random Sampling (p=0.7),0.93140092679447
statisticians_coauthor,3,Random Projection,Random Sampling (p=0.8),0.93140092679447
statisticians_coauthor,3,Random Projection,CountSketch,0.484480440900861
statisticians_coauthor,3,Random Projection,SIGN Bidirectional,0.984097931583565
statisticians_coauthor,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.890114171456713
statisticians_coauthor,3,Random Sampling (p=0.7),CountSketch,0.437090041403415
statisticians_coauthor,3,Random Sampling (p=0.7),SIGN Bidirectional,0.915644838130648
statisticians_coauthor,3,Random Sampling (p=0.8),CountSketch,0.437090041403415
statisticians_coauthor,3,Random Sampling (p=0.8),SIGN Bidirectional,0.915644838130648
statisticians_coauthor,3,CountSketch,SIGN Bidirectional,0.495929567165019
statisticians_coauthor,4,Non-random,Random Projection,1
statisticians_coauthor,4,Non-random,Random Sampling (p=0.7),0.40142971635615
statisticians_coauthor,4,Non-random,Random Sampling (p=0.8),0.968672346037863
statisticians_coauthor,4,Non-random,CountSketch,1
statisticians_coauthor,4,Non-random,SIGN Bidirectional,0.480270476801018
statisticians_coauthor,4,Random Projection,Random Sampling (p=0.7),0.40142971635615
statisticians_coauthor,4,Random Projection,Random Sampling (p=0.8),0.968672346037863
statisticians_coauthor,4,Random Projection,CountSketch,1
statisticians_coauthor,4,Random Projection,SIGN Bidirectional,0.480270476801018
statisticians_coauthor,4,Random Sampling (p=0.7),Random Sampling (p=0.8),0.38921601195748
statisticians_coauthor,4,Random Sampling (p=0.7),CountSketch,0.40142971635615
statisticians_coauthor,4,Random Sampling (p=0.7),SIGN Bidirectional,0.208414669525522
statisticians_coauthor,4,Random Sampling (p=0.8),CountSketch,0.968672346037863
statisticians_coauthor,4,Random Sampling (p=0.8),SIGN Bidirectional,0.471784775919179
statisticians_coauthor,4,CountSketch,SIGN Bidirectional,0.480270476801018
statisticians_coauthor,5,Non-random,Random Projection,0.853653536986216
statisticians_coauthor,5,Non-random,Random Sampling (p=0.7),0.832395415991138
