dataset,rep,method_i,method_j,ari
statisticians_coauthor,1,Non-random,Random Projection,1
statisticians_coauthor,1,Non-random,Random Sampling (p=0.7),0.862889567680403
statisticians_coauthor,1,Non-random,Random Sampling (p=0.8),0.893787678384185
statisticians_coauthor,1,Non-random,CountSketch,0.9493388313431
statisticians_coauthor,1,Non-random,SIGN Bidirectional,1
statisticians_coauthor,1,Random Projection,Random Sampling (p=0.7),0.862889567680403
statisticians_coauthor,1,Random Projection,Random Sampling (p=0.8),0.893787678384185
statisticians_coauthor,1,Random Projection,CountSketch,0.9493388313431
statisticians_coauthor,1,Random Projection,SIGN Bidirectional,1
statisticians_coauthor,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.88607997900601
statisticians_coauthor,1,Random Sampling (p=0.7),CountSketch,0.909873082944883
statisticians_coauthor,1,Random Sampling (p=0.7),SIGN Bidirectional,0.862889567680403
statisticians_coauthor,1,Random Sampling (p=0.8),CountSketch,0.944019564255325
statisticians_coauthor,1,Random Sampling (p=0.8),SIGN Bidirectional,0.893787678384185
statisticians_coauthor,1,CountSketch,SIGN Bidirectional,0.9493388313431
statisticians_coauthor,2,Non-random,Random Projection,1
statisticians_coauthor,2,Non-random,Random Sampling (p=0.7),0.873941660097483
statisticians_coauthor,2,Non-random,Random Sampling (p=0.8),0.984097931583565
statisticians_coauthor,2,Non-random,CountSketch,1
statisticians_coauthor,2,Non-random,SIGN Bidirectional,0.872407161769813
statisticians_coauthor,2,Random Projection,Random Sampling (p=0.7),0.873941660097483
statisticians_coauthor,2,Random Projection,Random Sampling (p=0.8),0.984097931583565
statisticians_coauthor,2,Random Projection,CountSketch,1
statisticians_coauthor,2,Random Projection,SIGN Bidirectional,0.872407161769813
statisticians_coauthor,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.858400925295269
statisticians_coauthor,2,Random Sampling (p=0.7),CountSketch,0.873941660097483
statisticians_coauthor,2,Random Sampling (p=0.7),SIGN Bidirectional,0.750932119378743
statisticians_coauthor,2,Random Sampling (p=0.8),CountSketch,0.984097931583565
