dataset,method,paper_rank,changed_rank,paper_F1,paper_NMI,paper_ARI,python_paper_rank_F1,python_paper_rank_NMI,python_paper_rank_ARI,python_changed_rank_F1,python_changed_rank_NMI,python_changed_rank_ARI,matlab_paper_rank_F1,matlab_paper_rank_NMI,matlab_paper_rank_ARI,matlab_changed_rank_F1,matlab_changed_rank_NMI,matlab_changed_rank_ARI
European email network,Random Projection,42,30,0.165(0.007),0.558(0.006),0.100(0.009),0.315(0.018),0.548(0.010),0.091(0.008),0.320(0.013),0.551(0.009),0.100(0.012),0.305(0.018),0.536(0.011),0.081(0.010),0.318(0.016),0.544(0.008),0.095(0.008)
European email network,Random Sampling (p=0.7),42,30,0.126(0.007),0.417(0.010),0.059(0.008),0.271(0.014),0.505(0.011),0.079(0.008),0.308(0.013),0.531(0.008),0.077(0.009),0.305(0.015),0.517(0.010),0.068(0.008),0.311(0.014),0.529(0.008),0.076(0.010)
European email network,Random Sampling (p=0.8),42,30,0.131(0.005),0.436(0.010),0.064(0.006),0.287(0.016),0.526(0.009),0.091(0.009),0.327(0.014),0.543(0.005),0.083(0.007),0.318(0.017),0.530(0.011),0.071(0.007),0.322(0.016),0.540(0.010),0.079(0.008)
European email network,CountSketch,42,30,,,,,,,,,,0.312(0.019),0.539(0.012),0.085(0.011),0.320(0.014),0.543(0.007),0.093(0.009)
European email network,SIGN Bidirectional,42,30,,,,,,,,,,0.307(0.018),0.534(0.010),0.082(0.010),0.315(0.019),0.539(0.010),0.089(0.013)
European email network,Non-random,42,30,0.154(0.006),0.571(0.005),0.088(0.007),0.325(0.016),0.556(0.008),0.092(0.006),0.353(0.013),0.568(0.005),0.094(0.010),0.335(0.016),0.549(0.007),0.078(0.007),0.343(0.016),0.565(0.005),0.089(0.004)
Political blog network,Random Projection,2,5,0.641(0.004),0.178(0.004),0.079(0.006),0.576(0.000),0.178(0.000),0.080(0.000),0.435(0.004),0.042(0.006),0.002(0.001),0.576(0.000),0.178(0.000),0.080(0.000),0.436(0.005),0.044(0.008),0.002(0.001)
Political blog network,Random Sampling (p=0.7),2,5,0.642(0.003),0.177(0.007),0.077(0.007),0.572(0.009),0.178(0.007),0.077(0.006),0.501(0.008),0.125(0.006),0.037(0.004),0.572(0.006),0.177(0.006),0.077(0.004),0.506(0.008),0.130(0.006),0.040(0.004)
Political blog network,Random Sampling (p=0.8),2,5,0.641(0.004),0.177(0.008),0.077(0.009),0.572(0.004),0.178(0.005),0.077(0.003),0.499(0.007),0.125(0.005),0.037(0.003),0.572(0.006),0.177(0.005),0.078(0.004),0.503(0.008),0.128(0.006),0.039(0.004)
Political blog network,CountSketch,2,5,,,,,,,,,,0.576(0.000),0.178(0.000),0.080(0.000),0.436(0.003),0.044(0.006),0.002(0.001)
Political blog network,SIGN Bidirectional,2,5,,,,,,,,,,0.566(0.031),0.170(0.033),0.074(0.019),0.520(0.040),0.135(0.039),0.048(0.023)
Political blog network,Non-random,2,5,0.641(0.004),0.178(0.004),0.079(0.006),0.576(0.000),0.178(0.000),0.080(0.000),0.502(0.000),0.127(0.000),0.038(0.000),0.576(0.000),0.178(0.000),0.080(0.000),0.502(0.000),0.127(0.000),0.038(0.000)
Statisticians coauthor network (No true labels),Random Projection,3,5,0.981(0.012),0.646(0.197),0.715(0.246),1.000(0.000),1.000(0.000),1.000(0.000),0.991(0.023),0.978(0.051),0.985(0.036),0.995(0.021),0.990(0.043),0.993(0.033),0.847(0.211),0.741(0.309),0.735(0.331)
Statisticians coauthor network (No true labels),Random Sampling (p=0.7),3,5,0.970(0.011),0.480(0.148),0.593(0.193),0.873(0.205),0.786(0.190),0.835(0.198),0.816(0.245),0.766(0.151),0.810(0.172),0.899(0.145),0.798(0.136),0.855(0.141),0.758(0.260),0.684(0.204),0.725(0.231)
Statisticians coauthor network (No true labels),Random Sampling (p=0.8),3,5,0.973(0.011),0.544(0.142),0.639(0.190),0.969(0.023),0.914(0.055),0.948(0.038),0.781(0.298),0.788(0.209),0.809(0.226),0.955(0.031),0.881(0.072),0.921(0.058),0.837(0.223),0.761(0.215),0.787(0.241)
Statisticians coauthor network (No true labels),CountSketch,3,5,,,,,,,,,,0.998(0.007),0.996(0.019),0.997(0.011),0.876(0.173),0.776(0.275),0.779(0.296)
Statisticians coauthor network (No true labels),SIGN Bidirectional,3,5,,,,,,,,,,0.726(0.203),0.513(0.273),0.529(0.301),0.810(0.158),0.622(0.255),0.649(0.277)
