step,method,count,mean_sec,median_sec,min_sec,max_sec,sum_sec
aggregate_outputs,,1,0.004566167015582323,0.004566167015582323,0.004566167015582323,0.004566167015582323,0.004566167015582323
eigendecomp,Non-random,20,0.14640882304811384,0.14296050049597397,0.13811341699329205,0.16988329202285968,2.928176460962277
eigendecomp,Random Projection,20,0.23223234369652346,0.2268465419911081,0.21532741698320024,0.27272087498568,4.644646873930469
eigendecomp,Random Sampling,20,0.13662551034794887,0.1365151874924777,0.13217349999467842,0.14221304201055318,2.7325102069589775
kmeans,Non-random,20,0.6105638540000655,0.6070022499916377,0.5889997909835074,0.6532335420197342,12.21127708000131
kmeans,Random Projection,20,0.35628286240098533,0.34771179150266107,0.32576454200898297,0.43343404098413885,7.1256572480197065
kmeans,Random Sampling,20,0.6147277936965111,0.6046587494929554,0.5917983339750208,0.680903375003254,12.294555873930221
load_edgelist,,1,0.5831213749770541,0.5831213749770541,0.5831213749770541,0.5831213749770541,0.5831213749770541
make_visualizations,,1,0.8976559169823304,0.8976559169823304,0.8976559169823304,0.8976559169823304,0.8976559169823304
method_total,Non-random,20,0.7569726770481793,0.753705646013259,0.7320234579965472,0.8231168340425938,15.139453540963586
method_total,Random Projection,20,0.5885152060975087,0.5758065004920354,0.5415527920122258,0.7037281240045559,11.770304121950176
method_total,Random Sampling,20,0.8138802310917527,0.8033783955033869,0.7848190010117833,0.8853717919846531,16.277604621835053
nr_eig_eigendecomp_total,Non-random,20,0.1462007623471436,0.14257260398881044,0.13810949999606237,0.16983904200606048,2.924015246942872
nr_eig_eigsh_solver,Non-random,20,0.14561653329728869,0.14204454199352767,0.13768508299835958,0.16934191700420342,2.912330665945774
nr_eig_sort_eigpairs,Non-random,20,0.0005842290498549119,0.0005358119960874319,0.00033070798963308334,0.0010175839997828007,0.011684580997098237
pairwise_ari,,20,0.050157610449241476,0.034888270500232466,0.028768916992703453,0.09985104101360776,1.0031522089848295
prepare_upper_triangle,,1,0.01675712500582449,0.01675712500582449,0.01675712500582449,0.01675712500582449,0.01675712500582449
rp_A_times_Q,Random Projection,20,0.023131520647439174,0.02232097949308809,0.02087745800963603,0.030927208019420505,0.4626304129487835
rp_Qt_times_AQ,Random Projection,20,0.001751731197873596,0.001651208003750071,0.001299083000048995,0.0025381250015925616,0.03503462395747192
rp_back_projection,Random Projection,20,0.0030807168019236996,0.0030153755069477484,0.0026783340144902468,0.004012833989690989,0.061614336038473994
