rep,method,time_sec,sample_sec,eig_sec,kmeans_sec,time_sec_excl_sampling
1,Random Projection,0.5588524579943623,0.0,0.22529954198398627,0.33355291601037607,
1,Random Sampling,0.7979577499791048,0.061688249988947064,0.137606375006726,0.5986631249834318,0.7362694999901578
1,Non-random,0.7330502920085564,0.0,0.13811341699329205,0.5949368750152644,
2,Random Projection,0.5617964169941843,0.0,0.22839354199822992,0.33340287499595433,
2,Random Sampling,0.7963416239945218,0.061260916001629084,0.13415758300106972,0.600923124991823,0.7350807079928927
2,Non-random,0.7351588339661248,0.0,0.1393067499739118,0.595852083992213,
3,Random Projection,0.5436238330148626,0.0,0.21546450001187623,0.3281593330029864,
3,Random Sampling,0.8022527489811182,0.061470040993299335,0.13217349999467842,0.6086092079931404,0.7407827079878189
3,Non-random,0.7454750429897103,0.0,0.13989708400913514,0.6055779589805752,
4,Random Projection,0.5533188749977853,0.0,0.21532741698320024,0.3379914580145851,
4,Random Sampling,0.7848190010117833,0.06064866701490246,0.13237200002186,0.5917983339750208,0.7241703339968808
4,Non-random,0.7367998319969047,0.0,0.1390220409957692,0.5977777910011355,
5,Random Projection,0.5415527920122258,0.0,0.21578825000324287,0.32576454200898297,
5,Random Sampling,0.8001170829811599,0.06115449999924749,0.13496333299553953,0.6039992499863729,0.7389625829819124
5,Non-random,0.8025285840267316,0.0,0.158934417006094,0.6435941670206375,
6,Random Projection,0.5934353760094382,0.0,0.24133729201275855,0.35209808399667963,
6,Random Sampling,0.8102208739728667,0.06171866599470377,0.13250737497583032,0.6159948330023326,0.7485022079781629
6,Non-random,0.7538512090104632,0.0,0.13956379200681113,0.6142874170036521,
7,Random Projection,0.6034317909507081,0.0,0.23827387497294694,0.36515791597776115,
7,Random Sampling,0.8400448739703279,0.061430249974364415,0.13916470800177194,0.6394499159941915,0.7786146239959635
7,Non-random,0.7601347490272019,0.0,0.1457770410052035,0.6143577080219984,
8,Random Projection,0.5611273329996038,0.0,0.21806495799683034,0.3430623750027735,
8,Random Sampling,0.8404364180169068,0.06097108402173035,0.13713374998769723,0.6423315840074793,0.7794653339951765
8,Non-random,0.8231168340425938,0.0,0.16988329202285968,0.6532335420197342,
9,Random Projection,0.5845457490067929,0.0,0.2200609580031596,0.3644847910036333,
9,Random Sampling,0.7985793330008164,0.06373362499289215,0.1344870000029914,0.6003587080049329,0.7348457080079243
9,Non-random,0.7574900820036419,0.0,0.13980579099734314,0.6176842910062987,
10,Random Projection,0.5861909160157666,0.0,0.23617745799128897,0.3500134580244776,
10,Random Sampling,0.8205892919504549,0.06099516697577201,0.13583912499598227,0.6237549999787007,0.7595941249746829
10,Non-random,0.757125123986043,0.0,0.14869858298334293,0.6084265410027001,
11,Random Projection,0.7037281240045559,0.0,0.270294083020417,0.43343404098413885,
11,Random Sampling,0.8352165840042289,0.06563658299273811,0.14104966699960642,0.6285303340118844,0.7695800010114908
11,Non-random,0.7787725829984993,0.0,0.14738099998794496,0.6313915830105543,
12,Random Projection,0.6078004160081036,0.0,0.24497145801433362,0.36282895799377,
12,Random Sampling,0.8853717919846531,0.0639702079934068,0.14049820898799226,0.680903375003254,0.8214015839912463
12,Non-random,0.7826861669891514,0.0,0.16400583399808966,0.6186803329910617,
13,Random Projection,0.7011207079922315,0.0,0.27272087498568,0.4283998330065515,
13,Random Sampling,0.8500944989791606,0.06620466598542407,0.14093491598032415,0.6429549170134123,0.7838898329937365
13,Non-random,0.7535600830160547,0.0,0.15035866701509804,0.6032014160009567,
14,Random Projection,0.5800061670015566,0.0,0.2359850000066217,0.3440211669949349,
14,Random Sampling,0.8059384579828475,0.0639281669864431,0.13759120801114477,0.6044190829852596,0.7420102909964044
14,Non-random,0.7546579589834437,0.0,0.1417521669936832,0.6129057919897605,
15,Random Projection,0.5947176670015324,0.0,0.23653066699625924,0.35818700000527315,
15,Random Sampling,0.7980470829643309,0.06220887499512173,0.13622708298498765,0.5996111249842215,0.7358382079692092
15,Non-random,0.7340351249731611,0.0,0.14234491699608043,0.5916902079770807,
16,Random Projection,0.5642964159778785,0.0,0.21888629099703394,0.34541012498084456,
16,Random Sampling,0.8045040420256555,0.0623967090214137,0.1372089170035906,0.6048984160006512,0.7421073330042418
16,Non-random,0.7754112079855986,0.0,0.15264662497793324,0.6227645830076654,
17,Random Projection,0.6446262079989538,0.0,0.2583473749982659,0.3862788330006879,
17,Random Sampling,0.819802542013349,0.06368104199646041,0.14221304201055318,0.6139084580063354,0.7561215000168886
17,Non-random,0.7433349589700811,0.0,0.14289733397890814,0.6004376249911729,
18,Random Projection,0.5716068339825142,0.0,0.2163733749766834,0.3552334590058308,
18,Random Sampling,0.7966453749977518,0.062473124999087304,0.13680329199996777,0.5973689579986967,0.7341722499986645
18,Non-random,0.7320234579965472,0.0,0.1430236670130398,0.5889997909835074,
19,Random Projection,0.5591481259907596,0.0,0.2181767919973936,0.340971333993366,
19,Random Sampling,0.7932225830154493,0.061595500010298565,0.1344780829967931,0.5971490000083577,0.7316270830051508
19,Non-random,0.7386583329935092,0.0,0.14133691700408235,0.5973214159894269,
20,Random Projection,0.5553779159963597,0.0,0.21817316598026082,0.33720475001609884,
20,Random Sampling,0.7974026660085656,0.06337250000797212,0.13510104099987075,0.5989291250007227,0.7340301660005935
20,Non-random,0.7415830829995684,0.0,0.1434271250036545,0.5981559579959139,
