dataset,rep,method,time_sec,time_sec_excl_sampling,time_sampling_sec,target_rank,n_nodes,n_edges
DBLP,1,Random Projection,0.33913658300298266,0.33913658300298266,0.0,3,317080,1049866
DBLP,1,CountSketch,0.4525630839925725,0.4525630839925725,0.0,3,317080,1049866
DBLP,1,Random Sampling,0.44558520801365376,0.3596778750070371,0.08590733300661668,3,317080,1049866
DBLP,1,Non-random,0.33563870799844153,0.33563870799844153,0.0,3,317080,1049866
DBLP,2,Random Projection,0.40273354199598543,0.40273354199598543,0.0,3,317080,1049866
DBLP,2,CountSketch,0.5672290420043282,0.5672290420043282,0.0,3,317080,1049866
DBLP,2,Random Sampling,0.5308636670088163,0.4142487500066636,0.11661491700215265,3,317080,1049866
DBLP,2,Non-random,0.38431720800872426,0.38431720800872426,0.0,3,317080,1049866
DBLP,3,Random Projection,0.45457804200123064,0.45457804200123064,0.0,3,317080,1049866
DBLP,3,CountSketch,0.3765184579970082,0.3765184579970082,0.0,3,317080,1049866
DBLP,3,Random Sampling,0.4307614999997895,0.35166499999468215,0.07909650000510737,3,317080,1049866
DBLP,3,Non-random,0.3490372079977533,0.3490372079977533,0.0,3,317080,1049866
DBLP,4,Random Projection,0.42830470799526665,0.42830470799526665,0.0,3,317080,1049866
DBLP,4,CountSketch,0.41419204100384377,0.41419204100384377,0.0,3,317080,1049866
DBLP,4,Random Sampling,0.3806366250064457,0.3006249170139199,0.08001170799252577,3,317080,1049866
DBLP,4,Non-random,0.31737545800569933,0.31737545800569933,0.0,3,317080,1049866
DBLP,5,Random Projection,0.4222712920018239,0.4222712920018239,0.0,3,317080,1049866
DBLP,5,CountSketch,0.4673729160131188,0.4673729160131188,0.0,3,317080,1049866
DBLP,5,Random Sampling,0.4572975829942152,0.369649207990733,0.08764837500348222,3,317080,1049866
DBLP,5,Non-random,0.3372720000043046,0.3372720000043046,0.0,3,317080,1049866
DBLP,6,Random Projection,0.43946175000746734,0.43946175000746734,0.0,3,317080,1049866
DBLP,6,CountSketch,0.5088606249919394,0.5088606249919394,0.0,3,317080,1049866
DBLP,6,Random Sampling,0.4179942079936154,0.3346884159982437,0.08330579199537169,3,317080,1049866
DBLP,6,Non-random,0.32984066699282266,0.32984066699282266,0.0,3,317080,1049866
DBLP,7,Random Projection,0.41370124999957625,0.41370124999957625,0.0,3,317080,1049866
DBLP,7,CountSketch,0.4010142920014914,0.4010142920014914,0.0,3,317080,1049866
DBLP,7,Random Sampling,0.4212478330009617,0.3440760829980718,0.0771717500028899,3,317080,1049866
DBLP,7,Non-random,0.38168604200473055,0.38168604200473055,0.0,3,317080,1049866
DBLP,8,Random Projection,0.442369416996371,0.442369416996371,0.0,3,317080,1049866
DBLP,8,CountSketch,0.43245091701101046,0.43245091701101046,0.0,3,317080,1049866
DBLP,8,Random Sampling,0.4291415839979891,0.3408729590009898,0.08826862499699928,3,317080,1049866
DBLP,8,Non-random,0.6172000000078697,0.6172000000078697,0.0,3,317080,1049866
DBLP,9,Random Projection,0.46281695799552836,0.46281695799552836,0.0,3,317080,1049866
DBLP,9,CountSketch,0.4365308330015978,0.4365308330015978,0.0,3,317080,1049866
DBLP,9,Random Sampling,0.39931737499136943,0.3215591670013964,0.07775820798997302,3,317080,1049866
DBLP,9,Non-random,0.34681137499865144,0.34681137499865144,0.0,3,317080,1049866
DBLP,10,Random Projection,0.45876500000304077,0.45876500000304077,0.0,3,317080,1049866
DBLP,10,CountSketch,0.4678447089972906,0.4678447089972906,0.0,3,317080,1049866
DBLP,10,Random Sampling,0.5236849579960108,0.4441099999967264,0.07957495799928438,3,317080,1049866
DBLP,10,Non-random,0.39286216600157786,0.39286216600157786,0.0,3,317080,1049866
DBLP,11,Random Projection,0.47074170800624415,0.47074170800624415,0.0,3,317080,1049866
DBLP,11,CountSketch,0.4485990410030354,0.4485990410030354,0.0,3,317080,1049866
DBLP,11,Random Sampling,0.4361312500113854,0.35176866700930987,0.08436258300207555,3,317080,1049866
DBLP,11,Non-random,0.32674150000093505,0.32674150000093505,0.0,3,317080,1049866
DBLP,12,Random Projection,0.45702149999851827,0.45702149999851827,0.0,3,317080,1049866
DBLP,12,CountSketch,0.5275525000033667,0.5275525000033667,0.0,3,317080,1049866
DBLP,12,Random Sampling,0.41615300001285505,0.33986400000867434,0.07628900000418071,3,317080,1049866
DBLP,12,Non-random,0.32369641700643115,0.32369641700643115,0.0,3,317080,1049866
DBLP,13,Random Projection,0.4803272909921361,0.4803272909921361,0.0,3,317080,1049866
DBLP,13,CountSketch,0.45154270899365656,0.45154270899365656,0.0,3,317080,1049866
DBLP,13,Random Sampling,0.7396872920071473,0.6523690830072155,0.08731820899993181,3,317080,1049866
DBLP,13,Non-random,0.46415870799683034,0.46415870799683034,0.0,3,317080,1049866
DBLP,14,Random Projection,0.4715932920080377,0.4715932920080377,0.0,3,317080,1049866
DBLP,14,CountSketch,0.5014627499913331,0.5014627499913331,0.0,3,317080,1049866
DBLP,14,Random Sampling,0.42059358400001656,0.33640845901391003,0.08418512498610653,3,317080,1049866
DBLP,14,Non-random,0.32426624999789055,0.32426624999789055,0.0,3,317080,1049866
DBLP,15,Random Projection,0.4509514999954263,0.4509514999954263,0.0,3,317080,1049866
DBLP,15,CountSketch,0.48949037499551196,0.48949037499551196,0.0,3,317080,1049866
DBLP,15,Random Sampling,0.453275207997649,0.36981212499085814,0.08346308300679084,3,317080,1049866
DBLP,15,Non-random,0.3700157919956837,0.3700157919956837,0.0,3,317080,1049866
DBLP,16,Random Projection,0.40599941699474584,0.40599941699474584,0.0,3,317080,1049866
DBLP,16,CountSketch,0.4557846670068102,0.4557846670068102,0.0,3,317080,1049866
DBLP,16,Random Sampling,0.410182541992981,0.3229570830008015,0.08722545899217948,3,317080,1049866
DBLP,16,Non-random,0.35089595800673123,0.35089595800673123,0.0,3,317080,1049866
DBLP,17,Random Projection,0.4636436250002589,0.4636436250002589,0.0,3,317080,1049866
DBLP,17,CountSketch,0.502980250006658,0.502980250006658,0.0,3,317080,1049866
DBLP,17,Random Sampling,0.4704270420043031,0.38140683301026,0.08902020899404306,3,317080,1049866
DBLP,17,Non-random,0.34373354200215545,0.34373354200215545,0.0,3,317080,1049866
DBLP,18,Random Projection,0.40691145800519735,0.40691145800519735,0.0,3,317080,1049866
DBLP,18,CountSketch,0.6339084159990307,0.6339084159990307,0.0,3,317080,1049866
DBLP,18,Random Sampling,0.5159357920056209,0.3955939170118654,0.12034187499375548,3,317080,1049866
