dataset,rep,method,time_sec,time_sec_excl_sampling,time_sampling_sec,target_rank,n_nodes,n_edges,sign_draw_omega_sec,sign_subspace_iter_sec,sign_build_core_sec,sign_small_eig_sec,sign_lift_sec,sign_embedding_dim,sign_power_parameter
DBLP,1,SIGN Bidirectional,0.6659905840060674,0.6659905840060674,0.0,3,317080,1049866,0.016237500007264316,0.5889289999904577,0.05762295800377615,8.537500980310142e-05,0.0021756659989478067,13,2
DBLP,2,SIGN Bidirectional,0.7321452920004958,0.7321452920004958,0.0,3,317080,1049866,0.022147083000163548,0.6383965839922894,0.06513683299999684,0.00011300000187475234,0.0048690830008126795,13,2
DBLP,3,SIGN Bidirectional,0.6461619999899995,0.6461619999899995,0.0,3,317080,1049866,0.022565041988855228,0.558053500004462,0.0628707079886226,9.950000094249845e-05,0.0014307499950518832,13,2
DBLP,4,SIGN Bidirectional,0.6796171669993782,0.6796171669993782,0.0,3,317080,1049866,0.03054645800148137,0.5789498750091298,0.0651762079942273,6.591698911506683e-05,0.0036604159977287054,13,2
DBLP,5,SIGN Bidirectional,0.6168610409949906,0.6168610409949906,0.0,3,317080,1049866,0.027532457999768667,0.5383394589880481,0.04556087499076966,6.42079976387322e-05,0.00410925000323914,13,2
DBLP,6,SIGN Bidirectional,0.7071471670060419,0.7071471670060419,0.0,3,317080,1049866,0.018329041995457374,0.6269596659985837,0.057310542004415765,6.462499732151628e-05,0.003845874991384335,13,2
DBLP,7,SIGN Bidirectional,0.6581603329977952,0.6581603329977952,0.0,3,317080,1049866,0.02940233299159445,0.5645806249958696,0.05921849999867845,6.658298661932349e-05,0.004107000000658445,13,2
DBLP,8,SIGN Bidirectional,0.7311048750125337,0.7311048750125337,0.0,3,317080,1049866,0.026159125001868233,0.634814874996664,0.06667495900182985,0.00010354100959375501,0.0027919580024899915,13,2
DBLP,9,SIGN Bidirectional,0.6142537080013426,0.6142537080013426,0.0,3,317080,1049866,0.02152833300351631,0.5316791249933885,0.05745487500098534,0.00016254100773949176,0.002277709005284123,13,2
DBLP,10,SIGN Bidirectional,0.6324290420016041,0.6324290420016041,0.0,3,317080,1049866,0.023637165999389254,0.551323040999705,0.04881954200391192,6.316600774880499e-05,0.007284334002179094,13,2
DBLP,11,SIGN Bidirectional,0.6158887500059791,0.6158887500059791,0.0,3,317080,1049866,0.02402966600493528,0.5409632090013474,0.0475360419950448,0.00010429200483486056,0.0020896249916404486,13,2
DBLP,12,SIGN Bidirectional,0.7543144579976797,0.7543144579976797,0.0,3,317080,1049866,0.021056790996226482,0.6513156670116587,0.07782799999404233,6.654199387412518e-05,0.002755333000095561,13,2
DBLP,13,SIGN Bidirectional,0.7111246659915196,0.7111246659915196,0.0,3,317080,1049866,0.026645416000974365,0.6178699169977335,0.0642226249910891,7.162500696722418e-05,0.0010242909920634702,13,2
DBLP,14,SIGN Bidirectional,0.7113747080002213,0.7113747080002213,0.0,3,317080,1049866,0.02366108300338965,0.6226132919982774,0.062160000001313165,6.554099672939628e-05,0.0015658329939469695,13,2
DBLP,15,SIGN Bidirectional,0.6398949589929543,0.6398949589929543,0.0,3,317080,1049866,0.019299791994853877,0.5621042499988107,0.05689491600787733,6.166599632706493e-05,0.0009702499955892563,13,2
DBLP,16,SIGN Bidirectional,0.5896848749980563,0.5896848749980563,0.0,3,317080,1049866,0.02141116699203849,0.5018805410072673,0.06297583400737494,6.999999459367245e-05,0.002122834004694596,13,2
DBLP,17,SIGN Bidirectional,0.5744264170061797,0.5744264170061797,0.0,3,317080,1049866,0.02011204200971406,0.5021921669977019,0.049708874998032115,9.962500189431012e-05,0.0015467920020455495,13,2
DBLP,18,SIGN Bidirectional,0.6349727079941658,0.6349727079941658,0.0,3,317080,1049866,0.023577125000883825,0.5462051669892389,0.0626324999902863,7.875000301282853e-05,0.0018746660061879084,13,2
DBLP,19,SIGN Bidirectional,0.6640249159972882,0.6640249159972882,0.0,3,317080,1049866,0.024297583004226908,0.5701347499998519,0.06449249999423046,0.00011575000826269388,0.004158291994826868,13,2
DBLP,20,SIGN Bidirectional,0.719213917007437,0.719213917007437,0.0,3,317080,1049866,0.01896437499090098,0.6407384579943027,0.05741420800040942,6.474999827332795e-05,0.001157916005467996,13,2
Youtube,1,SIGN Bidirectional,2.8637038330052746,2.8637038330052746,0.0,7,1134890,2987624,0.07648083400272299,2.5417580409994116,0.223417375003919,9.866699110716581e-05,0.016749750007875264,17,2
Youtube,2,SIGN Bidirectional,2.8930525409959955,2.8930525409959955,0.0,7,1134890,2987624,0.10167183299199678,2.576094749994809,0.18136375000176486,7.28330051060766e-05,0.030747333003091626,17,2
Youtube,3,SIGN Bidirectional,3.017345208005281,3.017345208005281,0.0,7,1134890,2987624,0.0955837499932386,2.717713999998523,0.18699462500808295,7.979199290275574e-05,0.012202957994304597,17,2
Youtube,4,SIGN Bidirectional,3.2252489999955287,3.2252489999955287,0.0,7,1134890,2987624,0.1054101250047097,2.7937144579918822,0.2692340840003453,7.416700827889144e-05,0.05225583299761638,17,2
Youtube,5,SIGN Bidirectional,3.1165087910048896,3.1165087910048896,0.0,7,1134890,2987624,0.13694799999939278,2.712881750005181,0.24852570799703244,0.0001295830006711185,0.014658792002592236,17,2
Youtube,6,SIGN Bidirectional,2.9566491250006948,2.9566491250006948,0.0,7,1134890,2987624,0.10770662499999162,2.6219586660008645,0.20676341600483283,7.591700705233961e-05,0.016878957991139032,17,2
Youtube,7,SIGN Bidirectional,3.0322513330029324,3.0322513330029324,0.0,7,1134890,2987624,0.1058585410064552,2.7020228750043316,0.2075214579963358,7.824999920558184e-05,0.014167874993290752,17,2
Youtube,8,SIGN Bidirectional,3.060262042010436,3.060262042010436,0.0,7,1134890,2987624,0.10948966699652374,2.7483947910077404,0.18537645900505595,7.770801312290132e-05,0.014072707999730483,17,2
Youtube,9,SIGN Bidirectional,2.983326000001398,2.983326000001398,0.0,7,1134890,2987624,0.1140341659920523,2.6089704999903915,0.24087629199493676,7.750000804662704e-05,0.015354417002527043,17,2
Youtube,10,SIGN Bidirectional,2.8651452500052983,2.8651452500052983,0.0,7,1134890,2987624,0.11022158300329465,2.556528792003519,0.18411504100367893,7.212499622255564e-05,0.01177895799628459,17,2
Youtube,11,SIGN Bidirectional,3.0424089589942014,3.0424089589942014,0.0,7,1134890,2987624,0.10798941699613351,2.6970746250008233,0.21674158399400767,7.3666000389494e-05,0.01660937500128057,17,2
Youtube,12,SIGN Bidirectional,3.0816724589967635,3.0816724589967635,0.0,7,1134890,2987624,0.10900774999754503,2.737454957998125,0.21453204199497122,0.00011962500866502523,0.015103458004887216,17,2
Youtube,13,SIGN Bidirectional,2.9585244590125512,2.9585244590125512,0.0,7,1134890,2987624,0.11012987499998417,2.628568957996322,0.19511970899475273,7.591700705233961e-05,0.01988037499540951,17,2
Youtube,14,SIGN Bidirectional,2.9044696659984766,2.9044696659984766,0.0,7,1134890,2987624,0.11338562499440741,2.581778416992165,0.19469254100113176,7.491699943784624e-05,0.010818957991432399,17,2
Youtube,15,SIGN Bidirectional,3.2788096660078736,3.2788096660078736,0.0,7,1134890,2987624,0.10853174999647308,2.876255791998119,0.26761220800108276,7.987501157913357e-05,0.019978625001385808,17,2
Youtube,16,SIGN Bidirectional,3.4290932090079878,3.4290932090079878,0.0,7,1134890,2987624,0.12404749999404885,3.0784140409959946,0.20099841699993704,7.550000736955553e-05,0.018854708003345877,17,2
Youtube,17,SIGN Bidirectional,3.16388508300588,3.16388508300588,0.0,7,1134890,2987624,0.11499945900868624,2.808004291000543,0.22308095799235161,7.616699440404773e-05,0.012736667005810887,17,2
Youtube,18,SIGN Bidirectional,2.8441301669954555,2.8441301669954555,0.0,7,1134890,2987624,0.10129179099749308,2.5023962080013007,0.2200872499961406,7.666600868105888e-05,0.017158041999209672,17,2
Youtube,19,SIGN Bidirectional,3.001525416999357,3.001525416999357,0.0,7,1134890,2987624,0.12289374999818392,2.6531032920029247,0.20631387500907294,8.758400508668274e-05,0.016460083003039472,17,2
