n,method,error_P_mean,error_P_std,error_Theta_mean,error_Theta_std,error_B_mean,error_B_std,time_mean,time_std
200,Non-random,9.399469498480894,0.14945168034427225,0.5739936680235187,0.1596106987986799,0.02368843850890716,0.01105189229660241,0.025652545015327634,0.0008473445502710393
200,Random Projection,8.087043483485344,0.2652484214498817,1.025203527815468,0.32582814768996354,0.03352721811189633,0.012266849931493727,0.09205677499994636,0.30511221306736797
200,Random Sampling,10.866368722442454,0.456312874367657,1.1098710990502034,0.276863859715445,0.03443409102130503,0.012676392896792626,0.025867195008322595,0.0014736595121855793
400,Non-random,13.391588108262713,0.1260813230653856,0.11363202783077095,0.02636276403570335,0.007878764012936522,0.0024050599363096945,0.12226658499566838,0.020111612577728366
400,Random Projection,10.347853361592346,0.6413165110599001,0.3375294579732914,0.1666916997944851,0.025665143943451228,0.010793707392270252,0.028480599995236843,0.0020006485895799897
400,Random Sampling,13.158859607883565,0.4255101978312369,0.36376108180900013,0.0841550087593111,0.013937372202886766,0.005640726118626048,0.03480843999423087,0.0014431777002467722
600,Non-random,16.38320417819184,0.12243167673617761,0.023,0.007504384683215819,0.004244759571566732,0.0017707181037129396,0.15489614999387413,0.07247063042391602
600,Random Projection,11.52635998243554,0.5557463993328077,0.0745,0.02517831146882278,0.013491314168144298,0.0038634867286508256,0.08328200998948887,0.02051645711054541
600,Random Sampling,14.662615337982649,0.3202931240477335,0.1155,0.02389120075852636,0.009557204079749233,0.003680714348144026,0.04370888501871377,0.0021113282409507147
800,Non-random,18.961617674069213,0.10325270731755645,0.0063747852778012455,0.004881033249623998,0.0036006929485655446,0.001246164030555143,0.4436954399920069,0.2782672635490565
800,Random Projection,12.82190746936836,0.335991627800165,0.017065838754188843,0.011120045698808334,0.00870615434748498,0.0031886859524263796,0.09059331001481041,0.053351420633254903
800,Random Sampling,16.279322610867617,0.4086285689474641,0.04799850750471685,0.020271609060541627,0.005941974139236267,0.002808307354859073,0.062305765016935764,0.005762758210446055
1000,Non-random,21.253255762274467,0.119227464312056,0.0016489543435651219,0.0018133398500453433,0.0027401912824279546,0.0012561458891774122,0.2768129400210455,0.23701567006185395
1000,Random Projection,13.585312128945583,0.22745417153931044,0.0033001564438690186,0.0030645090854114175,0.005366188221325812,0.0017997208447905362,0.05287308999104425,0.0404403035319509
1000,Random Sampling,17.234117885382297,0.3456661156963671,0.01380257503011994,0.006414819105055351,0.004268267138307952,0.0020508382142706586,0.06727850002935157,0.011272998789983377
1200,Non-random,23.252216798231967,0.09356072430888715,0.00075,0.001175405864954068,0.0023379032175192154,0.0007086651061022532,0.24408651497215034,0.11221261605687059
1200,Random Projection,14.66135546350581,0.25647443813867216,0.00125,0.0017206180040292133,0.004109023677941426,0.0011338969432296842,0.051445985003374516,0.02969666918797513
1200,Random Sampling,18.438794976182976,0.38588276025971946,0.006625000000000001,0.004313000543033877,0.003443240492160035,0.0011427798303804907,0.07539779000217095,0.002671055088887648
